"Step","layer_10_hook_mlp_out_gpt2_jumprelu_fisher_false_project_TinyStories - sparsity.l0","layer_10_hook_mlp_out_gpt2_jumprelu_fisher_false_project_TinyStories - sparsity.l0__MIN","layer_10_hook_mlp_out_gpt2_jumprelu_fisher_false_project_TinyStories - sparsity.l0__MAX","layer_5_hook_mlp_out_gpt2_jumprelu_fisher_false_project_TinyStories - sparsity.l0","layer_5_hook_mlp_out_gpt2_jumprelu_fisher_false_project_TinyStories - sparsity.l0__MIN","layer_5_hook_mlp_out_gpt2_jumprelu_fisher_false_project_TinyStories - sparsity.l0__MAX","layer_0_hook_mlp_out_gpt2_jumprelu_fisher_false_project_TinyStories - sparsity.l0","layer_0_hook_mlp_out_gpt2_jumprelu_fisher_false_project_TinyStories - sparsity.l0__MIN","layer_0_hook_mlp_out_gpt2_jumprelu_fisher_false_project_TinyStories - sparsity.l0__MAX","layer_10_hook_mlp_out_gpt2_jumprelu_fisher_true_project_TinyStories - sparsity.l0","layer_10_hook_mlp_out_gpt2_jumprelu_fisher_true_project_TinyStories - sparsity.l0__MIN","layer_10_hook_mlp_out_gpt2_jumprelu_fisher_true_project_TinyStories - sparsity.l0__MAX","layer_5_hook_mlp_out_gpt2_jumprelu_fisher_true_project_TinyStories - sparsity.l0","layer_5_hook_mlp_out_gpt2_jumprelu_fisher_true_project_TinyStories - sparsity.l0__MIN","layer_5_hook_mlp_out_gpt2_jumprelu_fisher_true_project_TinyStories - sparsity.l0__MAX","layer_0_hook_mlp_out_gpt2_jumprelu_fisher_true_project_TinyStories - sparsity.l0","layer_0_hook_mlp_out_gpt2_jumprelu_fisher_true_project_TinyStories - sparsity.l0__MIN","layer_0_hook_mlp_out_gpt2_jumprelu_fisher_true_project_TinyStories - sparsity.l0__MAX"
"599","12011.666015625","12011.666015625","12011.666015625","11344.54296875","11344.54296875","11344.54296875","11970.4375","11970.4375","11970.4375","11440.4736328125","11440.4736328125","11440.4736328125","10839.3984375","10839.3984375","10839.3984375","11891.5185546875","11891.5185546875","11891.5185546875"
"1199","12091.5380859375","12091.5380859375","12091.5380859375","11664.34765625","11664.34765625","11664.34765625","12082.580078125","12082.580078125","12082.580078125","10749.134765625","10749.134765625","10749.134765625","10886.7001953125","10886.7001953125","10886.7001953125","11966.2626953125","11966.2626953125","11966.2626953125"
"1799","12132.96875","12132.96875","12132.96875","11880.4052734375","11880.4052734375","11880.4052734375","12134.8427734375","12134.8427734375","12134.8427734375","10272.6015625","10272.6015625","10272.6015625","10967.6611328125","10967.6611328125","10967.6611328125","11995.3349609375","11995.3349609375","11995.3349609375"
"2399","12157.3896484375","12157.3896484375","12157.3896484375","12017.9736328125","12017.9736328125","12017.9736328125","12174.1123046875","12174.1123046875","12174.1123046875","10066.3681640625","10066.3681640625","10066.3681640625","11061.291015625","11061.291015625","11061.291015625","12027.2373046875","12027.2373046875","12027.2373046875"
"2999","12180.783203125","12180.783203125","12180.783203125","12058.9296875","12058.9296875","12058.9296875","12184.5576171875","12184.5576171875","12184.5576171875","10030.56640625","10030.56640625","10030.56640625","11137.6044921875","11137.6044921875","11137.6044921875","12032.9794921875","12032.9794921875","12032.9794921875"
"3599","12190.626953125","12190.626953125","12190.626953125","12106.330078125","12106.330078125","12106.330078125","12198.447265625","12198.447265625","12198.447265625","10062.1484375","10062.1484375","10062.1484375","11242.669921875","11242.669921875","11242.669921875","12043.0224609375","12043.0224609375","12043.0224609375"
"4199","12196.4091796875","12196.4091796875","12196.4091796875","12121.455078125","12121.455078125","12121.455078125","12207.2685546875","12207.2685546875","12207.2685546875","10295.0732421875","10295.0732421875","10295.0732421875","11322.7392578125","11322.7392578125","11322.7392578125","12058.1669921875","12058.1669921875","12058.1669921875"
"4799","12202.0341796875","12202.0341796875","12202.0341796875","12146.0078125","12146.0078125","12146.0078125","12212.6552734375","12212.6552734375","12212.6552734375","10461.212890625","10461.212890625","10461.212890625","11371.7177734375","11371.7177734375","11371.7177734375","12062.6552734375","12062.6552734375","12062.6552734375"
"5399","12208.029296875","12208.029296875","12208.029296875","12163.5888671875","12163.5888671875","12163.5888671875","12218.791015625","12218.791015625","12218.791015625","10659.2451171875","10659.2451171875","10659.2451171875","11419.9794921875","11419.9794921875","11419.9794921875","12070.9423828125","12070.9423828125","12070.9423828125"
"5999","12210.7802734375","12210.7802734375","12210.7802734375","12169.9453125","12169.9453125","12169.9453125","12217.734375","12217.734375","12217.734375","10796.0048828125","10796.0048828125","10796.0048828125","11435.2412109375","11435.2412109375","11435.2412109375","12074.9482421875","12074.9482421875","12074.9482421875"
"6599","12212.1953125","12212.1953125","12212.1953125","12172.7138671875","12172.7138671875","12172.7138671875","12215","12215","12215","10872.7421875","10872.7421875","10872.7421875","11440.1162109375","11440.1162109375","11440.1162109375","12075.390625","12075.390625","12075.390625"
"7199","12208.982421875","12208.982421875","12208.982421875","12188.8779296875","12188.8779296875","12188.8779296875","12221.005859375","12221.005859375","12221.005859375","10938.5693359375","10938.5693359375","10938.5693359375","11479.5068359375","11479.5068359375","11479.5068359375","12083.9140625","12083.9140625","12083.9140625"
"7799","12212.7763671875","12212.7763671875","12212.7763671875","12195.87109375","12195.87109375","12195.87109375","12219.9990234375","12219.9990234375","12219.9990234375","10977.0830078125","10977.0830078125","10977.0830078125","11489.2783203125","11489.2783203125","11489.2783203125","12088.6796875","12088.6796875","12088.6796875"
"8399","12214.056640625","12214.056640625","12214.056640625","12196.7626953125","12196.7626953125","12196.7626953125","12218.0234375","12218.0234375","12218.0234375","10999.01953125","10999.01953125","10999.01953125","11496.376953125","11496.376953125","11496.376953125","12091.88671875","12091.88671875","12091.88671875"
"8999","12212.0859375","12212.0859375","12212.0859375","12199.7529296875","12199.7529296875","12199.7529296875","12219.4599609375","12219.4599609375","12219.4599609375","11027.0810546875","11027.0810546875","11027.0810546875","11490.1142578125","11490.1142578125","11490.1142578125","12094.302734375","12094.302734375","12094.302734375"
"9599","12210.544921875","12210.544921875","12210.544921875","12211.37890625","12211.37890625","12211.37890625","12220.9423828125","12220.9423828125","12220.9423828125","11039.9814453125","11039.9814453125","11039.9814453125","11509.0693359375","11509.0693359375","11509.0693359375","12100.4716796875","12100.4716796875","12100.4716796875"
"10199","12213.6943359375","12213.6943359375","12213.6943359375","12207","12207","12207","12218.5625","12218.5625","12218.5625","11052.4560546875","11052.4560546875","11052.4560546875","11510.689453125","11510.689453125","11510.689453125","12102.103515625","12102.103515625","12102.103515625"
"10799","12214.2646484375","12214.2646484375","12214.2646484375","12214.6181640625","12214.6181640625","12214.6181640625","12220.734375","12220.734375","12220.734375","11063.2548828125","11063.2548828125","11063.2548828125","11523.8984375","11523.8984375","11523.8984375","12106.9970703125","12106.9970703125","12106.9970703125"
