"Step","layer_10_hook_mlp_out_gpt2_jumprelu_fisher_false_project_TinyStories - shrinkage.l2_ratio","layer_10_hook_mlp_out_gpt2_jumprelu_fisher_false_project_TinyStories - shrinkage.l2_ratio__MIN","layer_10_hook_mlp_out_gpt2_jumprelu_fisher_false_project_TinyStories - shrinkage.l2_ratio__MAX","layer_5_hook_mlp_out_gpt2_jumprelu_fisher_false_project_TinyStories - shrinkage.l2_ratio","layer_5_hook_mlp_out_gpt2_jumprelu_fisher_false_project_TinyStories - shrinkage.l2_ratio__MIN","layer_5_hook_mlp_out_gpt2_jumprelu_fisher_false_project_TinyStories - shrinkage.l2_ratio__MAX","layer_0_hook_mlp_out_gpt2_jumprelu_fisher_false_project_TinyStories - shrinkage.l2_ratio","layer_0_hook_mlp_out_gpt2_jumprelu_fisher_false_project_TinyStories - shrinkage.l2_ratio__MIN","layer_0_hook_mlp_out_gpt2_jumprelu_fisher_false_project_TinyStories - shrinkage.l2_ratio__MAX","layer_10_hook_mlp_out_gpt2_jumprelu_fisher_true_project_TinyStories - shrinkage.l2_ratio","layer_10_hook_mlp_out_gpt2_jumprelu_fisher_true_project_TinyStories - shrinkage.l2_ratio__MIN","layer_10_hook_mlp_out_gpt2_jumprelu_fisher_true_project_TinyStories - shrinkage.l2_ratio__MAX","layer_5_hook_mlp_out_gpt2_jumprelu_fisher_true_project_TinyStories - shrinkage.l2_ratio","layer_5_hook_mlp_out_gpt2_jumprelu_fisher_true_project_TinyStories - shrinkage.l2_ratio__MIN","layer_5_hook_mlp_out_gpt2_jumprelu_fisher_true_project_TinyStories - shrinkage.l2_ratio__MAX","layer_0_hook_mlp_out_gpt2_jumprelu_fisher_true_project_TinyStories - shrinkage.l2_ratio","layer_0_hook_mlp_out_gpt2_jumprelu_fisher_true_project_TinyStories - shrinkage.l2_ratio__MIN","layer_0_hook_mlp_out_gpt2_jumprelu_fisher_true_project_TinyStories - shrinkage.l2_ratio__MAX"
"599","2.6064541339874268","2.6064541339874268","2.6064541339874268","0.5494887232780457","0.5494887232780457","0.5494887232780457","0.9072474837303162","0.9072474837303162","0.9072474837303162","2.62884783744812","2.62884783744812","2.62884783744812","0.5574547648429871","0.5574547648429871","0.5574547648429871","0.9098156094551086","0.9098156094551086","0.9098156094551086"
"1199","2.678231954574585","2.678231954574585","2.678231954574585","0.5990719795227051","0.5990719795227051","0.5990719795227051","0.9288010001182556","0.9288010001182556","0.9288010001182556","2.7034831047058105","2.7034831047058105","2.7034831047058105","0.6046704649925232","0.6046704649925232","0.6046704649925232","0.930698812007904","0.930698812007904","0.930698812007904"
"1799","2.6949315071105957","2.6949315071105957","2.6949315071105957","0.6131280064582825","0.6131280064582825","0.6131280064582825","0.9347427487373352","0.9347427487373352","0.9347427487373352","2.7095932960510254","2.7095932960510254","2.7095932960510254","0.6173080801963806","0.6173080801963806","0.6173080801963806","0.9356710314750671","0.9356710314750671","0.9356710314750671"
"2399","2.7093796730041504","2.7093796730041504","2.7093796730041504","0.6171305775642395","0.6171305775642395","0.6171305775642395","0.9364848136901855","0.9364848136901855","0.9364848136901855","2.709894895553589","2.709894895553589","2.709894895553589","0.6196603178977966","0.6196603178977966","0.6196603178977966","0.9374186396598816","0.9374186396598816","0.9374186396598816"
"2999","2.7125167846679688","2.7125167846679688","2.7125167846679688","0.6173157095909119","0.6173157095909119","0.6173157095909119","0.937354564666748","0.937354564666748","0.937354564666748","2.7282238006591797","2.7282238006591797","2.7282238006591797","0.6193751692771912","0.6193751692771912","0.6193751692771912","0.938572347164154","0.938572347164154","0.938572347164154"
"3599","2.7167840003967285","2.7167840003967285","2.7167840003967285","0.61735600233078","0.61735600233078","0.61735600233078","0.9390618205070496","0.9390618205070496","0.9390618205070496","2.7247204780578613","2.7247204780578613","2.7247204780578613","0.618858277797699","0.618858277797699","0.618858277797699","0.9401848912239075","0.9401848912239075","0.9401848912239075"
"4199","2.71679425239563","2.71679425239563","2.71679425239563","0.6178833246231079","0.6178833246231079","0.6178833246231079","0.9393770098686218","0.9393770098686218","0.9393770098686218","2.7220115661621094","2.7220115661621094","2.7220115661621094","0.6193053126335144","0.6193053126335144","0.6193053126335144","0.9389755129814148","0.9389755129814148","0.9389755129814148"
"4799","2.7179651260375977","2.7179651260375977","2.7179651260375977","0.6182003617286682","0.6182003617286682","0.6182003617286682","0.9392713904380798","0.9392713904380798","0.9392713904380798","2.720463275909424","2.720463275909424","2.720463275909424","0.6195069551467896","0.6195069551467896","0.6195069551467896","0.939344584941864","0.939344584941864","0.939344584941864"
"5399","2.7162137031555176","2.7162137031555176","2.7162137031555176","0.618264377117157","0.618264377117157","0.618264377117157","0.9393684267997742","0.9393684267997742","0.9393684267997742","2.7174324989318848","2.7174324989318848","2.7174324989318848","0.6193028688430786","0.6193028688430786","0.6193028688430786","0.9398753046989441","0.9398753046989441","0.9398753046989441"
"5999","2.7181928157806396","2.7181928157806396","2.7181928157806396","0.6182795763015747","0.6182795763015747","0.6182795763015747","0.9395288825035095","0.9395288825035095","0.9395288825035095","2.717485189437866","2.717485189437866","2.717485189437866","0.6195039749145508","0.6195039749145508","0.6195039749145508","0.940217912197113","0.940217912197113","0.940217912197113"
