"Step","layer_10_hook_mlp_out_gpt2_jumprelu_fisher_false_project_TinyStories - losses/mse_loss","layer_10_hook_mlp_out_gpt2_jumprelu_fisher_false_project_TinyStories - losses/mse_loss__MIN","layer_10_hook_mlp_out_gpt2_jumprelu_fisher_false_project_TinyStories - losses/mse_loss__MAX","layer_5_hook_mlp_out_gpt2_jumprelu_fisher_false_project_TinyStories - losses/mse_loss","layer_5_hook_mlp_out_gpt2_jumprelu_fisher_false_project_TinyStories - losses/mse_loss__MIN","layer_5_hook_mlp_out_gpt2_jumprelu_fisher_false_project_TinyStories - losses/mse_loss__MAX","layer_0_hook_mlp_out_gpt2_jumprelu_fisher_false_project_TinyStories - losses/mse_loss","layer_0_hook_mlp_out_gpt2_jumprelu_fisher_false_project_TinyStories - losses/mse_loss__MIN","layer_0_hook_mlp_out_gpt2_jumprelu_fisher_false_project_TinyStories - losses/mse_loss__MAX","layer_10_hook_mlp_out_gpt2_jumprelu_fisher_true_project_TinyStories - losses/mse_loss","layer_10_hook_mlp_out_gpt2_jumprelu_fisher_true_project_TinyStories - losses/mse_loss__MIN","layer_10_hook_mlp_out_gpt2_jumprelu_fisher_true_project_TinyStories - losses/mse_loss__MAX","layer_5_hook_mlp_out_gpt2_jumprelu_fisher_true_project_TinyStories - losses/mse_loss","layer_5_hook_mlp_out_gpt2_jumprelu_fisher_true_project_TinyStories - losses/mse_loss__MIN","layer_5_hook_mlp_out_gpt2_jumprelu_fisher_true_project_TinyStories - losses/mse_loss__MAX","layer_0_hook_mlp_out_gpt2_jumprelu_fisher_true_project_TinyStories - losses/mse_loss","layer_0_hook_mlp_out_gpt2_jumprelu_fisher_true_project_TinyStories - losses/mse_loss__MIN","layer_0_hook_mlp_out_gpt2_jumprelu_fisher_true_project_TinyStories - losses/mse_loss__MAX"
"29","2852.05810546875","2852.05810546875","2852.05810546875","218.35769653320312","218.35769653320312","218.35769653320312","377.32415771484375","377.32415771484375","377.32415771484375","2850.24267578125","2850.24267578125","2850.24267578125","218.464599609375","218.464599609375","218.464599609375","376.3943786621094","376.3943786621094","376.3943786621094"
"59","1546.3460693359375","1546.3460693359375","1546.3460693359375","158.86656188964844","158.86656188964844","158.86656188964844","216.7923583984375","216.7923583984375","216.7923583984375","1548.037109375","1548.037109375","1548.037109375","158.8524627685547","158.8524627685547","158.8524627685547","213.6297149658203","213.6297149658203","213.6297149658203"
"89","947.5689086914062","947.5689086914062","947.5689086914062","131.7889404296875","131.7889404296875","131.7889404296875","142.06629943847656","142.06629943847656","142.06629943847656","940.9952392578125","940.9952392578125","940.9952392578125","130.9241485595703","130.9241485595703","130.9241485595703","140.076416015625","140.076416015625","140.076416015625"
"119","665.2891235351562","665.2891235351562","665.2891235351562","106.56149291992188","106.56149291992188","106.56149291992188","132.42337036132812","132.42337036132812","132.42337036132812","658.5673217773438","658.5673217773438","658.5673217773438","105.54535675048828","105.54535675048828","105.54535675048828","130.53936767578125","130.53936767578125","130.53936767578125"
"149","578.6370849609375","578.6370849609375","578.6370849609375","125.53968811035156","125.53968811035156","125.53968811035156","195.78384399414062","195.78384399414062","195.78384399414062","571.585205078125","571.585205078125","571.585205078125","125.22798919677734","125.22798919677734","125.22798919677734","193.89183044433594","193.89183044433594","193.89183044433594"
"179","492.0503845214844","492.0503845214844","492.0503845214844","101.5198745727539","101.5198745727539","101.5198745727539","120.1528091430664","120.1528091430664","120.1528091430664","485.7742614746094","485.7742614746094","485.7742614746094","100.6429672241211","100.6429672241211","100.6429672241211","118.39706420898438","118.39706420898438","118.39706420898438"
"209","459.06787109375","459.06787109375","459.06787109375","77.68501281738281","77.68501281738281","77.68501281738281","72.554931640625","72.554931640625","72.554931640625","452.6691589355469","452.6691589355469","452.6691589355469","75.8678970336914","75.8678970336914","75.8678970336914","70.67079162597656","70.67079162597656","70.67079162597656"
"239","372.77459716796875","372.77459716796875","372.77459716796875","68.964599609375","68.964599609375","68.964599609375","66.6095199584961","66.6095199584961","66.6095199584961","366.5133361816406","366.5133361816406","366.5133361816406","66.50666046142578","66.50666046142578","66.50666046142578","64.72306060791016","64.72306060791016","64.72306060791016"
"269","332.5960388183594","332.5960388183594","332.5960388183594","56.60343551635742","56.60343551635742","56.60343551635742","44.27392578125","44.27392578125","44.27392578125","326.9579162597656","326.9579162597656","326.9579162597656","55.03968048095703","55.03968048095703","55.03968048095703","42.901737213134766","42.901737213134766","42.901737213134766"
"299","317.0562744140625","317.0562744140625","317.0562744140625","57.86682891845703","57.86682891845703","57.86682891845703","63.05517578125","63.05517578125","63.05517578125","311.5159606933594","311.5159606933594","311.5159606933594","55.524330139160156","55.524330139160156","55.524330139160156","61.47104263305664","61.47104263305664","61.47104263305664"
