"Step","layer_10_hook_mlp_out_gpt2_standard_fisher_false_project_TinyStories - sparsity.l1","layer_10_hook_mlp_out_gpt2_standard_fisher_false_project_TinyStories - sparsity.l1__MIN","layer_10_hook_mlp_out_gpt2_standard_fisher_false_project_TinyStories - sparsity.l1__MAX","layer_5_hook_mlp_out_gpt2_standard_fisher_false_project_TinyStories - sparsity.l1","layer_5_hook_mlp_out_gpt2_standard_fisher_false_project_TinyStories - sparsity.l1__MIN","layer_5_hook_mlp_out_gpt2_standard_fisher_false_project_TinyStories - sparsity.l1__MAX","layer_0_hook_mlp_out_gpt2_standard_fisher_false_project_TinyStories - sparsity.l1","layer_0_hook_mlp_out_gpt2_standard_fisher_false_project_TinyStories - sparsity.l1__MIN","layer_0_hook_mlp_out_gpt2_standard_fisher_false_project_TinyStories - sparsity.l1__MAX","layer_10_hook_mlp_out_gpt2_standard_fisher_true_project_TinyStories - sparsity.l1","layer_10_hook_mlp_out_gpt2_standard_fisher_true_project_TinyStories - sparsity.l1__MIN","layer_10_hook_mlp_out_gpt2_standard_fisher_true_project_TinyStories - sparsity.l1__MAX","layer_5_hook_mlp_out_gpt2_standard_fisher_true_project_TinyStories - sparsity.l1","layer_5_hook_mlp_out_gpt2_standard_fisher_true_project_TinyStories - sparsity.l1__MIN","layer_5_hook_mlp_out_gpt2_standard_fisher_true_project_TinyStories - sparsity.l1__MAX","layer_0_hook_mlp_out_gpt2_standard_fisher_true_project_TinyStories - sparsity.l1","layer_0_hook_mlp_out_gpt2_standard_fisher_true_project_TinyStories - sparsity.l1__MIN","layer_0_hook_mlp_out_gpt2_standard_fisher_true_project_TinyStories - sparsity.l1__MAX"
"599","4745.97900390625","4745.97900390625","4745.97900390625","4676.92919921875","4676.92919921875","4676.92919921875","5021.8134765625","5021.8134765625","5021.8134765625","3652.97265625","3652.97265625","3652.97265625","3856.328125","3856.328125","3856.328125","4724.01904296875","4724.01904296875","4724.01904296875"
"1199","5312.35302734375","5312.35302734375","5312.35302734375","5769.32470703125","5769.32470703125","5769.32470703125","5686.49658203125","5686.49658203125","5686.49658203125","3210.223876953125","3210.223876953125","3210.223876953125","4194.66943359375","4194.66943359375","4194.66943359375","5175.88671875","5175.88671875","5175.88671875"
"1799","5602.55419921875","5602.55419921875","5602.55419921875","6580.7890625","6580.7890625","6580.7890625","6035.1142578125","6035.1142578125","6035.1142578125","2956.169921875","2956.169921875","2956.169921875","4377.38134765625","4377.38134765625","4377.38134765625","5370.86376953125","5370.86376953125","5370.86376953125"
"2399","5782.65966796875","5782.65966796875","5782.65966796875","7170.06103515625","7170.06103515625","7170.06103515625","6298.33154296875","6298.33154296875","6298.33154296875","2842.629638671875","2842.629638671875","2842.629638671875","4496.9833984375","4496.9833984375","4496.9833984375","5532.86181640625","5532.86181640625","5532.86181640625"
"2999","5981.6435546875","5981.6435546875","5981.6435546875","7448.77490234375","7448.77490234375","7448.77490234375","6348.2509765625","6348.2509765625","6348.2509765625","2835.379638671875","2835.379638671875","2835.379638671875","4613.89697265625","4613.89697265625","4613.89697265625","5584.02490234375","5584.02490234375","5584.02490234375"
"3599","6048.927734375","6048.927734375","6048.927734375","7728.86328125","7728.86328125","7728.86328125","6444.8994140625","6444.8994140625","6444.8994140625","2833.250732421875","2833.250732421875","2833.250732421875","4742","4742","4742","5644.3046875","5644.3046875","5644.3046875"
"4199","6103.6044921875","6103.6044921875","6103.6044921875","7890.625","7890.625","7890.625","6462.70458984375","6462.70458984375","6462.70458984375","3000.074951171875","3000.074951171875","3000.074951171875","4876.38525390625","4876.38525390625","4876.38525390625","5705.5341796875","5705.5341796875","5705.5341796875"
"4799","6132.32373046875","6132.32373046875","6132.32373046875","8046.17578125","8046.17578125","8046.17578125","6487.11865234375","6487.11865234375","6487.11865234375","3151.616455078125","3151.616455078125","3151.616455078125","4937.86083984375","4937.86083984375","4937.86083984375","5721.71435546875","5721.71435546875","5721.71435546875"
"5399","6173.62890625","6173.62890625","6173.62890625","8222.9970703125","8222.9970703125","8222.9970703125","6470.46435546875","6470.46435546875","6470.46435546875","3379.114013671875","3379.114013671875","3379.114013671875","5031.2783203125","5031.2783203125","5031.2783203125","5757.42724609375","5757.42724609375","5757.42724609375"
"5999","6197.43359375","6197.43359375","6197.43359375","8293.197265625","8293.197265625","8293.197265625","6398.0244140625","6398.0244140625","6398.0244140625","3574.41259765625","3574.41259765625","3574.41259765625","5058.69873046875","5058.69873046875","5058.69873046875","5753.3837890625","5753.3837890625","5753.3837890625"
