"Step","layer_10_hook_mlp_out_gpt2_standard_fisher_false_project_TinyStories - losses/mse_loss","layer_10_hook_mlp_out_gpt2_standard_fisher_false_project_TinyStories - losses/mse_loss__MIN","layer_10_hook_mlp_out_gpt2_standard_fisher_false_project_TinyStories - losses/mse_loss__MAX","layer_5_hook_mlp_out_gpt2_standard_fisher_false_project_TinyStories - losses/mse_loss","layer_5_hook_mlp_out_gpt2_standard_fisher_false_project_TinyStories - losses/mse_loss__MIN","layer_5_hook_mlp_out_gpt2_standard_fisher_false_project_TinyStories - losses/mse_loss__MAX","layer_0_hook_mlp_out_gpt2_standard_fisher_false_project_TinyStories - losses/mse_loss","layer_0_hook_mlp_out_gpt2_standard_fisher_false_project_TinyStories - losses/mse_loss__MIN","layer_0_hook_mlp_out_gpt2_standard_fisher_false_project_TinyStories - losses/mse_loss__MAX","layer_10_hook_mlp_out_gpt2_standard_fisher_true_project_TinyStories - losses/mse_loss","layer_10_hook_mlp_out_gpt2_standard_fisher_true_project_TinyStories - losses/mse_loss__MIN","layer_10_hook_mlp_out_gpt2_standard_fisher_true_project_TinyStories - losses/mse_loss__MAX","layer_5_hook_mlp_out_gpt2_standard_fisher_true_project_TinyStories - losses/mse_loss","layer_5_hook_mlp_out_gpt2_standard_fisher_true_project_TinyStories - losses/mse_loss__MIN","layer_5_hook_mlp_out_gpt2_standard_fisher_true_project_TinyStories - losses/mse_loss__MAX","layer_0_hook_mlp_out_gpt2_standard_fisher_true_project_TinyStories - losses/mse_loss","layer_0_hook_mlp_out_gpt2_standard_fisher_true_project_TinyStories - losses/mse_loss__MIN","layer_0_hook_mlp_out_gpt2_standard_fisher_true_project_TinyStories - losses/mse_loss__MAX"
"29","2852.159423828125","2852.159423828125","2852.159423828125","218.41297912597656","218.41297912597656","218.41297912597656","377.3635559082031","377.3635559082031","377.3635559082031","2850.37841796875","2850.37841796875","2850.37841796875","218.5272216796875","218.5272216796875","218.5272216796875","376.44561767578125","376.44561767578125","376.44561767578125"
"59","1546.3685302734375","1546.3685302734375","1546.3685302734375","158.94158935546875","158.94158935546875","158.94158935546875","216.76751708984375","216.76751708984375","216.76751708984375","1548.1173095703125","1548.1173095703125","1548.1173095703125","158.94078063964844","158.94078063964844","158.94078063964844","213.62152099609375","213.62152099609375","213.62152099609375"
"89","947.4797973632812","947.4797973632812","947.4797973632812","131.86668395996094","131.86668395996094","131.86668395996094","142.0370330810547","142.0370330810547","142.0370330810547","940.9231567382812","940.9231567382812","940.9231567382812","131.01400756835938","131.01400756835938","131.01400756835938","140.0528564453125","140.0528564453125","140.0528564453125"
"119","665.2168579101562","665.2168579101562","665.2168579101562","106.62451934814453","106.62451934814453","106.62451934814453","132.39186096191406","132.39186096191406","132.39186096191406","658.5070190429688","658.5070190429688","658.5070190429688","105.62245178222656","105.62245178222656","105.62245178222656","130.50938415527344","130.50938415527344","130.50938415527344"
"149","578.5591430664062","578.5591430664062","578.5591430664062","125.5827865600586","125.5827865600586","125.5827865600586","195.7653045654297","195.7653045654297","195.7653045654297","571.5108032226562","571.5108032226562","571.5108032226562","125.3012466430664","125.3012466430664","125.3012466430664","193.875244140625","193.875244140625","193.875244140625"
"179","491.96868896484375","491.96868896484375","491.96868896484375","101.54537963867188","101.54537963867188","101.54537963867188","120.13926696777344","120.13926696777344","120.13926696777344","485.693115234375","485.693115234375","485.693115234375","100.700927734375","100.700927734375","100.700927734375","118.38433074951172","118.38433074951172","118.38433074951172"
"209","458.9733581542969","458.9733581542969","458.9733581542969","77.73280334472656","77.73280334472656","77.73280334472656","72.5228271484375","72.5228271484375","72.5228271484375","452.5758361816406","452.5758361816406","452.5758361816406","75.93012237548828","75.93012237548828","75.93012237548828","70.63919830322266","70.63919830322266","70.63919830322266"
"239","372.68499755859375","372.68499755859375","372.68499755859375","69.00436401367188","69.00436401367188","69.00436401367188","66.57028198242188","66.57028198242188","66.57028198242188","366.4287109375","366.4287109375","366.4287109375","66.55721282958984","66.55721282958984","66.55721282958984","64.68507385253906","64.68507385253906","64.68507385253906"
"269","332.5164794921875","332.5164794921875","332.5164794921875","56.63152313232422","56.63152313232422","56.63152313232422","44.24432373046875","44.24432373046875","44.24432373046875","326.8719787597656","326.8719787597656","326.8719787597656","55.07814407348633","55.07814407348633","55.07814407348633","42.87438201904297","42.87438201904297","42.87438201904297"
"299","316.9837341308594","316.9837341308594","316.9837341308594","57.8896369934082","57.8896369934082","57.8896369934082","63.01948165893555","63.01948165893555","63.01948165893555","311.4439392089844","311.4439392089844","311.4439392089844","55.56170654296875","55.56170654296875","55.56170654296875","61.4377555847168","61.4377555847168","61.4377555847168"
"329","167.5839385986328","167.5839385986328","167.5839385986328","88.48128509521484","88.48128509521484","88.48128509521484","38.195613861083984","38.195613861083984","38.195613861083984","164.9433135986328","164.9433135986328","164.9433135986328","84.33306121826172","84.33306121826172","84.33306121826172","37.02850341796875","37.02850341796875","37.02850341796875"
"359","161.40579223632812","161.40579223632812","161.40579223632812","73.35743713378906","73.35743713378906","73.35743713378906","45.94466781616211","45.94466781616211","45.94466781616211","159.96331787109375","159.96331787109375","159.96331787109375","70.75633239746094","70.75633239746094","70.75633239746094","44.46209716796875","44.46209716796875","44.46209716796875"
"389","169.5668487548828","169.5668487548828","169.5668487548828","67.9557113647461","67.9557113647461","67.9557113647461","31.844505310058594","31.844505310058594","31.844505310058594","169.50250244140625","169.50250244140625","169.50250244140625","65.7553482055664","65.7553482055664","65.7553482055664","30.832353591918945","30.832353591918945","30.832353591918945"
"419","146.314697265625","146.314697265625","146.314697265625","71.56111145019531","71.56111145019531","71.56111145019531","37.268272399902344","37.268272399902344","37.268272399902344","145.8905792236328","145.8905792236328","145.8905792236328","69.55962371826172","69.55962371826172","69.55962371826172","36.16001892089844","36.16001892089844","36.16001892089844"
"449","129.6021270751953","129.6021270751953","129.6021270751953","53.624568939208984","53.624568939208984","53.624568939208984","30.350629806518555","30.350629806518555","30.350629806518555","128.8060302734375","128.8060302734375","128.8060302734375","51.13435363769531","51.13435363769531","51.13435363769531","29.41526222229004","29.41526222229004","29.41526222229004"
"479","117.1000747680664","117.1000747680664","117.1000747680664","53.64252471923828","53.64252471923828","53.64252471923828","30.053802490234375","30.053802490234375","30.053802490234375","115.08602905273438","115.08602905273438","115.08602905273438","51.64825439453125","51.64825439453125","51.64825439453125","29.3754940032959","29.3754940032959","29.3754940032959"
"509","113.89708709716797","113.89708709716797","113.89708709716797","51.65838623046875","51.65838623046875","51.65838623046875","33.77529525756836","33.77529525756836","33.77529525756836","113.58949279785156","113.58949279785156","113.58949279785156","49.50748825073242","49.50748825073242","49.50748825073242","32.65077209472656","32.65077209472656","32.65077209472656"
"539","102.86091613769531","102.86091613769531","102.86091613769531","40.1257209777832","40.1257209777832","40.1257209777832","27.7239933013916","27.7239933013916","27.7239933013916","101.04115295410156","101.04115295410156","101.04115295410156","37.82842254638672","37.82842254638672","37.82842254638672","27.059701919555664","27.059701919555664","27.059701919555664"
"569","107.54978942871094","107.54978942871094","107.54978942871094","39.0231819152832","39.0231819152832","39.0231819152832","21.396224975585938","21.396224975585938","21.396224975585938","106.46688842773438","106.46688842773438","106.46688842773438","36.91960525512695","36.91960525512695","36.91960525512695","20.726303100585938","20.726303100585938","20.726303100585938"
"599","89.09437561035156","89.09437561035156","89.09437561035156","46.97958755493164","46.97958755493164","46.97958755493164","23.45987319946289","23.45987319946289","23.45987319946289","88.4759750366211","88.4759750366211","88.4759750366211","44.181434631347656","44.181434631347656","44.181434631347656","22.664257049560547","22.664257049560547","22.664257049560547"
"629","82.37571716308594","82.37571716308594","82.37571716308594","36.63706970214844","36.63706970214844","36.63706970214844","27.099164962768555","27.099164962768555","27.099164962768555","83.39421081542969","83.39421081542969","83.39421081542969","35.063758850097656","35.063758850097656","35.063758850097656","26.160282135009766","26.160282135009766","26.160282135009766"
"659","75.32352447509766","75.32352447509766","75.32352447509766","39.15361022949219","39.15361022949219","39.15361022949219","24.80914306640625","24.80914306640625","24.80914306640625","73.697998046875","73.697998046875","73.697998046875","36.94158935546875","36.94158935546875","36.94158935546875","23.870094299316406","23.870094299316406","23.870094299316406"
"689","59.867454528808594","59.867454528808594","59.867454528808594","37.401817321777344","37.401817321777344","37.401817321777344","17.486204147338867","17.486204147338867","17.486204147338867","57.53253936767578","57.53253936767578","57.53253936767578","34.9927864074707","34.9927864074707","34.9927864074707","16.774755477905273","16.774755477905273","16.774755477905273"
"719","71.7761459350586","71.7761459350586","71.7761459350586","29.00562858581543","29.00562858581543","29.00562858581543","18.6796875","18.6796875","18.6796875","69.2972640991211","69.2972640991211","69.2972640991211","27.578325271606445","27.578325271606445","27.578325271606445","18.14409637451172","18.14409637451172","18.14409637451172"
"749","70.30630493164062","70.30630493164062","70.30630493164062","28.946054458618164","28.946054458618164","28.946054458618164","16.060007095336914","16.060007095336914","16.060007095336914","70.30086517333984","70.30086517333984","70.30086517333984","28.114486694335938","28.114486694335938","28.114486694335938","15.299262046813965","15.299262046813965","15.299262046813965"
"779","60.21892547607422","60.21892547607422","60.21892547607422","27.3922061920166","27.3922061920166","27.3922061920166","15.711009979248047","15.711009979248047","15.711009979248047","57.54636764526367","57.54636764526367","57.54636764526367","26.385257720947266","26.385257720947266","26.385257720947266","14.916608810424805","14.916608810424805","14.916608810424805"
"809","50.84660720825195","50.84660720825195","50.84660720825195","22.205228805541992","22.205228805541992","22.205228805541992","12.162043571472168","12.162043571472168","12.162043571472168","49.2724494934082","49.2724494934082","49.2724494934082","21.062543869018555","21.062543869018555","21.062543869018555","11.839688301086426","11.839688301086426","11.839688301086426"
"839","60.47959899902344","60.47959899902344","60.47959899902344","25.964374542236328","25.964374542236328","25.964374542236328","16.024242401123047","16.024242401123047","16.024242401123047","58.78583908081055","58.78583908081055","58.78583908081055","24.346981048583984","24.346981048583984","24.346981048583984","15.212164878845215","15.212164878845215","15.212164878845215"
"869","57.257572174072266","57.257572174072266","57.257572174072266","19.77558708190918","19.77558708190918","19.77558708190918","14.86663818359375","14.86663818359375","14.86663818359375","55.17129898071289","55.17129898071289","55.17129898071289","18.99205207824707","18.99205207824707","18.99205207824707","14.232766151428223","14.232766151428223","14.232766151428223"
"899","43.75619125366211","43.75619125366211","43.75619125366211","18.403427124023438","18.403427124023438","18.403427124023438","14.669743537902832","14.669743537902832","14.669743537902832","42.081512451171875","42.081512451171875","42.081512451171875","17.016643524169922","17.016643524169922","17.016643524169922","13.722826957702637","13.722826957702637","13.722826957702637"
"929","38.79555130004883","38.79555130004883","38.79555130004883","17.087034225463867","17.087034225463867","17.087034225463867","13.633110046386719","13.633110046386719","13.633110046386719","37.76953125","37.76953125","37.76953125","16.28559112548828","16.28559112548828","16.28559112548828","12.92888355255127","12.92888355255127","12.92888355255127"
"959","41.88014602661133","41.88014602661133","41.88014602661133","14.018916130065918","14.018916130065918","14.018916130065918","10.866835594177246","10.866835594177246","10.866835594177246","40.3200569152832","40.3200569152832","40.3200569152832","14.138965606689453","14.138965606689453","14.138965606689453","10.448019981384277","10.448019981384277","10.448019981384277"
"989","23.93415069580078","23.93415069580078","23.93415069580078","23.82145118713379","23.82145118713379","23.82145118713379","13.241822242736816","13.241822242736816","13.241822242736816","23.589208602905273","23.589208602905273","23.589208602905273","22.072473526000977","22.072473526000977","22.072473526000977","12.421998977661133","12.421998977661133","12.421998977661133"
"1019","22.083890914916992","22.083890914916992","22.083890914916992","19.795730590820312","19.795730590820312","19.795730590820312","11.978608131408691","11.978608131408691","11.978608131408691","21.909292221069336","21.909292221069336","21.909292221069336","18.648752212524414","18.648752212524414","18.648752212524414","11.46944522857666","11.46944522857666","11.46944522857666"
"1049","23.5512638092041","23.5512638092041","23.5512638092041","15.505513191223145","15.505513191223145","15.505513191223145","9.410024642944336","9.410024642944336","9.410024642944336","23.534818649291992","23.534818649291992","23.534818649291992","15.460702896118164","15.460702896118164","15.460702896118164","8.963667869567871","8.963667869567871","8.963667869567871"
"1079","21.482206344604492","21.482206344604492","21.482206344604492","16.703811645507812","16.703811645507812","16.703811645507812","12.548675537109375","12.548675537109375","12.548675537109375","22.577953338623047","22.577953338623047","22.577953338623047","14.980180740356445","14.980180740356445","14.980180740356445","11.914648056030273","11.914648056030273","11.914648056030273"
"1109","20.474830627441406","20.474830627441406","20.474830627441406","13.780095100402832","13.780095100402832","13.780095100402832","9.039037704467773","9.039037704467773","9.039037704467773","21.524871826171875","21.524871826171875","21.524871826171875","12.504125595092773","12.504125595092773","12.504125595092773","8.7505464553833","8.7505464553833","8.7505464553833"
"1139","30.150712966918945","30.150712966918945","30.150712966918945","18.400798797607422","18.400798797607422","18.400798797607422","8.878030776977539","8.878030776977539","8.878030776977539","32.982418060302734","32.982418060302734","32.982418060302734","16.92285919189453","16.92285919189453","16.92285919189453","8.42872142791748","8.42872142791748","8.42872142791748"
"1169","31.5476131439209","31.5476131439209","31.5476131439209","12.365180015563965","12.365180015563965","12.365180015563965","9.63431453704834","9.63431453704834","9.63431453704834","34.171875","34.171875","34.171875","11.378116607666016","11.378116607666016","11.378116607666016","9.311124801635742","9.311124801635742","9.311124801635742"
"1199","19.265155792236328","19.265155792236328","19.265155792236328","10.777606964111328","10.777606964111328","10.777606964111328","7.357157230377197","7.357157230377197","7.357157230377197","19.77609634399414","19.77609634399414","19.77609634399414","10.103107452392578","10.103107452392578","10.103107452392578","6.978515625","6.978515625","6.978515625"
"1229","16.295042037963867","16.295042037963867","16.295042037963867","11.798535346984863","11.798535346984863","11.798535346984863","9.7222900390625","9.7222900390625","9.7222900390625","18.11873435974121","18.11873435974121","18.11873435974121","11.324844360351562","11.324844360351562","11.324844360351562","9.248601913452148","9.248601913452148","9.248601913452148"
"1259","19.863201141357422","19.863201141357422","19.863201141357422","12.26144027709961","12.26144027709961","12.26144027709961","8.929017066955566","8.929017066955566","8.929017066955566","21.615951538085938","21.615951538085938","21.615951538085938","10.380826950073242","10.380826950073242","10.380826950073242","8.296737670898438","8.296737670898438","8.296737670898438"
"1289","15.801881790161133","15.801881790161133","15.801881790161133","9.329272270202637","9.329272270202637","9.329272270202637","8.862298965454102","8.862298965454102","8.862298965454102","17.642963409423828","17.642963409423828","17.642963409423828","8.424899101257324","8.424899101257324","8.424899101257324","8.552776336669922","8.552776336669922","8.552776336669922"
"1319","15.26852035522461","15.26852035522461","15.26852035522461","9.519092559814453","9.519092559814453","9.519092559814453","8.930633544921875","8.930633544921875","8.930633544921875","16.74837875366211","16.74837875366211","16.74837875366211","9.013686180114746","9.013686180114746","9.013686180114746","8.417939186096191","8.417939186096191","8.417939186096191"
"1349","15.427050590515137","15.427050590515137","15.427050590515137","9.942858695983887","9.942858695983887","9.942858695983887","8.315460205078125","8.315460205078125","8.315460205078125","16.921689987182617","16.921689987182617","16.921689987182617","8.653726577758789","8.653726577758789","8.653726577758789","7.8511962890625","7.8511962890625","7.8511962890625"
"1379","13.34123420715332","13.34123420715332","13.34123420715332","8.970977783203125","8.970977783203125","8.970977783203125","7.668296813964844","7.668296813964844","7.668296813964844","13.95805549621582","13.95805549621582","13.95805549621582","9.123006820678711","9.123006820678711","9.123006820678711","7.25445556640625","7.25445556640625","7.25445556640625"
"1409","15.677257537841797","15.677257537841797","15.677257537841797","8.501458168029785","8.501458168029785","8.501458168029785","6.120306491851807","6.120306491851807","6.120306491851807","17.736278533935547","17.736278533935547","17.736278533935547","8.374495506286621","8.374495506286621","8.374495506286621","5.727156639099121","5.727156639099121","5.727156639099121"
"1439","14.041025161743164","14.041025161743164","14.041025161743164","5.945825099945068","5.945825099945068","5.945825099945068","5.839678764343262","5.839678764343262","5.839678764343262","15.457159996032715","15.457159996032715","15.457159996032715","6.63092041015625","6.63092041015625","6.63092041015625","5.460453510284424","5.460453510284424","5.460453510284424"
"1469","18.240907669067383","18.240907669067383","18.240907669067383","6.337886810302734","6.337886810302734","6.337886810302734","6.527725696563721","6.527725696563721","6.527725696563721","20.117399215698242","20.117399215698242","20.117399215698242","6.912220478057861","6.912220478057861","6.912220478057861","5.830931186676025","5.830931186676025","5.830931186676025"
