"Step","layer_0_residual_mid_gpt2_standard_fisher_false_project_TinyStories - sparsity.l0","layer_0_residual_mid_gpt2_standard_fisher_false_project_TinyStories - sparsity.l0__MIN","layer_0_residual_mid_gpt2_standard_fisher_false_project_TinyStories - sparsity.l0__MAX","layer_0_residual_mid_gpt2_topk_fisher_false_project_TinyStories - sparsity.l0","layer_0_residual_mid_gpt2_topk_fisher_false_project_TinyStories - sparsity.l0__MIN","layer_0_residual_mid_gpt2_topk_fisher_false_project_TinyStories - sparsity.l0__MAX","layer_0_residual_mid_gpt2_jumprelu_fisher_false_project_TinyStories - sparsity.l0","layer_0_residual_mid_gpt2_jumprelu_fisher_false_project_TinyStories - sparsity.l0__MIN","layer_0_residual_mid_gpt2_jumprelu_fisher_false_project_TinyStories - sparsity.l0__MAX","layer_0_residual_mid_gpt2_gated_fisher_false_project_TinyStories - sparsity.l0","layer_0_residual_mid_gpt2_gated_fisher_false_project_TinyStories - sparsity.l0__MIN","layer_0_residual_mid_gpt2_gated_fisher_false_project_TinyStories - sparsity.l0__MAX","layer_0_residual_mid_gpt2_standard_fisher_true_project_TinyStories - sparsity.l0","layer_0_residual_mid_gpt2_standard_fisher_true_project_TinyStories - sparsity.l0__MIN","layer_0_residual_mid_gpt2_standard_fisher_true_project_TinyStories - sparsity.l0__MAX","layer_0_residual_mid_gpt2_topk_fisher_true_project_TinyStories - sparsity.l0","layer_0_residual_mid_gpt2_topk_fisher_true_project_TinyStories - sparsity.l0__MIN","layer_0_residual_mid_gpt2_topk_fisher_true_project_TinyStories - sparsity.l0__MAX","layer_0_residual_mid_gpt2_jumprelu_fisher_true_project_TinyStories - sparsity.l0","layer_0_residual_mid_gpt2_jumprelu_fisher_true_project_TinyStories - sparsity.l0__MIN","layer_0_residual_mid_gpt2_jumprelu_fisher_true_project_TinyStories - sparsity.l0__MAX","layer_0_residual_mid_gpt2_gated_fisher_true_project_TinyStories - sparsity.l0","layer_0_residual_mid_gpt2_gated_fisher_true_project_TinyStories - sparsity.l0__MIN","layer_0_residual_mid_gpt2_gated_fisher_true_project_TinyStories - sparsity.l0__MAX"
"599","12132.4716796875","12132.4716796875","12132.4716796875","100","100","100","12130.5390625","12130.5390625","12130.5390625","2209.782470703125","2209.782470703125","2209.782470703125","11938.7802734375","11938.7802734375","11938.7802734375","100","100","100","11996.0966796875","11996.0966796875","11996.0966796875","1980.5257568359375","1980.5257568359375","1980.5257568359375"
"1199","12160.0458984375","12160.0458984375","12160.0458984375","100","100","100","12159.2529296875","12159.2529296875","12159.2529296875","1680.366455078125","1680.366455078125","1680.366455078125","11890.6240234375","11890.6240234375","11890.6240234375","100","100","100","11941.5234375","11941.5234375","11941.5234375","1441.4326171875","1441.4326171875","1441.4326171875"
"1799","12160.8671875","12160.8671875","12160.8671875","100","100","100","12159.7490234375","12159.7490234375","12159.7490234375","1434.688232421875","1434.688232421875","1434.688232421875","11833.1357421875","11833.1357421875","11833.1357421875","100","100","100","11882.3818359375","11882.3818359375","11882.3818359375","1195.9019775390625","1195.9019775390625","1195.9019775390625"
"2399","12156.3837890625","12156.3837890625","12156.3837890625","100","100","100","12154.8310546875","12154.8310546875","12154.8310546875","1267.5311279296875","1267.5311279296875","1267.5311279296875","11802.5537109375","11802.5537109375","11802.5537109375","100","100","100","11851.7353515625","11851.7353515625","11851.7353515625","1043.7620849609375","1043.7620849609375","1043.7620849609375"
"2999","12147.1318359375","12147.1318359375","12147.1318359375","100","100","100","12146.1513671875","12146.1513671875","12146.1513671875","1154.3172607421875","1154.3172607421875","1154.3172607421875","11693.6455078125","11693.6455078125","11693.6455078125","100","100","100","11743.591796875","11743.591796875","11743.591796875","938.9542846679688","938.9542846679688","938.9542846679688"
"3599","12137.3310546875","12137.3310546875","12137.3310546875","100","100","100","12139.3486328125","12139.3486328125","12139.3486328125","1063.3026123046875","1063.3026123046875","1063.3026123046875","11460.576171875","11460.576171875","11460.576171875","100","100","100","11513.810546875","11513.810546875","11513.810546875","853.6910400390625","853.6910400390625","853.6910400390625"
"4199","12135.611328125","12135.611328125","12135.611328125","100","100","100","12134.81640625","12134.81640625","12134.81640625","989.0878295898438","989.0878295898438","989.0878295898438","11230.5810546875","11230.5810546875","11230.5810546875","100","100","100","11278.0068359375","11278.0068359375","11278.0068359375","788.3453979492188","788.3453979492188","788.3453979492188"
"4799","12138.6904296875","12138.6904296875","12138.6904296875","100","100","100","12132.6455078125","12132.6455078125","12132.6455078125","924.2439575195312","924.2439575195312","924.2439575195312","10983.263671875","10983.263671875","10983.263671875","100","100","100","11026.826171875","11026.826171875","11026.826171875","735.0023803710938","735.0023803710938","735.0023803710938"
"5399","12140.2763671875","12140.2763671875","12140.2763671875","100","100","100","12134.9951171875","12134.9951171875","12134.9951171875","869.5460815429688","869.5460815429688","869.5460815429688","10754.9599609375","10754.9599609375","10754.9599609375","100","100","100","10805.0390625","10805.0390625","10805.0390625","686.226806640625","686.226806640625","686.226806640625"
"5999","12140.0615234375","12140.0615234375","12140.0615234375","100","100","100","12136.021484375","12136.021484375","12136.021484375","829.9888916015625","829.9888916015625","829.9888916015625","10554.7705078125","10554.7705078125","10554.7705078125","100","100","100","10603.36328125","10603.36328125","10603.36328125","651.2590942382812","651.2590942382812","651.2590942382812"
