"Step","layer_10_hook_resid_mid_gpt2_gated_fisher_false_project_TinyStories - sparsity.l0","layer_10_hook_resid_mid_gpt2_gated_fisher_false_project_TinyStories - sparsity.l0__MIN","layer_10_hook_resid_mid_gpt2_gated_fisher_false_project_TinyStories - sparsity.l0__MAX","layer_5_hook_resid_mid_gpt2_gated_fisher_false_project_TinyStories - sparsity.l0","layer_5_hook_resid_mid_gpt2_gated_fisher_false_project_TinyStories - sparsity.l0__MIN","layer_5_hook_resid_mid_gpt2_gated_fisher_false_project_TinyStories - sparsity.l0__MAX","layer_0_hook_resid_mid_gpt2_gated_fisher_false_project_TinyStories - sparsity.l0","layer_0_hook_resid_mid_gpt2_gated_fisher_false_project_TinyStories - sparsity.l0__MIN","layer_0_hook_resid_mid_gpt2_gated_fisher_false_project_TinyStories - sparsity.l0__MAX","layer_10_hook_resid_mid_gpt2_gated_fisher_true_project_TinyStories - sparsity.l0","layer_10_hook_resid_mid_gpt2_gated_fisher_true_project_TinyStories - sparsity.l0__MIN","layer_10_hook_resid_mid_gpt2_gated_fisher_true_project_TinyStories - sparsity.l0__MAX","layer_5_hook_resid_mid_gpt2_gated_fisher_true_project_TinyStories - sparsity.l0","layer_5_hook_resid_mid_gpt2_gated_fisher_true_project_TinyStories - sparsity.l0__MIN","layer_5_hook_resid_mid_gpt2_gated_fisher_true_project_TinyStories - sparsity.l0__MAX","layer_0_hook_resid_mid_gpt2_gated_fisher_true_project_TinyStories - sparsity.l0","layer_0_hook_resid_mid_gpt2_gated_fisher_true_project_TinyStories - sparsity.l0__MIN","layer_0_hook_resid_mid_gpt2_gated_fisher_true_project_TinyStories - sparsity.l0__MAX"
"599","4947.99365234375","4947.99365234375","4947.99365234375","2752.33203125","2752.33203125","2752.33203125","2209.782470703125","2209.782470703125","2209.782470703125","4937.5107421875","4937.5107421875","4937.5107421875","2743.31884765625","2743.31884765625","2743.31884765625","1980.5257568359375","1980.5257568359375","1980.5257568359375"
"1199","3176.50244140625","3176.50244140625","3176.50244140625","1681.135986328125","1681.135986328125","1681.135986328125","1680.366455078125","1680.366455078125","1680.366455078125","3164.815185546875","3164.815185546875","3164.815185546875","1670.537109375","1670.537109375","1670.537109375","1441.4326171875","1441.4326171875","1441.4326171875"
"1799","2164.384765625","2164.384765625","2164.384765625","1187.0504150390625","1187.0504150390625","1187.0504150390625","1434.688232421875","1434.688232421875","1434.688232421875","2150.243896484375","2150.243896484375","2150.243896484375","1175.03955078125","1175.03955078125","1175.03955078125","1195.9019775390625","1195.9019775390625","1195.9019775390625"
"2399","1575.97998046875","1575.97998046875","1575.97998046875","908.0253295898438","908.0253295898438","908.0253295898438","1267.5311279296875","1267.5311279296875","1267.5311279296875","1558.7470703125","1558.7470703125","1558.7470703125","896.6954345703125","896.6954345703125","896.6954345703125","1043.7620849609375","1043.7620849609375","1043.7620849609375"
"2999","1153.0926513671875","1153.0926513671875","1153.0926513671875","729.1212768554688","729.1212768554688","729.1212768554688","1154.3172607421875","1154.3172607421875","1154.3172607421875","1137.7484130859375","1137.7484130859375","1137.7484130859375","718.9389038085938","718.9389038085938","718.9389038085938","938.9542846679688","938.9542846679688","938.9542846679688"
"3599","938.4411010742188","938.4411010742188","938.4411010742188","605.7813110351562","605.7813110351562","605.7813110351562","1063.3026123046875","1063.3026123046875","1063.3026123046875","924.34716796875","924.34716796875","924.34716796875","595.8521118164062","595.8521118164062","595.8521118164062","853.6910400390625","853.6910400390625","853.6910400390625"
"4199","724.640380859375","724.640380859375","724.640380859375","514.3281860351562","514.3281860351562","514.3281860351562","989.0878295898438","989.0878295898438","989.0878295898438","715.9384155273438","715.9384155273438","715.9384155273438","505.43603515625","505.43603515625","505.43603515625","788.3453979492188","788.3453979492188","788.3453979492188"
"4799","569.3768920898438","569.3768920898438","569.3768920898438","447.7471618652344","447.7471618652344","447.7471618652344","924.2439575195312","924.2439575195312","924.2439575195312","564.2393798828125","564.2393798828125","564.2393798828125","439.2394714355469","439.2394714355469","439.2394714355469","735.0023803710938","735.0023803710938","735.0023803710938"
"5399","446.9826354980469","446.9826354980469","446.9826354980469","395.1480407714844","395.1480407714844","395.1480407714844","869.5460815429688","869.5460815429688","869.5460815429688","443.9573669433594","443.9573669433594","443.9573669433594","387.2613830566406","387.2613830566406","387.2613830566406","686.226806640625","686.226806640625","686.226806640625"
"5999","369.26055908203125","369.26055908203125","369.26055908203125","357.4168701171875","357.4168701171875","357.4168701171875","829.9888916015625","829.9888916015625","829.9888916015625","367.2466735839844","367.2466735839844","367.2466735839844","349.7442932128906","349.7442932128906","349.7442932128906","651.2590942382812","651.2590942382812","651.2590942382812"
