"Step","layer_10_hook_resid_mid_gpt2_gated_fisher_false_project_TinyStories - shrinkage.l2_ratio","layer_10_hook_resid_mid_gpt2_gated_fisher_false_project_TinyStories - shrinkage.l2_ratio__MIN","layer_10_hook_resid_mid_gpt2_gated_fisher_false_project_TinyStories - shrinkage.l2_ratio__MAX","layer_5_hook_resid_mid_gpt2_gated_fisher_false_project_TinyStories - shrinkage.l2_ratio","layer_5_hook_resid_mid_gpt2_gated_fisher_false_project_TinyStories - shrinkage.l2_ratio__MIN","layer_5_hook_resid_mid_gpt2_gated_fisher_false_project_TinyStories - shrinkage.l2_ratio__MAX","layer_0_hook_resid_mid_gpt2_gated_fisher_false_project_TinyStories - shrinkage.l2_ratio","layer_0_hook_resid_mid_gpt2_gated_fisher_false_project_TinyStories - shrinkage.l2_ratio__MIN","layer_0_hook_resid_mid_gpt2_gated_fisher_false_project_TinyStories - shrinkage.l2_ratio__MAX","layer_10_hook_resid_mid_gpt2_gated_fisher_true_project_TinyStories - shrinkage.l2_ratio","layer_10_hook_resid_mid_gpt2_gated_fisher_true_project_TinyStories - shrinkage.l2_ratio__MIN","layer_10_hook_resid_mid_gpt2_gated_fisher_true_project_TinyStories - shrinkage.l2_ratio__MAX","layer_5_hook_resid_mid_gpt2_gated_fisher_true_project_TinyStories - shrinkage.l2_ratio","layer_5_hook_resid_mid_gpt2_gated_fisher_true_project_TinyStories - shrinkage.l2_ratio__MIN","layer_5_hook_resid_mid_gpt2_gated_fisher_true_project_TinyStories - shrinkage.l2_ratio__MAX","layer_0_hook_resid_mid_gpt2_gated_fisher_true_project_TinyStories - shrinkage.l2_ratio","layer_0_hook_resid_mid_gpt2_gated_fisher_true_project_TinyStories - shrinkage.l2_ratio__MIN","layer_0_hook_resid_mid_gpt2_gated_fisher_true_project_TinyStories - shrinkage.l2_ratio__MAX"
"599","6.815315246582031","6.815315246582031","6.815315246582031","2.6543476581573486","2.6543476581573486","2.6543476581573486","1.1661609411239624","1.1661609411239624","1.1661609411239624","6.818158149719238","6.818158149719238","6.818158149719238","2.654179334640503","2.654179334640503","2.654179334640503","1.1648541688919067","1.1648541688919067","1.1648541688919067"
"1199","6.623648166656494","6.623648166656494","6.623648166656494","2.694606065750122","2.694606065750122","2.694606065750122","1.1645212173461914","1.1645212173461914","1.1645212173461914","6.6297454833984375","6.6297454833984375","6.6297454833984375","2.6949963569641113","2.6949963569641113","2.6949963569641113","1.1687052249908447","1.1687052249908447","1.1687052249908447"
"1799","6.42587423324585","6.42587423324585","6.42587423324585","2.6686580181121826","2.6686580181121826","2.6686580181121826","1.1694493293762207","1.1694493293762207","1.1694493293762207","6.432794094085693","6.432794094085693","6.432794094085693","2.6690080165863037","2.6690080165863037","2.6690080165863037","1.169394850730896","1.169394850730896","1.169394850730896"
"2399","6.493257999420166","6.493257999420166","6.493257999420166","2.7008843421936035","2.7008843421936035","2.7008843421936035","1.1727603673934937","1.1727603673934937","1.1727603673934937","6.499551296234131","6.499551296234131","6.499551296234131","2.700913190841675","2.700913190841675","2.700913190841675","1.1756244897842407","1.1756244897842407","1.1756244897842407"
"2999","6.365733623504639","6.365733623504639","6.365733623504639","2.6836154460906982","2.6836154460906982","2.6836154460906982","1.1790428161621094","1.1790428161621094","1.1790428161621094","6.370240688323975","6.370240688323975","6.370240688323975","2.684316635131836","2.684316635131836","2.684316635131836","1.1801605224609375","1.1801605224609375","1.1801605224609375"
"3599","6.365262508392334","6.365262508392334","6.365262508392334","2.706036329269409","2.706036329269409","2.706036329269409","1.1772750616073608","1.1772750616073608","1.1772750616073608","6.367711067199707","6.367711067199707","6.367711067199707","2.7055749893188477","2.7055749893188477","2.7055749893188477","1.1760870218276978","1.1760870218276978","1.1760870218276978"
"4199","6.470308780670166","6.470308780670166","6.470308780670166","2.721888780593872","2.721888780593872","2.721888780593872","1.1806930303573608","1.1806930303573608","1.1806930303573608","6.472847938537598","6.472847938537598","6.472847938537598","2.7222440242767334","2.7222440242767334","2.7222440242767334","1.1788464784622192","1.1788464784622192","1.1788464784622192"
"4799","6.505364418029785","6.505364418029785","6.505364418029785","2.744114637374878","2.744114637374878","2.744114637374878","1.177664041519165","1.177664041519165","1.177664041519165","6.505855560302734","6.505855560302734","6.505855560302734","2.7442710399627686","2.7442710399627686","2.7442710399627686","1.1802047491073608","1.1802047491073608","1.1802047491073608"
"5399","6.50062894821167","6.50062894821167","6.50062894821167","2.7523884773254395","2.7523884773254395","2.7523884773254395","1.1772743463516235","1.1772743463516235","1.1772743463516235","6.500636577606201","6.500636577606201","6.500636577606201","2.753040313720703","2.753040313720703","2.753040313720703","1.178139567375183","1.178139567375183","1.178139567375183"
"5999","6.476658821105957","6.476658821105957","6.476658821105957","2.7573094367980957","2.7573094367980957","2.7573094367980957","1.1859943866729736","1.1859943866729736","1.1859943866729736","6.477105140686035","6.477105140686035","6.477105140686035","2.757429599761963","2.757429599761963","2.757429599761963","1.184188723564148","1.184188723564148","1.184188723564148"
"6599","6.521659851074219","6.521659851074219","6.521659851074219","2.757202625274658","2.757202625274658","2.757202625274658","1.1844778060913086","1.1844778060913086","1.1844778060913086","6.523707866668701","6.523707866668701","6.523707866668701","2.7580983638763428","2.7580983638763428","2.7580983638763428","1.186065912246704","1.186065912246704","1.186065912246704"
"7199","6.545617580413818","6.545617580413818","6.545617580413818","2.7647671699523926","2.7647671699523926","2.7647671699523926","1.1831947565078735","1.1831947565078735","1.1831947565078735","6.54584264755249","6.54584264755249","6.54584264755249","2.765650510787964","2.765650510787964","2.765650510787964","1.1832776069641113","1.1832776069641113","1.1832776069641113"
"7799","6.5614519119262695","6.5614519119262695","6.5614519119262695","2.76654314994812","2.76654314994812","2.76654314994812","1.1895805597305298","1.1895805597305298","1.1895805597305298","6.563009738922119","6.563009738922119","6.563009738922119","2.765137195587158","2.765137195587158","2.765137195587158","1.1880195140838623","1.1880195140838623","1.1880195140838623"
