"Step","layer_10_hook_resid_mid_gpt2_gated_fisher_false_project_TinyStories - losses/mse_loss","layer_10_hook_resid_mid_gpt2_gated_fisher_false_project_TinyStories - losses/mse_loss__MIN","layer_10_hook_resid_mid_gpt2_gated_fisher_false_project_TinyStories - losses/mse_loss__MAX","layer_5_hook_resid_mid_gpt2_gated_fisher_false_project_TinyStories - losses/mse_loss","layer_5_hook_resid_mid_gpt2_gated_fisher_false_project_TinyStories - losses/mse_loss__MIN","layer_5_hook_resid_mid_gpt2_gated_fisher_false_project_TinyStories - losses/mse_loss__MAX","layer_0_hook_resid_mid_gpt2_gated_fisher_false_project_TinyStories - losses/mse_loss","layer_0_hook_resid_mid_gpt2_gated_fisher_false_project_TinyStories - losses/mse_loss__MIN","layer_0_hook_resid_mid_gpt2_gated_fisher_false_project_TinyStories - losses/mse_loss__MAX","layer_10_hook_resid_mid_gpt2_gated_fisher_true_project_TinyStories - losses/mse_loss","layer_10_hook_resid_mid_gpt2_gated_fisher_true_project_TinyStories - losses/mse_loss__MIN","layer_10_hook_resid_mid_gpt2_gated_fisher_true_project_TinyStories - losses/mse_loss__MAX","layer_5_hook_resid_mid_gpt2_gated_fisher_true_project_TinyStories - losses/mse_loss","layer_5_hook_resid_mid_gpt2_gated_fisher_true_project_TinyStories - losses/mse_loss__MIN","layer_5_hook_resid_mid_gpt2_gated_fisher_true_project_TinyStories - losses/mse_loss__MAX","layer_0_hook_resid_mid_gpt2_gated_fisher_true_project_TinyStories - losses/mse_loss","layer_0_hook_resid_mid_gpt2_gated_fisher_true_project_TinyStories - losses/mse_loss__MIN","layer_0_hook_resid_mid_gpt2_gated_fisher_true_project_TinyStories - losses/mse_loss__MAX"
"29","13179.701171875","13179.701171875","13179.701171875","2759.862060546875","2759.862060546875","2759.862060546875","571.9263916015625","571.9263916015625","571.9263916015625","13180.8125","13180.8125","13180.8125","2761.219970703125","2761.219970703125","2761.219970703125","587.5029296875","587.5029296875","587.5029296875"
"59","6864.03466796875","6864.03466796875","6864.03466796875","1648.9681396484375","1648.9681396484375","1648.9681396484375","211.78257751464844","211.78257751464844","211.78257751464844","6862.39404296875","6862.39404296875","6862.39404296875","1649.1177978515625","1649.1177978515625","1649.1177978515625","226.732421875","226.732421875","226.732421875"
"89","5776.20556640625","5776.20556640625","5776.20556640625","1278.118896484375","1278.118896484375","1278.118896484375","118.33145904541016","118.33145904541016","118.33145904541016","5774.74609375","5774.74609375","5774.74609375","1277.302734375","1277.302734375","1277.302734375","123.65166473388672","123.65166473388672","123.65166473388672"
"119","4701.8349609375","4701.8349609375","4701.8349609375","1151.76904296875","1151.76904296875","1151.76904296875","102.2785415649414","102.2785415649414","102.2785415649414","4700.6162109375","4700.6162109375","4700.6162109375","1150.6182861328125","1150.6182861328125","1150.6182861328125","104.84934997558594","104.84934997558594","104.84934997558594"
"149","43778.0546875","43778.0546875","43778.0546875","32858.53125","32858.53125","32858.53125","103.48403930664062","103.48403930664062","103.48403930664062","43775.9921875","43775.9921875","43775.9921875","32866.05859375","32866.05859375","32866.05859375","105.7735824584961","105.7735824584961","105.7735824584961"
"179","36732.48828125","36732.48828125","36732.48828125","25889.759765625","25889.759765625","25889.759765625","76.31779479980469","76.31779479980469","76.31779479980469","36729.6640625","36729.6640625","36729.6640625","25897.19140625","25897.19140625","25897.19140625","77.0960922241211","77.0960922241211","77.0960922241211"
"209","3860.697998046875","3860.697998046875","3860.697998046875","921.5756225585938","921.5756225585938","921.5756225585938","70.81026458740234","70.81026458740234","70.81026458740234","3859.841064453125","3859.841064453125","3859.841064453125","920.4794921875","920.4794921875","920.4794921875","70.37822723388672","70.37822723388672","70.37822723388672"
"239","3496.15625","3496.15625","3496.15625","897.2796630859375","897.2796630859375","897.2796630859375","68.45833587646484","68.45833587646484","68.45833587646484","3495.506103515625","3495.506103515625","3495.506103515625","896.3088989257812","896.3088989257812","896.3088989257812","67.66224670410156","67.66224670410156","67.66224670410156"
"269","3287.16845703125","3287.16845703125","3287.16845703125","767.5696411132812","767.5696411132812","767.5696411132812","59.64193344116211","59.64193344116211","59.64193344116211","3286.466552734375","3286.466552734375","3286.466552734375","766.6529541015625","766.6529541015625","766.6529541015625","57.889320373535156","57.889320373535156","57.889320373535156"
"299","3340.80810546875","3340.80810546875","3340.80810546875","863.76123046875","863.76123046875","863.76123046875","68.7557373046875","68.7557373046875","68.7557373046875","3340.184814453125","3340.184814453125","3340.184814453125","862.8839111328125","862.8839111328125","862.8839111328125","67.3783187866211","67.3783187866211","67.3783187866211"
"329","1429.754638671875","1429.754638671875","1429.754638671875","387.2337341308594","387.2337341308594","387.2337341308594","44.7626838684082","44.7626838684082","44.7626838684082","1429.9088134765625","1429.9088134765625","1429.9088134765625","386.8713073730469","386.8713073730469","386.8713073730469","43.41082000732422","43.41082000732422","43.41082000732422"
"359","1673.2960205078125","1673.2960205078125","1673.2960205078125","455.3253173828125","455.3253173828125","455.3253173828125","49.24797439575195","49.24797439575195","49.24797439575195","1673.9644775390625","1673.9644775390625","1673.9644775390625","454.98077392578125","454.98077392578125","454.98077392578125","47.62065505981445","47.62065505981445","47.62065505981445"
"389","1832.7720947265625","1832.7720947265625","1832.7720947265625","435.4774169921875","435.4774169921875","435.4774169921875","45.14356231689453","45.14356231689453","45.14356231689453","1833.6368408203125","1833.6368408203125","1833.6368408203125","435.066162109375","435.066162109375","435.066162109375","43.532405853271484","43.532405853271484","43.532405853271484"
"419","1600.705078125","1600.705078125","1600.705078125","486.197265625","486.197265625","486.197265625","49.00425338745117","49.00425338745117","49.00425338745117","1601.615234375","1601.615234375","1601.615234375","485.8899230957031","485.8899230957031","485.8899230957031","46.90811538696289","46.90811538696289","46.90811538696289"
"449","1740.0521240234375","1740.0521240234375","1740.0521240234375","483.6545104980469","483.6545104980469","483.6545104980469","48.299530029296875","48.299530029296875","48.299530029296875","1741.0465087890625","1741.0465087890625","1741.0465087890625","483.2110290527344","483.2110290527344","483.2110290527344","46.08833694458008","46.08833694458008","46.08833694458008"
"479","1437.314453125","1437.314453125","1437.314453125","433.8313293457031","433.8313293457031","433.8313293457031","47.76131820678711","47.76131820678711","47.76131820678711","1438.121337890625","1438.121337890625","1438.121337890625","433.4454650878906","433.4454650878906","433.4454650878906","45.61581039428711","45.61581039428711","45.61581039428711"
"509","1454.1378173828125","1454.1378173828125","1454.1378173828125","423.3001403808594","423.3001403808594","423.3001403808594","46.4003791809082","46.4003791809082","46.4003791809082","1454.833984375","1454.833984375","1454.833984375","423.0162658691406","423.0162658691406","423.0162658691406","44.172019958496094","44.172019958496094","44.172019958496094"
"539","1590.4093017578125","1590.4093017578125","1590.4093017578125","490.9365539550781","490.9365539550781","490.9365539550781","41.14744567871094","41.14744567871094","41.14744567871094","1591.383544921875","1591.383544921875","1591.383544921875","490.4229431152344","490.4229431152344","490.4229431152344","39.07634735107422","39.07634735107422","39.07634735107422"
"569","1625.3331298828125","1625.3331298828125","1625.3331298828125","442.0880432128906","442.0880432128906","442.0880432128906","39.40642547607422","39.40642547607422","39.40642547607422","1626.3043212890625","1626.3043212890625","1626.3043212890625","441.8201599121094","441.8201599121094","441.8201599121094","37.635738372802734","37.635738372802734","37.635738372802734"
"599","1242.4219970703125","1242.4219970703125","1242.4219970703125","366.1531066894531","366.1531066894531","366.1531066894531","41.363075256347656","41.363075256347656","41.363075256347656","1243.0911865234375","1243.0911865234375","1243.0911865234375","365.8439025878906","365.8439025878906","365.8439025878906","39.40001678466797","39.40001678466797","39.40001678466797"
"629","1336.3453369140625","1336.3453369140625","1336.3453369140625","425.49420166015625","425.49420166015625","425.49420166015625","44.07305908203125","44.07305908203125","44.07305908203125","1336.9703369140625","1336.9703369140625","1336.9703369140625","425.2234802246094","425.2234802246094","425.2234802246094","41.78300094604492","41.78300094604492","41.78300094604492"
"659","1197.9444580078125","1197.9444580078125","1197.9444580078125","355.2543029785156","355.2543029785156","355.2543029785156","40.83794403076172","40.83794403076172","40.83794403076172","1198.6588134765625","1198.6588134765625","1198.6588134765625","355.03411865234375","355.03411865234375","355.03411865234375","38.42372131347656","38.42372131347656","38.42372131347656"
"689","1105.2115478515625","1105.2115478515625","1105.2115478515625","311.81170654296875","311.81170654296875","311.81170654296875","34.10624313354492","34.10624313354492","34.10624313354492","1105.2652587890625","1105.2652587890625","1105.2652587890625","311.3269958496094","311.3269958496094","311.3269958496094","31.886259078979492","31.886259078979492","31.886259078979492"
"719","1291.8370361328125","1291.8370361328125","1291.8370361328125","352.69378662109375","352.69378662109375","352.69378662109375","36.474708557128906","36.474708557128906","36.474708557128906","1292.7401123046875","1292.7401123046875","1292.7401123046875","352.4210205078125","352.4210205078125","352.4210205078125","34.396690368652344","34.396690368652344","34.396690368652344"
"749","1291.112060546875","1291.112060546875","1291.112060546875","365.8902587890625","365.8902587890625","365.8902587890625","36.325199127197266","36.325199127197266","36.325199127197266","1291.832763671875","1291.832763671875","1291.832763671875","365.72308349609375","365.72308349609375","365.72308349609375","34.52505111694336","34.52505111694336","34.52505111694336"
"779","1213.9185791015625","1213.9185791015625","1213.9185791015625","355.0251770019531","355.0251770019531","355.0251770019531","37.49546432495117","37.49546432495117","37.49546432495117","1214.6473388671875","1214.6473388671875","1214.6473388671875","354.8606872558594","354.8606872558594","354.8606872558594","34.873897552490234","34.873897552490234","34.873897552490234"
"809","1360.0006103515625","1360.0006103515625","1360.0006103515625","572.0767211914062","572.0767211914062","572.0767211914062","30.90640640258789","30.90640640258789","30.90640640258789","1360.560791015625","1360.560791015625","1360.560791015625","573.1211547851562","573.1211547851562","573.1211547851562","28.957998275756836","28.957998275756836","28.957998275756836"
"839","1127.8641357421875","1127.8641357421875","1127.8641357421875","343.4665222167969","343.4665222167969","343.4665222167969","40.55879592895508","40.55879592895508","40.55879592895508","1128.5252685546875","1128.5252685546875","1128.5252685546875","343.3627624511719","343.3627624511719","343.3627624511719","37.977783203125","37.977783203125","37.977783203125"
"869","1553.192138671875","1553.192138671875","1553.192138671875","470.5131530761719","470.5131530761719","470.5131530761719","36.89139938354492","36.89139938354492","36.89139938354492","1552.3648681640625","1552.3648681640625","1552.3648681640625","469.4870300292969","469.4870300292969","469.4870300292969","34.72675323486328","34.72675323486328","34.72675323486328"
"899","1120.048828125","1120.048828125","1120.048828125","359.2458190917969","359.2458190917969","359.2458190917969","37.91107177734375","37.91107177734375","37.91107177734375","1120.7811279296875","1120.7811279296875","1120.7811279296875","359.0476379394531","359.0476379394531","359.0476379394531","35.66579818725586","35.66579818725586","35.66579818725586"
"929","977.7568359375","977.7568359375","977.7568359375","293.6130676269531","293.6130676269531","293.6130676269531","34.664634704589844","34.664634704589844","34.664634704589844","978.4279174804688","978.4279174804688","978.4279174804688","293.4810791015625","293.4810791015625","293.4810791015625","32.605560302734375","32.605560302734375","32.605560302734375"
"959","1139.5810546875","1139.5810546875","1139.5810546875","351.21734619140625","351.21734619140625","351.21734619140625","35.09451675415039","35.09451675415039","35.09451675415039","1140.371337890625","1140.371337890625","1140.371337890625","350.9150390625","350.9150390625","350.9150390625","33.00101852416992","33.00101852416992","33.00101852416992"
"989","581.5717163085938","581.5717163085938","581.5717163085938","217.91116333007812","217.91116333007812","217.91116333007812","33.69225311279297","33.69225311279297","33.69225311279297","582.1702270507812","582.1702270507812","582.1702270507812","217.93917846679688","217.93917846679688","217.93917846679688","31.549955368041992","31.549955368041992","31.549955368041992"
"1019","1150.7740478515625","1150.7740478515625","1150.7740478515625","360.6715393066406","360.6715393066406","360.6715393066406","35.08946228027344","35.08946228027344","35.08946228027344","1142.6400146484375","1142.6400146484375","1142.6400146484375","361.1262512207031","361.1262512207031","361.1262512207031","32.96345138549805","32.96345138549805","32.96345138549805"
"1049","559.4882202148438","559.4882202148438","559.4882202148438","211.53231811523438","211.53231811523438","211.53231811523438","29.730627059936523","29.730627059936523","29.730627059936523","560.1470336914062","560.1470336914062","560.1470336914062","211.4304962158203","211.4304962158203","211.4304962158203","27.494569778442383","27.494569778442383","27.494569778442383"
"1079","503.3735046386719","503.3735046386719","503.3735046386719","187.1673583984375","187.1673583984375","187.1673583984375","34.39361572265625","34.39361572265625","34.39361572265625","504.0051574707031","504.0051574707031","504.0051574707031","187.1674041748047","187.1674041748047","187.1674041748047","31.932899475097656","31.932899475097656","31.932899475097656"
