"Step","layer_10_hook_resid_mid_gpt2_jumprelu_fisher_true_project_TinyStories - losses/fisher_reg_term","layer_10_hook_resid_mid_gpt2_jumprelu_fisher_true_project_TinyStories - losses/fisher_reg_term__MIN","layer_10_hook_resid_mid_gpt2_jumprelu_fisher_true_project_TinyStories - losses/fisher_reg_term__MAX","layer_5_hook_resid_mid_gpt2_jumprelu_fisher_true_project_TinyStories - losses/fisher_reg_term","layer_5_hook_resid_mid_gpt2_jumprelu_fisher_true_project_TinyStories - losses/fisher_reg_term__MIN","layer_5_hook_resid_mid_gpt2_jumprelu_fisher_true_project_TinyStories - losses/fisher_reg_term__MAX","layer_0_hook_resid_mid_gpt2_jumprelu_fisher_true_project_TinyStories - losses/fisher_reg_term","layer_0_hook_resid_mid_gpt2_jumprelu_fisher_true_project_TinyStories - losses/fisher_reg_term__MIN","layer_0_hook_resid_mid_gpt2_jumprelu_fisher_true_project_TinyStories - losses/fisher_reg_term__MAX"
"29","8.074063301086426","8.074063301086426","8.074063301086426","7.036876678466797","7.036876678466797","7.036876678466797","21.896879196166992","21.896879196166992","21.896879196166992"
"59","11.60849380493164","11.60849380493164","11.60849380493164","9.498857498168945","9.498857498168945","9.498857498168945","25.748308181762695","25.748308181762695","25.748308181762695"
"89","8.672038078308105","8.672038078308105","8.672038078308105","9.058475494384766","9.058475494384766","9.058475494384766","20.331867218017578","20.331867218017578","20.331867218017578"
"119","6.766915798187256","6.766915798187256","6.766915798187256","8.041101455688477","8.041101455688477","8.041101455688477","16.422561645507812","16.422561645507812","16.422561645507812"
"149","39.4322395324707","39.4322395324707","39.4322395324707","61.32009506225586","61.32009506225586","61.32009506225586","13.282526969909668","13.282526969909668","13.282526969909668"
"179","42.04938507080078","42.04938507080078","42.04938507080078","62.3099250793457","62.3099250793457","62.3099250793457","11.82636547088623","11.82636547088623","11.82636547088623"
"209","4.819920063018799","4.819920063018799","4.819920063018799","6.127620697021484","6.127620697021484","6.127620697021484","11.295473098754883","11.295473098754883","11.295473098754883"
"239","4.822442054748535","4.822442054748535","4.822442054748535","5.192706108093262","5.192706108093262","5.192706108093262","9.665677070617676","9.665677070617676","9.665677070617676"
"269","4.543581962585449","4.543581962585449","4.543581962585449","5.423957824707031","5.423957824707031","5.423957824707031","9.389912605285645","9.389912605285645","9.389912605285645"
"299","4.051170349121094","4.051170349121094","4.051170349121094","5.114316463470459","5.114316463470459","5.114316463470459","8.061210632324219","8.061210632324219","8.061210632324219"
"329","65.79277801513672","65.79277801513672","65.79277801513672","34.26778793334961","34.26778793334961","34.26778793334961","7.973423957824707","7.973423957824707","7.973423957824707"
"359","59.4858283996582","59.4858283996582","59.4858283996582","27.55424690246582","27.55424690246582","27.55424690246582","7.300324440002441","7.300324440002441","7.300324440002441"
"389","55.07206726074219","55.07206726074219","55.07206726074219","24.244081497192383","24.244081497192383","24.244081497192383","6.833716869354248","6.833716869354248","6.833716869354248"
"419","57.122962951660156","57.122962951660156","57.122962951660156","23.978803634643555","23.978803634643555","23.978803634643555","6.35588264465332","6.35588264465332","6.35588264465332"
"449","53.21979904174805","53.21979904174805","53.21979904174805","20.361921310424805","20.361921310424805","20.361921310424805","6.412463188171387","6.412463188171387","6.412463188171387"
"479","55.77964782714844","55.77964782714844","55.77964782714844","21.98492431640625","21.98492431640625","21.98492431640625","5.88319730758667","5.88319730758667","5.88319730758667"
"509","54.12641525268555","54.12641525268555","54.12641525268555","22.557775497436523","22.557775497436523","22.557775497436523","5.686564922332764","5.686564922332764","5.686564922332764"
"539","45.566650390625","45.566650390625","45.566650390625","49.65664291381836","49.65664291381836","49.65664291381836","5.557722091674805","5.557722091674805","5.557722091674805"
"569","49.89096450805664","49.89096450805664","49.89096450805664","18.918542861938477","18.918542861938477","18.918542861938477","5.529970645904541","5.529970645904541","5.529970645904541"
"599","52.37835693359375","52.37835693359375","52.37835693359375","17.538021087646484","17.538021087646484","17.538021087646484","5.108211040496826","5.108211040496826","5.108211040496826"
"629","55.026493072509766","55.026493072509766","55.026493072509766","19.597850799560547","19.597850799560547","19.597850799560547","5.053511619567871","5.053511619567871","5.053511619567871"
"659","57.71914291381836","57.71914291381836","57.71914291381836","20.796728134155273","20.796728134155273","20.796728134155273","4.738374710083008","4.738374710083008","4.738374710083008"
"689","61.208251953125","61.208251953125","61.208251953125","62.83710861206055","62.83710861206055","62.83710861206055","4.956260681152344","4.956260681152344","4.956260681152344"
"719","53.006404876708984","53.006404876708984","53.006404876708984","18.24807357788086","18.24807357788086","18.24807357788086","4.731858253479004","4.731858253479004","4.731858253479004"
"749","51.408119201660156","51.408119201660156","51.408119201660156","18.902690887451172","18.902690887451172","18.902690887451172","4.63414192199707","4.63414192199707","4.63414192199707"
"779","51.56861877441406","51.56861877441406","51.56861877441406","17.292463302612305","17.292463302612305","17.292463302612305","4.380597114562988","4.380597114562988","4.380597114562988"
"809","60.11660385131836","60.11660385131836","60.11660385131836","61.75165557861328","61.75165557861328","61.75165557861328","4.594482421875","4.594482421875","4.594482421875"
"839","52.5182991027832","52.5182991027832","52.5182991027832","17.183883666992188","17.183883666992188","17.183883666992188","4.1112961769104","4.1112961769104","4.1112961769104"
"869","56.510990142822266","56.510990142822266","56.510990142822266","60.41609573364258","60.41609573364258","60.41609573364258","4.341991901397705","4.341991901397705","4.341991901397705"
"899","51.73634338378906","51.73634338378906","51.73634338378906","17.818307876586914","17.818307876586914","17.818307876586914","4.2888007164001465","4.2888007164001465","4.2888007164001465"
"929","50.28058624267578","50.28058624267578","50.28058624267578","16.789257049560547","16.789257049560547","16.789257049560547","3.9741125106811523","3.9741125106811523","3.9741125106811523"
"959","43.14702224731445","43.14702224731445","43.14702224731445","46.36891174316406","46.36891174316406","46.36891174316406","4.187639236450195","4.187639236450195","4.187639236450195"
"989","61.99196243286133","61.99196243286133","61.99196243286133","18.641891479492188","18.641891479492188","18.641891479492188","3.9501919746398926","3.9501919746398926","3.9501919746398926"
"1019","62.962181091308594","62.962181091308594","62.962181091308594","60.76755905151367","60.76755905151367","60.76755905151367","4.11665153503418","4.11665153503418","4.11665153503418"
"1049","57.884578704833984","57.884578704833984","57.884578704833984","15.186908721923828","15.186908721923828","15.186908721923828","3.878849506378174","3.878849506378174","3.878849506378174"
"1079","55.87840270996094","55.87840270996094","55.87840270996094","13.799931526184082","13.799931526184082","13.799931526184082","3.6251208782196045","3.6251208782196045","3.6251208782196045"
"1109","61.67129135131836","61.67129135131836","61.67129135131836","59.5609130859375","59.5609130859375","59.5609130859375","3.875405788421631","3.875405788421631","3.875405788421631"
"1139","46.56481170654297","46.56481170654297","46.56481170654297","14.73890495300293","14.73890495300293","14.73890495300293","4.053910255432129","4.053910255432129","4.053910255432129"
"1169","44.788368225097656","44.788368225097656","44.788368225097656","13.620988845825195","13.620988845825195","13.620988845825195","3.665785789489746","3.665785789489746","3.665785789489746"
"1199","43.454978942871094","43.454978942871094","43.454978942871094","12.688512802124023","12.688512802124023","12.688512802124023","3.6943490505218506","3.6943490505218506","3.6943490505218506"
"1229","62.555233001708984","62.555233001708984","62.555233001708984","59.667869567871094","59.667869567871094","59.667869567871094","3.715731382369995","3.715731382369995","3.715731382369995"
"1259","45.91238021850586","45.91238021850586","45.91238021850586","13.668932914733887","13.668932914733887","13.668932914733887","3.727205514907837","3.727205514907837","3.727205514907837"
"1289","44.32706832885742","44.32706832885742","44.32706832885742","12.592577934265137","12.592577934265137","12.592577934265137","3.443385124206543","3.443385124206543","3.443385124206543"
"1319","45.68202209472656","45.68202209472656","45.68202209472656","46.66386795043945","46.66386795043945","46.66386795043945","3.491506814956665","3.491506814956665","3.491506814956665"
"1349","47.90901184082031","47.90901184082031","47.90901184082031","13.753467559814453","13.753467559814453","13.753467559814453","3.6146209239959717","3.6146209239959717","3.6146209239959717"
"1379","49.00095748901367","49.00095748901367","49.00095748901367","13.578474998474121","13.578474998474121","13.578474998474121","3.302487373352051","3.302487373352051","3.302487373352051"
"1409","42.802947998046875","42.802947998046875","42.802947998046875","12.391318321228027","12.391318321228027","12.391318321228027","3.428347110748291","3.428347110748291","3.428347110748291"
"1439","42.03064727783203","42.03064727783203","42.03064727783203","13.010468482971191","13.010468482971191","13.010468482971191","3.702659845352173","3.702659845352173","3.702659845352173"
"1469","36.999507904052734","36.999507904052734","36.999507904052734","11.782610893249512","11.782610893249512","11.782610893249512","3.523890972137451","3.523890972137451","3.523890972137451"
"1499","42.48975372314453","42.48975372314453","42.48975372314453","10.796305656433105","10.796305656433105","10.796305656433105","3.4015378952026367","3.4015378952026367","3.4015378952026367"
