"Step","layer_10_hook_resid_mid_gpt2_jumprelu_fisher_false_project_TinyStories - sparsity.l0","layer_10_hook_resid_mid_gpt2_jumprelu_fisher_false_project_TinyStories - sparsity.l0__MIN","layer_10_hook_resid_mid_gpt2_jumprelu_fisher_false_project_TinyStories - sparsity.l0__MAX","layer_5_hook_resid_mid_gpt2_jumprelu_fisher_false_project_TinyStories - sparsity.l0","layer_5_hook_resid_mid_gpt2_jumprelu_fisher_false_project_TinyStories - sparsity.l0__MIN","layer_5_hook_resid_mid_gpt2_jumprelu_fisher_false_project_TinyStories - sparsity.l0__MAX","layer_0_hook_resid_mid_gpt2_jumprelu_fisher_false_project_TinyStories - sparsity.l0","layer_0_hook_resid_mid_gpt2_jumprelu_fisher_false_project_TinyStories - sparsity.l0__MIN","layer_0_hook_resid_mid_gpt2_jumprelu_fisher_false_project_TinyStories - sparsity.l0__MAX","layer_10_hook_resid_mid_gpt2_jumprelu_fisher_true_project_TinyStories - sparsity.l0","layer_10_hook_resid_mid_gpt2_jumprelu_fisher_true_project_TinyStories - sparsity.l0__MIN","layer_10_hook_resid_mid_gpt2_jumprelu_fisher_true_project_TinyStories - sparsity.l0__MAX","layer_5_hook_resid_mid_gpt2_jumprelu_fisher_true_project_TinyStories - sparsity.l0","layer_5_hook_resid_mid_gpt2_jumprelu_fisher_true_project_TinyStories - sparsity.l0__MIN","layer_5_hook_resid_mid_gpt2_jumprelu_fisher_true_project_TinyStories - sparsity.l0__MAX","layer_0_hook_resid_mid_gpt2_jumprelu_fisher_true_project_TinyStories - sparsity.l0","layer_0_hook_resid_mid_gpt2_jumprelu_fisher_true_project_TinyStories - sparsity.l0__MIN","layer_0_hook_resid_mid_gpt2_jumprelu_fisher_true_project_TinyStories - sparsity.l0__MAX"
"599","12099.2900390625","12099.2900390625","12099.2900390625","12055.9404296875","12055.9404296875","12055.9404296875","12130.5390625","12130.5390625","12130.5390625","11946.6767578125","11946.6767578125","11946.6767578125","11544.220703125","11544.220703125","11544.220703125","11996.0966796875","11996.0966796875","11996.0966796875"
"1199","12097.8583984375","12097.8583984375","12097.8583984375","12092.3818359375","12092.3818359375","12092.3818359375","12159.2529296875","12159.2529296875","12159.2529296875","11494.5546875","11494.5546875","11494.5546875","10769.6044921875","10769.6044921875","10769.6044921875","11941.5234375","11941.5234375","11941.5234375"
"1799","12068.6748046875","12068.6748046875","12068.6748046875","12092.2080078125","12092.2080078125","12092.2080078125","12159.7490234375","12159.7490234375","12159.7490234375","10672.4501953125","10672.4501953125","10672.4501953125","10265.837890625","10265.837890625","10265.837890625","11882.3818359375","11882.3818359375","11882.3818359375"
"2399","12040.171875","12040.171875","12040.171875","12102.0595703125","12102.0595703125","12102.0595703125","12154.8310546875","12154.8310546875","12154.8310546875","9871.4765625","9871.4765625","9871.4765625","10077.359375","10077.359375","10077.359375","11851.7353515625","11851.7353515625","11851.7353515625"
"2999","11999.2578125","11999.2578125","11999.2578125","12060.25","12060.25","12060.25","12146.1513671875","12146.1513671875","12146.1513671875","9414.9765625","9414.9765625","9414.9765625","10014.1240234375","10014.1240234375","10014.1240234375","11743.591796875","11743.591796875","11743.591796875"
"3599","11966.025390625","11966.025390625","11966.025390625","12049.056640625","12049.056640625","12049.056640625","12139.3486328125","12139.3486328125","12139.3486328125","9029.88671875","9029.88671875","9029.88671875","10091.6123046875","10091.6123046875","10091.6123046875","11513.810546875","11513.810546875","11513.810546875"
"4199","11985.9345703125","11985.9345703125","11985.9345703125","12033.755859375","12033.755859375","12033.755859375","12134.81640625","12134.81640625","12134.81640625","9012.0732421875","9012.0732421875","9012.0732421875","10342.39453125","10342.39453125","10342.39453125","11278.0068359375","11278.0068359375","11278.0068359375"
"4799","12014.228515625","12014.228515625","12014.228515625","12030.619140625","12030.619140625","12030.619140625","12132.6455078125","12132.6455078125","12132.6455078125","9127.5537109375","9127.5537109375","9127.5537109375","10546.5400390625","10546.5400390625","10546.5400390625","11026.826171875","11026.826171875","11026.826171875"
"5399","12028.0546875","12028.0546875","12028.0546875","11992.30859375","11992.30859375","11992.30859375","12134.9951171875","12134.9951171875","12134.9951171875","9375.251953125","9375.251953125","9375.251953125","10756.3232421875","10756.3232421875","10756.3232421875","10805.0390625","10805.0390625","10805.0390625"
"5999","12049.25","12049.25","12049.25","11969.3388671875","11969.3388671875","11969.3388671875","12136.021484375","12136.021484375","12136.021484375","9669.4169921875","9669.4169921875","9669.4169921875","10975.0478515625","10975.0478515625","10975.0478515625","10603.36328125","10603.36328125","10603.36328125"
"6599","12071.3125","12071.3125","12071.3125","11919.150390625","11919.150390625","11919.150390625","12136.3701171875","12136.3701171875","12136.3701171875","9874.845703125","9874.845703125","9874.845703125","11100.4384765625","11100.4384765625","11100.4384765625","10423.701171875","10423.701171875","10423.701171875"
"7199","12072.2490234375","12072.2490234375","12072.2490234375","11946.158203125","11946.158203125","11946.158203125","12138.5810546875","12138.5810546875","12138.5810546875","10082.5830078125","10082.5830078125","10082.5830078125","11241.0830078125","11241.0830078125","11241.0830078125","10253.5927734375","10253.5927734375","10253.5927734375"
"7799","12071.0576171875","12071.0576171875","12071.0576171875","11959.2724609375","11959.2724609375","11959.2724609375","12137.0234375","12137.0234375","12137.0234375","10237.3564453125","10237.3564453125","10237.3564453125","11373.7138671875","11373.7138671875","11373.7138671875","10089.8818359375","10089.8818359375","10089.8818359375"
"8399","12071.9072265625","12071.9072265625","12071.9072265625","11942.2763671875","11942.2763671875","11942.2763671875","12139.546875","12139.546875","12139.546875","10333.396484375","10333.396484375","10333.396484375","11421.8701171875","11421.8701171875","11421.8701171875","9948.5458984375","9948.5458984375","9948.5458984375"
"8999","12059.0029296875","12059.0029296875","12059.0029296875","11899.1123046875","11899.1123046875","11899.1123046875","12136.76171875","12136.76171875","12136.76171875","10432.603515625","10432.603515625","10432.603515625","11430.3896484375","11430.3896484375","11430.3896484375","9805.07421875","9805.07421875","9805.07421875"
"9599","12079.849609375","12079.849609375","12079.849609375","11943.7802734375","11943.7802734375","11943.7802734375","12139.0341796875","12139.0341796875","12139.0341796875","10491.208984375","10491.208984375","10491.208984375","11503.130859375","11503.130859375","11503.130859375","9688.1123046875","9688.1123046875","9688.1123046875"
"10199","12081.0029296875","12081.0029296875","12081.0029296875","11960.4169921875","11960.4169921875","11960.4169921875","12138.576171875","12138.576171875","12138.576171875","10541.7861328125","10541.7861328125","10541.7861328125","11516.0361328125","11516.0361328125","11516.0361328125","9552.2880859375","9552.2880859375","9552.2880859375"
"10799","12089.578125","12089.578125","12089.578125","11940.4287109375","11940.4287109375","11940.4287109375","12140.4912109375","12140.4912109375","12140.4912109375","10565.3251953125","10565.3251953125","10565.3251953125","11532.3818359375","11532.3818359375","11532.3818359375","9447.4736328125","9447.4736328125","9447.4736328125"
"11399","12073.8173828125","12073.8173828125","12073.8173828125","11948.2763671875","11948.2763671875","11948.2763671875","12140.0380859375","12140.0380859375","12140.0380859375","10586.5107421875","10586.5107421875","10586.5107421875","11573.126953125","11573.126953125","11573.126953125","9346.7490234375","9346.7490234375","9346.7490234375"
"11999","12072.33984375","12072.33984375","12072.33984375","11943.7626953125","11943.7626953125","11943.7626953125","12139.0517578125","12139.0517578125","12139.0517578125","10601.53515625","10601.53515625","10601.53515625","11566.3271484375","11566.3271484375","11566.3271484375","9240.4091796875","9240.4091796875","9240.4091796875"
"12599","12067.9619140625","12067.9619140625","12067.9619140625","11913.0419921875","11913.0419921875","11913.0419921875","12141.130859375","12141.130859375","12141.130859375","10625.314453125","10625.314453125","10625.314453125","11533.19140625","11533.19140625","11533.19140625","9151.43359375","9151.43359375","9151.43359375"
"13199","12071.1142578125","12071.1142578125","12071.1142578125","11919.359375","11919.359375","11919.359375","12137.5263671875","12137.5263671875","12137.5263671875","10635.462890625","10635.462890625","10635.462890625","11537.7724609375","11537.7724609375","11537.7724609375","9059.826171875","9059.826171875","9059.826171875"
"13799","12070.6240234375","12070.6240234375","12070.6240234375","11903.4375","11903.4375","11903.4375","12137.0732421875","12137.0732421875","12137.0732421875","10647.140625","10647.140625","10647.140625","11538.9580078125","11538.9580078125","11538.9580078125","8969.5107421875","8969.5107421875","8969.5107421875"
"14399","12077.4091796875","12077.4091796875","12077.4091796875","11922.421875","11922.421875","11922.421875","12139.978515625","12139.978515625","12139.978515625","10655.3876953125","10655.3876953125","10655.3876953125","11560.2607421875","11560.2607421875","11560.2607421875","8886.791015625","8886.791015625","8886.791015625"
"14999","12062.259765625","12062.259765625","12062.259765625","11923.744140625","11923.744140625","11923.744140625","12135.1748046875","12135.1748046875","12135.1748046875","10648.23828125","10648.23828125","10648.23828125","11555.7373046875","11555.7373046875","11555.7373046875","8806.1376953125","8806.1376953125","8806.1376953125"
"15599","12065.8310546875","12065.8310546875","12065.8310546875","11910.8828125","11910.8828125","11910.8828125","12137.6494140625","12137.6494140625","12137.6494140625","10648.5068359375","10648.5068359375","10648.5068359375","11543.9677734375","11543.9677734375","11543.9677734375","8722.642578125","8722.642578125","8722.642578125"
"16199","12066.171875","12066.171875","12066.171875","11927.5625","11927.5625","11927.5625","12142.134765625","12142.134765625","12142.134765625","10665.7841796875","10665.7841796875","10665.7841796875","11574.2275390625","11574.2275390625","11574.2275390625","8636.234375","8636.234375","8636.234375"
"16799","12079.82421875","12079.82421875","12079.82421875","11938.931640625","11938.931640625","11938.931640625","12138.6259765625","12138.6259765625","12138.6259765625","10661.5126953125","10661.5126953125","10661.5126953125","11575.25","11575.25","11575.25","8549.1943359375","8549.1943359375","8549.1943359375"
"17399","12068.9091796875","12068.9091796875","12068.9091796875","11930.9404296875","11930.9404296875","11930.9404296875","12140.416015625","12140.416015625","12140.416015625","10653.7177734375","10653.7177734375","10653.7177734375","11573.5732421875","11573.5732421875","11573.5732421875","8487.8193359375","8487.8193359375","8487.8193359375"
"17999","12057.8349609375","12057.8349609375","12057.8349609375","11935.0029296875","11935.0029296875","11935.0029296875","12127.0859375","12127.0859375","12127.0859375","10648.3095703125","10648.3095703125","10648.3095703125","11547.619140625","11547.619140625","11547.619140625","8419.5439453125","8419.5439453125","8419.5439453125"
"18599","12054.2490234375","12054.2490234375","12054.2490234375","11938.6162109375","11938.6162109375","11938.6162109375","12129.59765625","12129.59765625","12129.59765625","10660.048828125","10660.048828125","10660.048828125","11548.6689453125","11548.6689453125","11548.6689453125","8358.171875","8358.171875","8358.171875"
"19199","12082.3349609375","12082.3349609375","12082.3349609375","11949.7294921875","11949.7294921875","11949.7294921875","12127.5302734375","12127.5302734375","12127.5302734375","10663.322265625","10663.322265625","10663.322265625","11554.3388671875","11554.3388671875","11554.3388671875","8289.693359375","8289.693359375","8289.693359375"
"19799","12077.7216796875","12077.7216796875","12077.7216796875","11956.330078125","11956.330078125","11956.330078125","12130.345703125","12130.345703125","12130.345703125","10663.1533203125","10663.1533203125","10663.1533203125","11570.345703125","11570.345703125","11570.345703125","8223.291015625","8223.291015625","8223.291015625"
