"Step","layer_10_hook_resid_mid_gpt2_jumprelu_fisher_false_project_TinyStories - shrinkage.l2_ratio","layer_10_hook_resid_mid_gpt2_jumprelu_fisher_false_project_TinyStories - shrinkage.l2_ratio__MIN","layer_10_hook_resid_mid_gpt2_jumprelu_fisher_false_project_TinyStories - shrinkage.l2_ratio__MAX","layer_5_hook_resid_mid_gpt2_jumprelu_fisher_false_project_TinyStories - shrinkage.l2_ratio","layer_5_hook_resid_mid_gpt2_jumprelu_fisher_false_project_TinyStories - shrinkage.l2_ratio__MIN","layer_5_hook_resid_mid_gpt2_jumprelu_fisher_false_project_TinyStories - shrinkage.l2_ratio__MAX","layer_0_hook_resid_mid_gpt2_jumprelu_fisher_false_project_TinyStories - shrinkage.l2_ratio","layer_0_hook_resid_mid_gpt2_jumprelu_fisher_false_project_TinyStories - shrinkage.l2_ratio__MIN","layer_0_hook_resid_mid_gpt2_jumprelu_fisher_false_project_TinyStories - shrinkage.l2_ratio__MAX","layer_10_hook_resid_mid_gpt2_jumprelu_fisher_true_project_TinyStories - shrinkage.l2_ratio","layer_10_hook_resid_mid_gpt2_jumprelu_fisher_true_project_TinyStories - shrinkage.l2_ratio__MIN","layer_10_hook_resid_mid_gpt2_jumprelu_fisher_true_project_TinyStories - shrinkage.l2_ratio__MAX","layer_5_hook_resid_mid_gpt2_jumprelu_fisher_true_project_TinyStories - shrinkage.l2_ratio","layer_5_hook_resid_mid_gpt2_jumprelu_fisher_true_project_TinyStories - shrinkage.l2_ratio__MIN","layer_5_hook_resid_mid_gpt2_jumprelu_fisher_true_project_TinyStories - shrinkage.l2_ratio__MAX","layer_0_hook_resid_mid_gpt2_jumprelu_fisher_true_project_TinyStories - shrinkage.l2_ratio","layer_0_hook_resid_mid_gpt2_jumprelu_fisher_true_project_TinyStories - shrinkage.l2_ratio__MIN","layer_0_hook_resid_mid_gpt2_jumprelu_fisher_true_project_TinyStories - shrinkage.l2_ratio__MAX"
"599","6.574883937835693","6.574883937835693","6.574883937835693","2.7350804805755615","2.7350804805755615","2.7350804805755615","1.190500020980835","1.190500020980835","1.190500020980835","6.5869293212890625","6.5869293212890625","6.5869293212890625","2.749828338623047","2.749828338623047","2.749828338623047","1.1902402639389038","1.1902402639389038","1.1902402639389038"
"1199","6.738163948059082","6.738163948059082","6.738163948059082","2.8184709548950195","2.8184709548950195","2.8184709548950195","1.197529673576355","1.197529673576355","1.197529673576355","6.7715349197387695","6.7715349197387695","6.7715349197387695","2.84161639213562","2.84161639213562","2.84161639213562","1.1975572109222412","1.1975572109222412","1.1975572109222412"
"1799","6.7925028800964355","6.7925028800964355","6.7925028800964355","2.8386244773864746","2.8386244773864746","2.8386244773864746","1.1974365711212158","1.1974365711212158","1.1974365711212158","6.847978115081787","6.847978115081787","6.847978115081787","2.863398551940918","2.863398551940918","2.863398551940918","1.197443962097168","1.197443962097168","1.197443962097168"
"2399","6.826625823974609","6.826625823974609","6.826625823974609","2.856170654296875","2.856170654296875","2.856170654296875","1.1993868350982666","1.1993868350982666","1.1993868350982666","6.877185344696045","6.877185344696045","6.877185344696045","2.8733155727386475","2.8733155727386475","2.8733155727386475","1.1989949941635132","1.1989949941635132","1.1989949941635132"
"2999","6.8542094230651855","6.8542094230651855","6.8542094230651855","2.869105815887451","2.869105815887451","2.869105815887451","1.1995381116867065","1.1995381116867065","1.1995381116867065","6.954228401184082","6.954228401184082","6.954228401184082","2.8674638271331787","2.8674638271331787","2.8674638271331787","1.1995478868484497","1.1995478868484497","1.1995478868484497"
"3599","6.8560309410095215","6.8560309410095215","6.8560309410095215","2.86470103263855","2.86470103263855","2.86470103263855","1.1996368169784546","1.1996368169784546","1.1996368169784546","6.906370639801025","6.906370639801025","6.906370639801025","2.8752410411834717","2.8752410411834717","2.8752410411834717","1.2002135515213013","1.2002135515213013","1.2002135515213013"
"4199","6.869225978851318","6.869225978851318","6.869225978851318","2.866978883743286","2.866978883743286","2.866978883743286","1.2005161046981812","1.2005161046981812","1.2005161046981812","6.886871337890625","6.886871337890625","6.886871337890625","2.8687729835510254","2.8687729835510254","2.8687729835510254","1.2008333206176758","1.2008333206176758","1.2008333206176758"
"4799","6.876284122467041","6.876284122467041","6.876284122467041","2.880354166030884","2.880354166030884","2.880354166030884","1.2000362873077393","1.2000362873077393","1.2000362873077393","6.910946846008301","6.910946846008301","6.910946846008301","2.8745641708374023","2.8745641708374023","2.8745641708374023","1.1996601819992065","1.1996601819992065","1.1996601819992065"
"5399","6.8816819190979","6.8816819190979","6.8816819190979","2.87538743019104","2.87538743019104","2.87538743019104","1.200014591217041","1.200014591217041","1.200014591217041","6.875772953033447","6.875772953033447","6.875772953033447","2.8723371028900146","2.8723371028900146","2.8723371028900146","1.1996917724609375","1.1996917724609375","1.1996917724609375"
"5999","6.893807888031006","6.893807888031006","6.893807888031006","2.8742427825927734","2.8742427825927734","2.8742427825927734","1.2000006437301636","1.2000006437301636","1.2000006437301636","6.896860599517822","6.896860599517822","6.896860599517822","2.869210958480835","2.869210958480835","2.869210958480835","1.1994174718856812","1.1994174718856812","1.1994174718856812"
"6599","6.87330961227417","6.87330961227417","6.87330961227417","2.8701162338256836","2.8701162338256836","2.8701162338256836","1.19908607006073","1.19908607006073","1.19908607006073","6.882501125335693","6.882501125335693","6.882501125335693","2.869969367980957","2.869969367980957","2.869969367980957","1.1988964080810547","1.1988964080810547","1.1988964080810547"
"7199","6.883836269378662","6.883836269378662","6.883836269378662","2.8737804889678955","2.8737804889678955","2.8737804889678955","1.1994470357894897","1.1994470357894897","1.1994470357894897","6.884135723114014","6.884135723114014","6.884135723114014","2.875284433364868","2.875284433364868","2.875284433364868","1.1991013288497925","1.1991013288497925","1.1991013288497925"
"7799","6.866700649261475","6.866700649261475","6.866700649261475","2.8738861083984375","2.8738861083984375","2.8738861083984375","1.1996864080429077","1.1996864080429077","1.1996864080429077","6.882304668426514","6.882304668426514","6.882304668426514","2.8698532581329346","2.8698532581329346","2.8698532581329346","1.199950098991394","1.199950098991394","1.199950098991394"
"8399","6.882243633270264","6.882243633270264","6.882243633270264","2.8730478286743164","2.8730478286743164","2.8730478286743164","1.20046865940094","1.20046865940094","1.20046865940094","6.854536533355713","6.854536533355713","6.854536533355713","2.875227689743042","2.875227689743042","2.875227689743042","1.199783444404602","1.199783444404602","1.199783444404602"
"8999","6.878275394439697","6.878275394439697","6.878275394439697","2.8651883602142334","2.8651883602142334","2.8651883602142334","1.199245810508728","1.199245810508728","1.199245810508728","6.88357400894165","6.88357400894165","6.88357400894165","2.8650314807891846","2.8650314807891846","2.8650314807891846","1.1991426944732666","1.1991426944732666","1.1991426944732666"
"9599","6.880862712860107","6.880862712860107","6.880862712860107","2.8796184062957764","2.8796184062957764","2.8796184062957764","1.1995872259140015","1.1995872259140015","1.1995872259140015","6.8869147300720215","6.8869147300720215","6.8869147300720215","2.8728225231170654","2.8728225231170654","2.8728225231170654","1.1996301412582397","1.1996301412582397","1.1996301412582397"
"10199","6.885280132293701","6.885280132293701","6.885280132293701","2.8649585247039795","2.8649585247039795","2.8649585247039795","1.2001972198486328","1.2001972198486328","1.2001972198486328","6.871495723724365","6.871495723724365","6.871495723724365","2.8730101585388184","2.8730101585388184","2.8730101585388184","1.1995643377304077","1.1995643377304077","1.1995643377304077"
"10799","6.883914470672607","6.883914470672607","6.883914470672607","2.8685200214385986","2.8685200214385986","2.8685200214385986","1.2002004384994507","1.2002004384994507","1.2002004384994507","6.889139652252197","6.889139652252197","6.889139652252197","2.873649835586548","2.873649835586548","2.873649835586548","1.1996902227401733","1.1996902227401733","1.1996902227401733"
"11399","6.876521587371826","6.876521587371826","6.876521587371826","2.8753862380981445","2.8753862380981445","2.8753862380981445","1.1998233795166016","1.1998233795166016","1.1998233795166016","6.895254611968994","6.895254611968994","6.895254611968994","2.875035047531128","2.875035047531128","2.875035047531128","1.1996338367462158","1.1996338367462158","1.1996338367462158"
"11999","6.878950595855713","6.878950595855713","6.878950595855713","2.865703821182251","2.865703821182251","2.865703821182251","1.200170874595642","1.200170874595642","1.200170874595642","6.90071964263916","6.90071964263916","6.90071964263916","2.8743767738342285","2.8743767738342285","2.8743767738342285","1.199877381324768","1.199877381324768","1.199877381324768"
"12599","6.877771854400635","6.877771854400635","6.877771854400635","2.8733036518096924","2.8733036518096924","2.8733036518096924","1.2001724243164062","1.2001724243164062","1.2001724243164062","6.871312141418457","6.871312141418457","6.871312141418457","2.87809419631958","2.87809419631958","2.87809419631958","1.2003204822540283","1.2003204822540283","1.2003204822540283"
"13199","6.867768287658691","6.867768287658691","6.867768287658691","2.878364324569702","2.878364324569702","2.878364324569702","1.1996639966964722","1.1996639966964722","1.1996639966964722","6.888609409332275","6.888609409332275","6.888609409332275","2.864912748336792","2.864912748336792","2.864912748336792","1.199424147605896","1.199424147605896","1.199424147605896"
"13799","6.899319648742676","6.899319648742676","6.899319648742676","2.8773648738861084","2.8773648738861084","2.8773648738861084","1.199626088142395","1.199626088142395","1.199626088142395","6.885022163391113","6.885022163391113","6.885022163391113","2.8698697090148926","2.8698697090148926","2.8698697090148926","1.1995130777359009","1.1995130777359009","1.1995130777359009"
"14399","6.891513347625732","6.891513347625732","6.891513347625732","2.8720788955688477","2.8720788955688477","2.8720788955688477","1.2002023458480835","1.2002023458480835","1.2002023458480835","6.887569427490234","6.887569427490234","6.887569427490234","2.8739445209503174","2.8739445209503174","2.8739445209503174","1.1995657682418823","1.1995657682418823","1.1995657682418823"
"14999","6.873884677886963","6.873884677886963","6.873884677886963","2.871204137802124","2.871204137802124","2.871204137802124","1.1986197233200073","1.1986197233200073","1.1986197233200073","6.885435581207275","6.885435581207275","6.885435581207275","2.8731212615966797","2.8731212615966797","2.8731212615966797","1.199945330619812","1.199945330619812","1.199945330619812"
"15599","6.877593994140625","6.877593994140625","6.877593994140625","2.874107837677002","2.874107837677002","2.874107837677002","1.1998066902160645","1.1998066902160645","1.1998066902160645","6.887824535369873","6.887824535369873","6.887824535369873","2.870952844619751","2.870952844619751","2.870952844619751","1.1999746561050415","1.1999746561050415","1.1999746561050415"
"16199","6.882434368133545","6.882434368133545","6.882434368133545","2.8763010501861572","2.8763010501861572","2.8763010501861572","1.1995598077774048","1.1995598077774048","1.1995598077774048","6.882579326629639","6.882579326629639","6.882579326629639","2.8726539611816406","2.8726539611816406","2.8726539611816406","1.1996139287948608","1.1996139287948608","1.1996139287948608"
"16799","6.883772373199463","6.883772373199463","6.883772373199463","2.8668501377105713","2.8668501377105713","2.8668501377105713","1.1993454694747925","1.1993454694747925","1.1993454694747925","6.893013000488281","6.893013000488281","6.893013000488281","2.8672425746917725","2.8672425746917725","2.8672425746917725","1.1991207599639893","1.1991207599639893","1.1991207599639893"
"17399","6.891265392303467","6.891265392303467","6.891265392303467","2.8707072734832764","2.8707072734832764","2.8707072734832764","1.1997383832931519","1.1997383832931519","1.1997383832931519","6.880809307098389","6.880809307098389","6.880809307098389","2.861445665359497","2.861445665359497","2.861445665359497","1.1991182565689087","1.1991182565689087","1.1991182565689087"
"17999","6.882094860076904","6.882094860076904","6.882094860076904","2.8697121143341064","2.8697121143341064","2.8697121143341064","1.1993998289108276","1.1993998289108276","1.1993998289108276","6.879660129547119","6.879660129547119","6.879660129547119","2.8709990978240967","2.8709990978240967","2.8709990978240967","1.199562668800354","1.199562668800354","1.199562668800354"
"18599","6.892308235168457","6.892308235168457","6.892308235168457","2.8775341510772705","2.8775341510772705","2.8775341510772705","1.1992111206054688","1.1992111206054688","1.1992111206054688","6.8991851806640625","6.8991851806640625","6.8991851806640625","2.89160418510437","2.89160418510437","2.89160418510437","1.1998974084854126","1.1998974084854126","1.1998974084854126"
"19199","6.88228178024292","6.88228178024292","6.88228178024292","2.8755478858947754","2.8755478858947754","2.8755478858947754","1.1992794275283813","1.1992794275283813","1.1992794275283813","6.878843784332275","6.878843784332275","6.878843784332275","2.8903543949127197","2.8903543949127197","2.8903543949127197","1.2008484601974487","1.2008484601974487","1.2008484601974487"
"19799","6.886351108551025","6.886351108551025","6.886351108551025","2.8737118244171143","2.8737118244171143","2.8737118244171143","1.2008965015411377","1.2008965015411377","1.2008965015411377","6.882694244384766","6.882694244384766","6.882694244384766","2.8795478343963623","2.8795478343963623","2.8795478343963623","1.2002482414245605","1.2002482414245605","1.2002482414245605"
