"Step","layer_10_hook_resid_mid_gpt2_jumprelu_fisher_false_project_TinyStories - losses/mse_loss","layer_10_hook_resid_mid_gpt2_jumprelu_fisher_false_project_TinyStories - losses/mse_loss__MIN","layer_10_hook_resid_mid_gpt2_jumprelu_fisher_false_project_TinyStories - losses/mse_loss__MAX","layer_5_hook_resid_mid_gpt2_jumprelu_fisher_false_project_TinyStories - losses/mse_loss","layer_5_hook_resid_mid_gpt2_jumprelu_fisher_false_project_TinyStories - losses/mse_loss__MIN","layer_5_hook_resid_mid_gpt2_jumprelu_fisher_false_project_TinyStories - losses/mse_loss__MAX","layer_0_hook_resid_mid_gpt2_jumprelu_fisher_false_project_TinyStories - losses/mse_loss","layer_0_hook_resid_mid_gpt2_jumprelu_fisher_false_project_TinyStories - losses/mse_loss__MIN","layer_0_hook_resid_mid_gpt2_jumprelu_fisher_false_project_TinyStories - losses/mse_loss__MAX","layer_10_hook_resid_mid_gpt2_jumprelu_fisher_true_project_TinyStories - losses/mse_loss","layer_10_hook_resid_mid_gpt2_jumprelu_fisher_true_project_TinyStories - losses/mse_loss__MIN","layer_10_hook_resid_mid_gpt2_jumprelu_fisher_true_project_TinyStories - losses/mse_loss__MAX","layer_5_hook_resid_mid_gpt2_jumprelu_fisher_true_project_TinyStories - losses/mse_loss","layer_5_hook_resid_mid_gpt2_jumprelu_fisher_true_project_TinyStories - losses/mse_loss__MIN","layer_5_hook_resid_mid_gpt2_jumprelu_fisher_true_project_TinyStories - losses/mse_loss__MAX","layer_0_hook_resid_mid_gpt2_jumprelu_fisher_true_project_TinyStories - losses/mse_loss","layer_0_hook_resid_mid_gpt2_jumprelu_fisher_true_project_TinyStories - losses/mse_loss__MIN","layer_0_hook_resid_mid_gpt2_jumprelu_fisher_true_project_TinyStories - losses/mse_loss__MAX"
"29","12483.0771484375","12483.0771484375","12483.0771484375","2422.79345703125","2422.79345703125","2422.79345703125","323.9275207519531","323.9275207519531","323.9275207519531","12484.5048828125","12484.5048828125","12484.5048828125","2423.36376953125","2423.36376953125","2423.36376953125","346.8546447753906","346.8546447753906","346.8546447753906"
"59","6663.13720703125","6663.13720703125","6663.13720703125","1325.794677734375","1325.794677734375","1325.794677734375","102.44068908691406","102.44068908691406","102.44068908691406","6656.267578125","6656.267578125","6656.267578125","1323.18701171875","1323.18701171875","1323.18701171875","107.04989624023438","107.04989624023438","107.04989624023438"
"89","5284.16357421875","5284.16357421875","5284.16357421875","976.8660888671875","976.8660888671875","976.8660888671875","55.59188461303711","55.59188461303711","55.59188461303711","5278.78125","5278.78125","5278.78125","973.2813720703125","973.2813720703125","973.2813720703125","53.87434768676758","53.87434768676758","53.87434768676758"
"119","4151.8798828125","4151.8798828125","4151.8798828125","825.0969848632812","825.0969848632812","825.0969848632812","50.12570571899414","50.12570571899414","50.12570571899414","4147.30419921875","4147.30419921875","4147.30419921875","821.6328125","821.6328125","821.6328125","48.46013641357422","48.46013641357422","48.46013641357422"
"149","43117.66015625","43117.66015625","43117.66015625","32853.30859375","32853.30859375","32853.30859375","50.79550552368164","50.79550552368164","50.79550552368164","43091.8125","43091.8125","43091.8125","32803.89453125","32803.89453125","32803.89453125","48.94886779785156","48.94886779785156","48.94886779785156"
"179","34484.828125","34484.828125","34484.828125","25878.798828125","25878.798828125","25878.798828125","33.306331634521484","33.306331634521484","33.306331634521484","34458.00390625","34458.00390625","34458.00390625","25824.21484375","25824.21484375","25824.21484375","31.46112632751465","31.46112632751465","31.46112632751465"
"209","3099.89306640625","3099.89306640625","3099.89306640625","573.0962524414062","573.0962524414062","573.0962524414062","27.437631607055664","27.437631607055664","27.437631607055664","3095.694091796875","3095.694091796875","3095.694091796875","570.2409057617188","570.2409057617188","570.2409057617188","26.04001808166504","26.04001808166504","26.04001808166504"
"239","2700.36181640625","2700.36181640625","2700.36181640625","525.07275390625","525.07275390625","525.07275390625","23.92620277404785","23.92620277404785","23.92620277404785","2696.718017578125","2696.718017578125","2696.718017578125","522.5299072265625","522.5299072265625","522.5299072265625","22.556224822998047","22.556224822998047","22.556224822998047"
"269","2623.331298828125","2623.331298828125","2623.331298828125","446.6935729980469","446.6935729980469","446.6935729980469","17.882715225219727","17.882715225219727","17.882715225219727","2619.2783203125","2619.2783203125","2619.2783203125","444.19378662109375","444.19378662109375","444.19378662109375","16.76397705078125","16.76397705078125","16.76397705078125"
"299","2384.908935546875","2384.908935546875","2384.908935546875","458.9812927246094","458.9812927246094","458.9812927246094","21.795848846435547","21.795848846435547","21.795848846435547","2381.173095703125","2381.173095703125","2381.173095703125","456.7116394042969","456.7116394042969","456.7116394042969","20.58040428161621","20.58040428161621","20.58040428161621"
"329","983.3775024414062","983.3775024414062","983.3775024414062","189.94932556152344","189.94932556152344","189.94932556152344","11.534724235534668","11.534724235534668","11.534724235534668","982.0960693359375","982.0960693359375","982.0960693359375","189.09988403320312","189.09988403320312","189.09988403320312","10.832353591918945","10.832353591918945","10.832353591918945"
"359","1081.474609375","1081.474609375","1081.474609375","215.05096435546875","215.05096435546875","215.05096435546875","12.53779125213623","12.53779125213623","12.53779125213623","1080.42236328125","1080.42236328125","1080.42236328125","214.96815490722656","214.96815490722656","214.96815490722656","11.77561092376709","11.77561092376709","11.77561092376709"
"389","1145.4454345703125","1145.4454345703125","1145.4454345703125","199.69699096679688","199.69699096679688","199.69699096679688","10.282790184020996","10.282790184020996","10.282790184020996","1145.762939453125","1145.762939453125","1145.762939453125","198.6715545654297","198.6715545654297","198.6715545654297","9.618289947509766","9.618289947509766","9.618289947509766"
