"Step","layer_10_hook_resid_mid_gpt2_standard_fisher_false_project_TinyStories - sparsity.l1","layer_10_hook_resid_mid_gpt2_standard_fisher_false_project_TinyStories - sparsity.l1__MIN","layer_10_hook_resid_mid_gpt2_standard_fisher_false_project_TinyStories - sparsity.l1__MAX","layer_5_hook_resid_mid_gpt2_standard_fisher_false_project_TinyStories - sparsity.l1","layer_5_hook_resid_mid_gpt2_standard_fisher_false_project_TinyStories - sparsity.l1__MIN","layer_5_hook_resid_mid_gpt2_standard_fisher_false_project_TinyStories - sparsity.l1__MAX","layer_0_hook_resid_mid_gpt2_standard_fisher_false_project_TinyStories - sparsity.l1","layer_0_hook_resid_mid_gpt2_standard_fisher_false_project_TinyStories - sparsity.l1__MIN","layer_0_hook_resid_mid_gpt2_standard_fisher_false_project_TinyStories - sparsity.l1__MAX","layer_10_hook_resid_mid_gpt2_standard_fisher_true_project_TinyStories - sparsity.l1","layer_10_hook_resid_mid_gpt2_standard_fisher_true_project_TinyStories - sparsity.l1__MIN","layer_10_hook_resid_mid_gpt2_standard_fisher_true_project_TinyStories - sparsity.l1__MAX","layer_5_hook_resid_mid_gpt2_standard_fisher_true_project_TinyStories - sparsity.l1","layer_5_hook_resid_mid_gpt2_standard_fisher_true_project_TinyStories - sparsity.l1__MIN","layer_5_hook_resid_mid_gpt2_standard_fisher_true_project_TinyStories - sparsity.l1__MAX","layer_0_hook_resid_mid_gpt2_standard_fisher_true_project_TinyStories - sparsity.l1","layer_0_hook_resid_mid_gpt2_standard_fisher_true_project_TinyStories - sparsity.l1__MIN","layer_0_hook_resid_mid_gpt2_standard_fisher_true_project_TinyStories - sparsity.l1__MAX"
"599","4721.42724609375","4721.42724609375","4721.42724609375","4776.51318359375","4776.51318359375","4776.51318359375","4554.82275390625","4554.82275390625","4554.82275390625","4239.35693359375","4239.35693359375","4239.35693359375","3796.6328125","3796.6328125","3796.6328125","4166.89697265625","4166.89697265625","4166.89697265625"
"1199","4942.65380859375","4942.65380859375","4942.65380859375","5125.96826171875","5125.96826171875","5125.96826171875","4585.61865234375","4585.61865234375","4585.61865234375","3707.055419921875","3707.055419921875","3707.055419921875","3307.781982421875","3307.781982421875","3307.781982421875","3891.535888671875","3891.535888671875","3891.535888671875"
"1799","4874.24169921875","4874.24169921875","4874.24169921875","5185.86474609375","5185.86474609375","5185.86474609375","4480.99755859375","4480.99755859375","4480.99755859375","3103.1640625","3103.1640625","3103.1640625","3059.26220703125","3059.26220703125","3059.26220703125","3719.09375","3719.09375","3719.09375"
"2399","4780.5595703125","4780.5595703125","4780.5595703125","5219.8671875","5219.8671875","5219.8671875","4360.55419921875","4360.55419921875","4360.55419921875","2722.004638671875","2722.004638671875","2722.004638671875","2941.273193359375","2941.273193359375","2941.273193359375","3672.555419921875","3672.555419921875","3672.555419921875"
"2999","4657.63818359375","4657.63818359375","4657.63818359375","5056.67333984375","5056.67333984375","5056.67333984375","4221.90185546875","4221.90185546875","4221.90185546875","2543.197509765625","2543.197509765625","2543.197509765625","2884.65673828125","2884.65673828125","2884.65673828125","3645.14501953125","3645.14501953125","3645.14501953125"
"3599","4543.70556640625","4543.70556640625","4543.70556640625","4982.4091796875","4982.4091796875","4982.4091796875","4119.11181640625","4119.11181640625","4119.11181640625","2368.463623046875","2368.463623046875","2368.463623046875","2876.18017578125","2876.18017578125","2876.18017578125","3616.72265625","3616.72265625","3616.72265625"
"4199","4593.1787109375","4593.1787109375","4593.1787109375","4966.55322265625","4966.55322265625","4966.55322265625","4034.451904296875","4034.451904296875","4034.451904296875","2321.29150390625","2321.29150390625","2321.29150390625","2979.283447265625","2979.283447265625","2979.283447265625","3607.434326171875","3607.434326171875","3607.434326171875"
"4799","4650.18505859375","4650.18505859375","4650.18505859375","4908.5361328125","4908.5361328125","4908.5361328125","3991.29931640625","3991.29931640625","3991.29931640625","2332.40478515625","2332.40478515625","2332.40478515625","3074.714111328125","3074.714111328125","3074.714111328125","3567.125732421875","3567.125732421875","3567.125732421875"
"5399","4661.89013671875","4661.89013671875","4661.89013671875","4709.0419921875","4709.0419921875","4709.0419921875","3937.12109375","3937.12109375","3937.12109375","2432.676513671875","2432.676513671875","2432.676513671875","3206.419677734375","3206.419677734375","3206.419677734375","3541.92236328125","3541.92236328125","3541.92236328125"
"5999","4710.42822265625","4710.42822265625","4710.42822265625","4637.19677734375","4637.19677734375","4637.19677734375","3891.966552734375","3891.966552734375","3891.966552734375","2632.577880859375","2632.577880859375","2632.577880859375","3359.867919921875","3359.867919921875","3359.867919921875","3504.064208984375","3504.064208984375","3504.064208984375"
