"Step","layer_10_hook_resid_mid_gpt2_standard_fisher_false_project_TinyStories - shrinkage.l2_ratio","layer_10_hook_resid_mid_gpt2_standard_fisher_false_project_TinyStories - shrinkage.l2_ratio__MIN","layer_10_hook_resid_mid_gpt2_standard_fisher_false_project_TinyStories - shrinkage.l2_ratio__MAX","layer_5_hook_resid_mid_gpt2_standard_fisher_false_project_TinyStories - shrinkage.l2_ratio","layer_5_hook_resid_mid_gpt2_standard_fisher_false_project_TinyStories - shrinkage.l2_ratio__MIN","layer_5_hook_resid_mid_gpt2_standard_fisher_false_project_TinyStories - shrinkage.l2_ratio__MAX","layer_0_hook_resid_mid_gpt2_standard_fisher_false_project_TinyStories - shrinkage.l2_ratio","layer_0_hook_resid_mid_gpt2_standard_fisher_false_project_TinyStories - shrinkage.l2_ratio__MIN","layer_0_hook_resid_mid_gpt2_standard_fisher_false_project_TinyStories - shrinkage.l2_ratio__MAX","layer_10_hook_resid_mid_gpt2_standard_fisher_true_project_TinyStories - shrinkage.l2_ratio","layer_10_hook_resid_mid_gpt2_standard_fisher_true_project_TinyStories - shrinkage.l2_ratio__MIN","layer_10_hook_resid_mid_gpt2_standard_fisher_true_project_TinyStories - shrinkage.l2_ratio__MAX","layer_5_hook_resid_mid_gpt2_standard_fisher_true_project_TinyStories - shrinkage.l2_ratio","layer_5_hook_resid_mid_gpt2_standard_fisher_true_project_TinyStories - shrinkage.l2_ratio__MIN","layer_5_hook_resid_mid_gpt2_standard_fisher_true_project_TinyStories - shrinkage.l2_ratio__MAX","layer_0_hook_resid_mid_gpt2_standard_fisher_true_project_TinyStories - shrinkage.l2_ratio","layer_0_hook_resid_mid_gpt2_standard_fisher_true_project_TinyStories - shrinkage.l2_ratio__MIN","layer_0_hook_resid_mid_gpt2_standard_fisher_true_project_TinyStories - shrinkage.l2_ratio__MAX"
"599","6.574931621551514","6.574931621551514","6.574931621551514","2.7351362705230713","2.7351362705230713","2.7351362705230713","1.1905120611190796","1.1905120611190796","1.1905120611190796","6.586954593658447","6.586954593658447","6.586954593658447","2.7498552799224854","2.7498552799224854","2.7498552799224854","1.1902551651000977","1.1902551651000977","1.1902551651000977"
"1199","6.738124370574951","6.738124370574951","6.738124370574951","2.8185088634490967","2.8185088634490967","2.8185088634490967","1.1975336074829102","1.1975336074829102","1.1975336074829102","6.771484375","6.771484375","6.771484375","2.841602087020874","2.841602087020874","2.841602087020874","1.1975610256195068","1.1975610256195068","1.1975610256195068"
"1799","6.792501926422119","6.792501926422119","6.792501926422119","2.838639974594116","2.838639974594116","2.838639974594116","1.1974422931671143","1.1974422931671143","1.1974422931671143","6.848041534423828","6.848041534423828","6.848041534423828","2.8633875846862793","2.8633875846862793","2.8633875846862793","1.1974480152130127","1.1974480152130127","1.1974480152130127"
"2399","6.826562404632568","6.826562404632568","6.826562404632568","2.8561408519744873","2.8561408519744873","2.8561408519744873","1.1993999481201172","1.1993999481201172","1.1993999481201172","6.876914978027344","6.876914978027344","6.876914978027344","2.873244524002075","2.873244524002075","2.873244524002075","1.1989516019821167","1.1989516019821167","1.1989516019821167"
"2999","6.854208469390869","6.854208469390869","6.854208469390869","2.868638515472412","2.868638515472412","2.868638515472412","1.198879599571228","1.198879599571228","1.198879599571228","6.954231262207031","6.954231262207031","6.954231262207031","2.8675808906555176","2.8675808906555176","2.8675808906555176","1.1996488571166992","1.1996488571166992","1.1996488571166992"
"3599","6.856029033660889","6.856029033660889","6.856029033660889","2.865971326828003","2.865971326828003","2.865971326828003","1.1992791891098022","1.1992791891098022","1.1992791891098022","6.906692028045654","6.906692028045654","6.906692028045654","2.8752570152282715","2.8752570152282715","2.8752570152282715","1.1986738443374634","1.1986738443374634","1.1986738443374634"
"4199","6.869199275970459","6.869199275970459","6.869199275970459","2.8624351024627686","2.8624351024627686","2.8624351024627686","1.1998188495635986","1.1998188495635986","1.1998188495635986","6.8873138427734375","6.8873138427734375","6.8873138427734375","2.868966817855835","2.868966817855835","2.868966817855835","1.200992226600647","1.200992226600647","1.200992226600647"
"4799","6.8763322830200195","6.8763322830200195","6.8763322830200195","2.871163845062256","2.871163845062256","2.871163845062256","1.1998876333236694","1.1998876333236694","1.1998876333236694","6.911069393157959","6.911069393157959","6.911069393157959","2.874912977218628","2.874912977218628","2.874912977218628","1.1993687152862549","1.1993687152862549","1.1993687152862549"
"5399","6.884976387023926","6.884976387023926","6.884976387023926","2.872607946395874","2.872607946395874","2.872607946395874","1.2000750303268433","1.2000750303268433","1.2000750303268433","6.876525402069092","6.876525402069092","6.876525402069092","2.8676819801330566","2.8676819801330566","2.8676819801330566","1.1996595859527588","1.1996595859527588","1.1996595859527588"
"5999","6.875130653381348","6.875130653381348","6.875130653381348","2.870379686355591","2.870379686355591","2.870379686355591","1.1987429857254028","1.1987429857254028","1.1987429857254028","6.89657735824585","6.89657735824585","6.89657735824585","2.869983434677124","2.869983434677124","2.869983434677124","1.1992701292037964","1.1992701292037964","1.1992701292037964"
"6599","6.877323150634766","6.877323150634766","6.877323150634766","2.8688571453094482","2.8688571453094482","2.8688571453094482","1.1993707418441772","1.1993707418441772","1.1993707418441772","6.880080699920654","6.880080699920654","6.880080699920654","2.869262933731079","2.869262933731079","2.869262933731079","1.1992614269256592","1.1992614269256592","1.1992614269256592"
"7199","6.878889560699463","6.878889560699463","6.878889560699463","2.8717339038848877","2.8717339038848877","2.8717339038848877","1.199686884880066","1.199686884880066","1.199686884880066","6.890778541564941","6.890778541564941","6.890778541564941","2.878180742263794","2.878180742263794","2.878180742263794","1.1996512413024902","1.1996512413024902","1.1996512413024902"
"7799","6.876054286956787","6.876054286956787","6.876054286956787","2.871412992477417","2.871412992477417","2.871412992477417","1.1998952627182007","1.1998952627182007","1.1998952627182007","6.884411811828613","6.884411811828613","6.884411811828613","2.875091314315796","2.875091314315796","2.875091314315796","1.199863314628601","1.199863314628601","1.199863314628601"
"8399","6.873404026031494","6.873404026031494","6.873404026031494","2.8678269386291504","2.8678269386291504","2.8678269386291504","1.1993471384048462","1.1993471384048462","1.1993471384048462","6.859765529632568","6.859765529632568","6.859765529632568","2.8666234016418457","2.8666234016418457","2.8666234016418457","1.1997947692871094","1.1997947692871094","1.1997947692871094"
"8999","6.8792314529418945","6.8792314529418945","6.8792314529418945","2.869934558868408","2.869934558868408","2.869934558868408","1.1997361183166504","1.1997361183166504","1.1997361183166504","6.887437343597412","6.887437343597412","6.887437343597412","2.866197347640991","2.866197347640991","2.866197347640991","1.2016628980636597","1.2016628980636597","1.2016628980636597"
"9599","6.878364086151123","6.878364086151123","6.878364086151123","2.8746514320373535","2.8746514320373535","2.8746514320373535","1.1997078657150269","1.1997078657150269","1.1997078657150269","6.879794597625732","6.879794597625732","6.879794597625732","2.876295804977417","2.876295804977417","2.876295804977417","1.2000917196273804","1.2000917196273804","1.2000917196273804"
