"Step","layer_10_hook_resid_pre_gpt2_gated_fisher_false_project_TinyStories - sparsity.l0","layer_10_hook_resid_pre_gpt2_gated_fisher_false_project_TinyStories - sparsity.l0__MIN","layer_10_hook_resid_pre_gpt2_gated_fisher_false_project_TinyStories - sparsity.l0__MAX","layer_5_hook_resid_pre_gpt2_gated_fisher_false_project_TinyStories - sparsity.l0","layer_5_hook_resid_pre_gpt2_gated_fisher_false_project_TinyStories - sparsity.l0__MIN","layer_5_hook_resid_pre_gpt2_gated_fisher_false_project_TinyStories - sparsity.l0__MAX","layer_0_hook_resid_pre_gpt2_gated_fisher_false_project_TinyStories - sparsity.l0","layer_0_hook_resid_pre_gpt2_gated_fisher_false_project_TinyStories - sparsity.l0__MIN","layer_0_hook_resid_pre_gpt2_gated_fisher_false_project_TinyStories - sparsity.l0__MAX","layer_10_hook_resid_pre_gpt2_gated_fisher_true_project_TinyStories - sparsity.l0","layer_10_hook_resid_pre_gpt2_gated_fisher_true_project_TinyStories - sparsity.l0__MIN","layer_10_hook_resid_pre_gpt2_gated_fisher_true_project_TinyStories - sparsity.l0__MAX","layer_5_hook_resid_pre_gpt2_gated_fisher_true_project_TinyStories - sparsity.l0","layer_5_hook_resid_pre_gpt2_gated_fisher_true_project_TinyStories - sparsity.l0__MIN","layer_5_hook_resid_pre_gpt2_gated_fisher_true_project_TinyStories - sparsity.l0__MAX","layer_0_hook_resid_pre_gpt2_gated_fisher_true_project_TinyStories - sparsity.l0","layer_0_hook_resid_pre_gpt2_gated_fisher_true_project_TinyStories - sparsity.l0__MIN","layer_0_hook_resid_pre_gpt2_gated_fisher_true_project_TinyStories - sparsity.l0__MAX"
"599","4419.50732421875","4419.50732421875","4419.50732421875","2617.616943359375","2617.616943359375","2617.616943359375","417.2799377441406","417.2799377441406","417.2799377441406","4411.42822265625","4411.42822265625","4411.42822265625","2607.139892578125","2607.139892578125","2607.139892578125","550.08056640625","550.08056640625","550.08056640625"
"1199","2799.400146484375","2799.400146484375","2799.400146484375","1616.732666015625","1616.732666015625","1616.732666015625","274.0510559082031","274.0510559082031","274.0510559082031","2791.220458984375","2791.220458984375","2791.220458984375","1603.9412841796875","1603.9412841796875","1603.9412841796875","374.6914978027344","374.6914978027344","374.6914978027344"
"1799","1908.994384765625","1908.994384765625","1908.994384765625","1166.712158203125","1166.712158203125","1166.712158203125","193.1216583251953","193.1216583251953","193.1216583251953","1897.9305419921875","1897.9305419921875","1897.9305419921875","1152.2681884765625","1152.2681884765625","1152.2681884765625","292.001708984375","292.001708984375","292.001708984375"
"2399","1389.1500244140625","1389.1500244140625","1389.1500244140625","913.6830444335938","913.6830444335938","913.6830444335938","154.7198028564453","154.7198028564453","154.7198028564453","1376.7431640625","1376.7431640625","1376.7431640625","899.3947143554688","899.3947143554688","899.3947143554688","248.7982940673828","248.7982940673828","248.7982940673828"
"2999","1020.6837158203125","1020.6837158203125","1020.6837158203125","745.5462646484375","745.5462646484375","745.5462646484375","133.40538024902344","133.40538024902344","133.40538024902344","1010.19091796875","1010.19091796875","1010.19091796875","731.5929565429688","731.5929565429688","731.5929565429688","220.753173828125","220.753173828125","220.753173828125"
"3599","820.1882934570312","820.1882934570312","820.1882934570312","625.4412841796875","625.4412841796875","625.4412841796875","119.44731903076172","119.44731903076172","119.44731903076172","811.4203491210938","811.4203491210938","811.4203491210938","611.3360595703125","611.3360595703125","611.3360595703125","201.06668090820312","201.06668090820312","201.06668090820312"
"4199","621.5068359375","621.5068359375","621.5068359375","537.9171142578125","537.9171142578125","537.9171142578125","109.0467758178711","109.0467758178711","109.0467758178711","616.565673828125","616.565673828125","616.565673828125","524.2482299804688","524.2482299804688","524.2482299804688","186.2463836669922","186.2463836669922","186.2463836669922"
"4799","481.9402770996094","481.9402770996094","481.9402770996094","469.9808654785156","469.9808654785156","469.9808654785156","100.10498046875","100.10498046875","100.10498046875","479.263671875","479.263671875","479.263671875","456.7476501464844","456.7476501464844","456.7476501464844","173.1705322265625","173.1705322265625","173.1705322265625"
"5399","382.4183654785156","382.4183654785156","382.4183654785156","418.4910583496094","418.4910583496094","418.4910583496094","93.61372375488281","93.61372375488281","93.61372375488281","380.9295959472656","380.9295959472656","380.9295959472656","405.69134521484375","405.69134521484375","405.69134521484375","163.51284790039062","163.51284790039062","163.51284790039062"
"5999","315.927001953125","315.927001953125","315.927001953125","379.29034423828125","379.29034423828125","379.29034423828125","87.6566390991211","87.6566390991211","87.6566390991211","314.7876281738281","314.7876281738281","314.7876281738281","366.9230651855469","366.9230651855469","366.9230651855469","154.34898376464844","154.34898376464844","154.34898376464844"
"6599","270.47442626953125","270.47442626953125","270.47442626953125","347.5703125","347.5703125","347.5703125","83.64812469482422","83.64812469482422","83.64812469482422","269.7394104003906","269.7394104003906","269.7394104003906","335.69732666015625","335.69732666015625","335.69732666015625","147.4927978515625","147.4927978515625","147.4927978515625"
"7199","238.14773559570312","238.14773559570312","238.14773559570312","320.1880798339844","320.1880798339844","320.1880798339844","78.8546371459961","78.8546371459961","78.8546371459961","237.4300537109375","237.4300537109375","237.4300537109375","308.5469665527344","308.5469665527344","308.5469665527344","140.5026092529297","140.5026092529297","140.5026092529297"
"7799","215.3439483642578","215.3439483642578","215.3439483642578","298.8536071777344","298.8536071777344","298.8536071777344","76.3803482055664","76.3803482055664","76.3803482055664","214.6850128173828","214.6850128173828","214.6850128173828","287.53131103515625","287.53131103515625","287.53131103515625","135.57656860351562","135.57656860351562","135.57656860351562"
"8399","196.92727661132812","196.92727661132812","196.92727661132812","280.17254638671875","280.17254638671875","280.17254638671875","72.77996063232422","72.77996063232422","72.77996063232422","196.2696990966797","196.2696990966797","196.2696990966797","269.28094482421875","269.28094482421875","269.28094482421875","130.061767578125","130.061767578125","130.061767578125"
"8999","180.8580322265625","180.8580322265625","180.8580322265625","264.4408874511719","264.4408874511719","264.4408874511719","70.5550308227539","70.5550308227539","70.5550308227539","180.36253356933594","180.36253356933594","180.36253356933594","254.0835723876953","254.0835723876953","254.0835723876953","125.44648742675781","125.44648742675781","125.44648742675781"
"9599","168.4373779296875","168.4373779296875","168.4373779296875","246.99192810058594","246.99192810058594","246.99192810058594","67.4643325805664","67.4643325805664","67.4643325805664","167.9124298095703","167.9124298095703","167.9124298095703","236.91226196289062","236.91226196289062","236.91226196289062","120.5831298828125","120.5831298828125","120.5831298828125"
