"Step","layer_10_hook_resid_pre_gpt2_gated_fisher_false_project_TinyStories - shrinkage.l2_ratio","layer_10_hook_resid_pre_gpt2_gated_fisher_false_project_TinyStories - shrinkage.l2_ratio__MIN","layer_10_hook_resid_pre_gpt2_gated_fisher_false_project_TinyStories - shrinkage.l2_ratio__MAX","layer_5_hook_resid_pre_gpt2_gated_fisher_false_project_TinyStories - shrinkage.l2_ratio","layer_5_hook_resid_pre_gpt2_gated_fisher_false_project_TinyStories - shrinkage.l2_ratio__MIN","layer_5_hook_resid_pre_gpt2_gated_fisher_false_project_TinyStories - shrinkage.l2_ratio__MAX","layer_0_hook_resid_pre_gpt2_gated_fisher_false_project_TinyStories - shrinkage.l2_ratio","layer_0_hook_resid_pre_gpt2_gated_fisher_false_project_TinyStories - shrinkage.l2_ratio__MIN","layer_0_hook_resid_pre_gpt2_gated_fisher_false_project_TinyStories - shrinkage.l2_ratio__MAX","layer_10_hook_resid_pre_gpt2_gated_fisher_true_project_TinyStories - shrinkage.l2_ratio","layer_10_hook_resid_pre_gpt2_gated_fisher_true_project_TinyStories - shrinkage.l2_ratio__MIN","layer_10_hook_resid_pre_gpt2_gated_fisher_true_project_TinyStories - shrinkage.l2_ratio__MAX","layer_5_hook_resid_pre_gpt2_gated_fisher_true_project_TinyStories - shrinkage.l2_ratio","layer_5_hook_resid_pre_gpt2_gated_fisher_true_project_TinyStories - shrinkage.l2_ratio__MIN","layer_5_hook_resid_pre_gpt2_gated_fisher_true_project_TinyStories - shrinkage.l2_ratio__MAX","layer_0_hook_resid_pre_gpt2_gated_fisher_true_project_TinyStories - shrinkage.l2_ratio","layer_0_hook_resid_pre_gpt2_gated_fisher_true_project_TinyStories - shrinkage.l2_ratio__MIN","layer_0_hook_resid_pre_gpt2_gated_fisher_true_project_TinyStories - shrinkage.l2_ratio__MAX"
"599","5.619182586669922","5.619182586669922","5.619182586669922","2.544422149658203","2.544422149658203","2.544422149658203","0.1361798197031021","0.1361798197031021","0.1361798197031021","5.620204925537109","5.620204925537109","5.620204925537109","2.5443694591522217","2.5443694591522217","2.5443694591522217","0.14699770510196686","0.14699770510196686","0.14699770510196686"
"1199","5.544350624084473","5.544350624084473","5.544350624084473","2.584651231765747","2.584651231765747","2.584651231765747","0.15345355868339539","0.15345355868339539","0.15345355868339539","5.547912120819092","5.547912120819092","5.547912120819092","2.585024118423462","2.585024118423462","2.585024118423462","0.15571264922618866","0.15571264922618866","0.15571264922618866"
"1799","5.386845588684082","5.386845588684082","5.386845588684082","2.565167188644409","2.565167188644409","2.565167188644409","0.15817849338054657","0.15817849338054657","0.15817849338054657","5.3911638259887695","5.3911638259887695","5.3911638259887695","2.5652034282684326","2.5652034282684326","2.5652034282684326","0.15824846923351288","0.15824846923351288","0.15824846923351288"
"2399","5.421359539031982","5.421359539031982","5.421359539031982","2.6083390712738037","2.6083390712738037","2.6083390712738037","0.15898840129375458","0.15898840129375458","0.15898840129375458","5.425389289855957","5.425389289855957","5.425389289855957","2.608006000518799","2.608006000518799","2.608006000518799","0.15962928533554077","0.15962928533554077","0.15962928533554077"
"2999","5.327479839324951","5.327479839324951","5.327479839324951","2.591273069381714","2.591273069381714","2.591273069381714","0.16030824184417725","0.16030824184417725","0.16030824184417725","5.329543590545654","5.329543590545654","5.329543590545654","2.591508388519287","2.591508388519287","2.591508388519287","0.16001670062541962","0.16001670062541962","0.16001670062541962"
"3599","5.368283271789551","5.368283271789551","5.368283271789551","2.6056103706359863","2.6056103706359863","2.6056103706359863","0.1608782857656479","0.1608782857656479","0.1608782857656479","5.3700690269470215","5.3700690269470215","5.3700690269470215","2.6050360202789307","2.6050360202789307","2.6050360202789307","0.16064198315143585","0.16064198315143585","0.16064198315143585"
"4199","5.388757228851318","5.388757228851318","5.388757228851318","2.6278557777404785","2.6278557777404785","2.6278557777404785","0.1609950065612793","0.1609950065612793","0.1609950065612793","5.388730525970459","5.388730525970459","5.388730525970459","2.628309965133667","2.628309965133667","2.628309965133667","0.16112761199474335","0.16112761199474335","0.16112761199474335"
"4799","5.421264171600342","5.421264171600342","5.421264171600342","2.637601137161255","2.637601137161255","2.637601137161255","0.1617276519536972","0.1617276519536972","0.1617276519536972","5.421644687652588","5.421644687652588","5.421644687652588","2.638171434402466","2.638171434402466","2.638171434402466","0.16179820895195007","0.16179820895195007","0.16179820895195007"
"5399","5.459969997406006","5.459969997406006","5.459969997406006","2.646902561187744","2.646902561187744","2.646902561187744","0.16202960908412933","0.16202960908412933","0.16202960908412933","5.4613356590271","5.4613356590271","5.4613356590271","2.6474125385284424","2.6474125385284424","2.6474125385284424","0.1619381457567215","0.1619381457567215","0.1619381457567215"
"5999","5.41875696182251","5.41875696182251","5.41875696182251","2.6514604091644287","2.6514604091644287","2.6514604091644287","0.16198663413524628","0.16198663413524628","0.16198663413524628","5.418773174285889","5.418773174285889","5.418773174285889","2.6516618728637695","2.6516618728637695","2.6516618728637695","0.161941260099411","0.161941260099411","0.161941260099411"
