"Step","layer_10_hook_resid_pre_gpt2_gated_fisher_false_project_TinyStories - losses/mse_loss","layer_10_hook_resid_pre_gpt2_gated_fisher_false_project_TinyStories - losses/mse_loss__MIN","layer_10_hook_resid_pre_gpt2_gated_fisher_false_project_TinyStories - losses/mse_loss__MAX","layer_5_hook_resid_pre_gpt2_gated_fisher_false_project_TinyStories - losses/mse_loss","layer_5_hook_resid_pre_gpt2_gated_fisher_false_project_TinyStories - losses/mse_loss__MIN","layer_5_hook_resid_pre_gpt2_gated_fisher_false_project_TinyStories - losses/mse_loss__MAX","layer_0_hook_resid_pre_gpt2_gated_fisher_false_project_TinyStories - losses/mse_loss","layer_0_hook_resid_pre_gpt2_gated_fisher_false_project_TinyStories - losses/mse_loss__MIN","layer_0_hook_resid_pre_gpt2_gated_fisher_false_project_TinyStories - losses/mse_loss__MAX","layer_10_hook_resid_pre_gpt2_gated_fisher_true_project_TinyStories - losses/mse_loss","layer_10_hook_resid_pre_gpt2_gated_fisher_true_project_TinyStories - losses/mse_loss__MIN","layer_10_hook_resid_pre_gpt2_gated_fisher_true_project_TinyStories - losses/mse_loss__MAX","layer_5_hook_resid_pre_gpt2_gated_fisher_true_project_TinyStories - losses/mse_loss","layer_5_hook_resid_pre_gpt2_gated_fisher_true_project_TinyStories - losses/mse_loss__MIN","layer_5_hook_resid_pre_gpt2_gated_fisher_true_project_TinyStories - losses/mse_loss__MAX","layer_0_hook_resid_pre_gpt2_gated_fisher_true_project_TinyStories - losses/mse_loss","layer_0_hook_resid_pre_gpt2_gated_fisher_true_project_TinyStories - losses/mse_loss__MIN","layer_0_hook_resid_pre_gpt2_gated_fisher_true_project_TinyStories - losses/mse_loss__MAX"
"29","9512.353515625","9512.353515625","9512.353515625","2569.085205078125","2569.085205078125","2569.085205078125","20.33645248413086","20.33645248413086","20.33645248413086","9512.888671875","9512.888671875","9512.888671875","2570.700927734375","2570.700927734375","2570.700927734375","20.213180541992188","20.213180541992188","20.213180541992188"
"59","5611.2998046875","5611.2998046875","5611.2998046875","1475.77734375","1475.77734375","1475.77734375","20.292118072509766","20.292118072509766","20.292118072509766","5609.767578125","5609.767578125","5609.767578125","1476.166259765625","1476.166259765625","1476.166259765625","20.149723052978516","20.149723052978516","20.149723052978516"
"89","4721.9423828125","4721.9423828125","4721.9423828125","1125.60546875","1125.60546875","1125.60546875","19.82038116455078","19.82038116455078","19.82038116455078","4720.669921875","4720.669921875","4720.669921875","1124.86572265625","1124.86572265625","1124.86572265625","19.46054458618164","19.46054458618164","19.46054458618164"
"119","3913.747314453125","3913.747314453125","3913.747314453125","1019.3837280273438","1019.3837280273438","1019.3837280273438","19.888681411743164","19.888681411743164","19.888681411743164","3912.636474609375","3912.636474609375","3912.636474609375","1018.286376953125","1018.286376953125","1018.286376953125","17.162242889404297","17.162242889404297","17.162242889404297"
"149","41702.46484375","41702.46484375","41702.46484375","33044.20703125","33044.20703125","33044.20703125","20.91887092590332","20.91887092590332","20.91887092590332","41703.3046875","41703.3046875","41703.3046875","33049.52734375","33049.52734375","33049.52734375","13.741072654724121","13.741072654724121","13.741072654724121"
"179","34312.84765625","34312.84765625","34312.84765625","26287.1328125","26287.1328125","26287.1328125","18.760866165161133","18.760866165161133","18.760866165161133","34313.59375","34313.59375","34313.59375","26291.34375","26291.34375","26291.34375","9.802903175354004","9.802903175354004","9.802903175354004"
"209","3254.213134765625","3254.213134765625","3254.213134765625","801.47607421875","801.47607421875","801.47607421875","16.528057098388672","16.528057098388672","16.528057098388672","3253.405029296875","3253.405029296875","3253.405029296875","800.3812255859375","800.3812255859375","800.3812255859375","7.792323589324951","7.792323589324951","7.792323589324951"
"239","2966.673095703125","2966.673095703125","2966.673095703125","783.4141845703125","783.4141845703125","783.4141845703125","15.211201667785645","15.211201667785645","15.211201667785645","2965.888671875","2965.888671875","2965.888671875","782.3741455078125","782.3741455078125","782.3741455078125","7.514786720275879","7.514786720275879","7.514786720275879"
"269","2719.220458984375","2719.220458984375","2719.220458984375","649.8698120117188","649.8698120117188","649.8698120117188","12.787043571472168","12.787043571472168","12.787043571472168","2718.646728515625","2718.646728515625","2718.646728515625","648.9049072265625","648.9049072265625","648.9049072265625","6.207027912139893","6.207027912139893","6.207027912139893"
"299","2837.18115234375","2837.18115234375","2837.18115234375","741.3551635742188","741.3551635742188","741.3551635742188","12.346339225769043","12.346339225769043","12.346339225769043","2836.65283203125","2836.65283203125","2836.65283203125","740.4199829101562","740.4199829101562","740.4199829101562","6.329010963439941","6.329010963439941","6.329010963439941"
