"Step","layer_10_hook_resid_pre_gpt2_jumprelu_fisher_false_project_TinyStories - sparsity.l1","layer_10_hook_resid_pre_gpt2_jumprelu_fisher_false_project_TinyStories - sparsity.l1__MIN","layer_10_hook_resid_pre_gpt2_jumprelu_fisher_false_project_TinyStories - sparsity.l1__MAX","layer_5_hook_resid_pre_gpt2_jumprelu_fisher_false_project_TinyStories - sparsity.l1","layer_5_hook_resid_pre_gpt2_jumprelu_fisher_false_project_TinyStories - sparsity.l1__MIN","layer_5_hook_resid_pre_gpt2_jumprelu_fisher_false_project_TinyStories - sparsity.l1__MAX","layer_0_hook_resid_pre_gpt2_jumprelu_fisher_false_project_TinyStories - sparsity.l1","layer_0_hook_resid_pre_gpt2_jumprelu_fisher_false_project_TinyStories - sparsity.l1__MIN","layer_0_hook_resid_pre_gpt2_jumprelu_fisher_false_project_TinyStories - sparsity.l1__MAX","layer_10_hook_resid_pre_gpt2_jumprelu_fisher_true_project_TinyStories - sparsity.l1","layer_10_hook_resid_pre_gpt2_jumprelu_fisher_true_project_TinyStories - sparsity.l1__MIN","layer_10_hook_resid_pre_gpt2_jumprelu_fisher_true_project_TinyStories - sparsity.l1__MAX","layer_5_hook_resid_pre_gpt2_jumprelu_fisher_true_project_TinyStories - sparsity.l1","layer_5_hook_resid_pre_gpt2_jumprelu_fisher_true_project_TinyStories - sparsity.l1__MIN","layer_5_hook_resid_pre_gpt2_jumprelu_fisher_true_project_TinyStories - sparsity.l1__MAX","layer_0_hook_resid_pre_gpt2_jumprelu_fisher_true_project_TinyStories - sparsity.l1","layer_0_hook_resid_pre_gpt2_jumprelu_fisher_true_project_TinyStories - sparsity.l1__MIN","layer_0_hook_resid_pre_gpt2_jumprelu_fisher_true_project_TinyStories - sparsity.l1__MAX"
"599","4873.88671875","4873.88671875","4873.88671875","4693.98828125","4693.98828125","4693.98828125","4788.6611328125","4788.6611328125","4788.6611328125","4328.07373046875","4328.07373046875","4328.07373046875","3718.149169921875","3718.149169921875","3718.149169921875","1499.8570556640625","1499.8570556640625","1499.8570556640625"
"1199","5230.06591796875","5230.06591796875","5230.06591796875","4998.2119140625","4998.2119140625","4998.2119140625","5025.07373046875","5025.07373046875","5025.07373046875","3805.212646484375","3805.212646484375","3805.212646484375","3219.930419921875","3219.930419921875","3219.930419921875","1726.751220703125","1726.751220703125","1726.751220703125"
"1799","5207.43701171875","5207.43701171875","5207.43701171875","5046.71728515625","5046.71728515625","5046.71728515625","5142.19775390625","5142.19775390625","5142.19775390625","3234.505615234375","3234.505615234375","3234.505615234375","2987.56884765625","2987.56884765625","2987.56884765625","1961.022705078125","1961.022705078125","1961.022705078125"
"2399","5146.24365234375","5146.24365234375","5146.24365234375","5063.47265625","5063.47265625","5063.47265625","5171.69970703125","5171.69970703125","5171.69970703125","2899.03466796875","2899.03466796875","2899.03466796875","2879.918701171875","2879.918701171875","2879.918701171875","2156.015869140625","2156.015869140625","2156.015869140625"
"2999","5017.1064453125","5017.1064453125","5017.1064453125","4885.18115234375","4885.18115234375","4885.18115234375","5137.5224609375","5137.5224609375","5137.5224609375","2737.968017578125","2737.968017578125","2737.968017578125","2840.760986328125","2840.760986328125","2840.760986328125","2335.634521484375","2335.634521484375","2335.634521484375"
"3599","4940.63525390625","4940.63525390625","4940.63525390625","4832.87109375","4832.87109375","4832.87109375","5106.98828125","5106.98828125","5106.98828125","2588.940673828125","2588.940673828125","2588.940673828125","2843.23828125","2843.23828125","2843.23828125","2490.400634765625","2490.400634765625","2490.400634765625"
"4199","4995.60693359375","4995.60693359375","4995.60693359375","4787.42431640625","4787.42431640625","4787.42431640625","5020.38623046875","5020.38623046875","5020.38623046875","2553.73095703125","2553.73095703125","2553.73095703125","2958.769775390625","2958.769775390625","2958.769775390625","2667.97900390625","2667.97900390625","2667.97900390625"
"4799","5035.65625","5035.65625","5035.65625","4729.85546875","4729.85546875","4729.85546875","4938.484375","4938.484375","4938.484375","2578.415771484375","2578.415771484375","2578.415771484375","3055.279296875","3055.279296875","3055.279296875","2788.177978515625","2788.177978515625","2788.177978515625"
"5399","4968.3291015625","4968.3291015625","4968.3291015625","4608.66748046875","4608.66748046875","4608.66748046875","4874.74755859375","4874.74755859375","4874.74755859375","2677.741455078125","2677.741455078125","2677.741455078125","3151.31689453125","3151.31689453125","3151.31689453125","2883.08984375","2883.08984375","2883.08984375"
"5999","4938.3193359375","4938.3193359375","4938.3193359375","4452.61669921875","4452.61669921875","4452.61669921875","4806.77294921875","4806.77294921875","4806.77294921875","2868.00634765625","2868.00634765625","2868.00634765625","3304.868408203125","3304.868408203125","3304.868408203125","2949.076904296875","2949.076904296875","2949.076904296875"
"6599","4965.05859375","4965.05859375","4965.05859375","4431.40869140625","4431.40869140625","4431.40869140625","4768.14794921875","4768.14794921875","4768.14794921875","3066.674560546875","3066.674560546875","3066.674560546875","3401.639892578125","3401.639892578125","3401.639892578125","2993.351806640625","2993.351806640625","2993.351806640625"
"7199","4952.64697265625","4952.64697265625","4952.64697265625","4411.5556640625","4411.5556640625","4411.5556640625","4688.27880859375","4688.27880859375","4688.27880859375","3319.939208984375","3319.939208984375","3319.939208984375","3491.626708984375","3491.626708984375","3491.626708984375","3015.910400390625","3015.910400390625","3015.910400390625"
"7799","4983.15380859375","4983.15380859375","4983.15380859375","4431.48291015625","4431.48291015625","4431.48291015625","4652.16796875","4652.16796875","4652.16796875","3527.899658203125","3527.899658203125","3527.899658203125","3591.072265625","3591.072265625","3591.072265625","3045.90087890625","3045.90087890625","3045.90087890625"
"8399","4959.04345703125","4959.04345703125","4959.04345703125","4340.55859375","4340.55859375","4340.55859375","4604.33544921875","4604.33544921875","4604.33544921875","3665.395263671875","3665.395263671875","3665.395263671875","3654.43408203125","3654.43408203125","3654.43408203125","3062.566162109375","3062.566162109375","3062.566162109375"
"8999","4841.35595703125","4841.35595703125","4841.35595703125","4300.78369140625","4300.78369140625","4300.78369140625","4558.2392578125","4558.2392578125","4558.2392578125","3841.73876953125","3841.73876953125","3841.73876953125","3619.9609375","3619.9609375","3619.9609375","3076.330322265625","3076.330322265625","3076.330322265625"
"9599","4843.15087890625","4843.15087890625","4843.15087890625","4280.43310546875","4280.43310546875","4280.43310546875","4493.06396484375","4493.06396484375","4493.06396484375","3958.271484375","3958.271484375","3958.271484375","3719.268310546875","3719.268310546875","3719.268310546875","3076.245849609375","3076.245849609375","3076.245849609375"
"10199","4806.71630859375","4806.71630859375","4806.71630859375","4242.72900390625","4242.72900390625","4242.72900390625","4460.6865234375","4460.6865234375","4460.6865234375","4091.354736328125","4091.354736328125","4091.354736328125","3746.57666015625","3746.57666015625","3746.57666015625","3094.600830078125","3094.600830078125","3094.600830078125"
