"Step","layer_10_hook_resid_pre_gpt2_jumprelu_fisher_false_project_TinyStories - shrinkage.l2_ratio","layer_10_hook_resid_pre_gpt2_jumprelu_fisher_false_project_TinyStories - shrinkage.l2_ratio__MIN","layer_10_hook_resid_pre_gpt2_jumprelu_fisher_false_project_TinyStories - shrinkage.l2_ratio__MAX","layer_5_hook_resid_pre_gpt2_jumprelu_fisher_false_project_TinyStories - shrinkage.l2_ratio","layer_5_hook_resid_pre_gpt2_jumprelu_fisher_false_project_TinyStories - shrinkage.l2_ratio__MIN","layer_5_hook_resid_pre_gpt2_jumprelu_fisher_false_project_TinyStories - shrinkage.l2_ratio__MAX","layer_0_hook_resid_pre_gpt2_jumprelu_fisher_false_project_TinyStories - shrinkage.l2_ratio","layer_0_hook_resid_pre_gpt2_jumprelu_fisher_false_project_TinyStories - shrinkage.l2_ratio__MIN","layer_0_hook_resid_pre_gpt2_jumprelu_fisher_false_project_TinyStories - shrinkage.l2_ratio__MAX","layer_10_hook_resid_pre_gpt2_jumprelu_fisher_true_project_TinyStories - shrinkage.l2_ratio","layer_10_hook_resid_pre_gpt2_jumprelu_fisher_true_project_TinyStories - shrinkage.l2_ratio__MIN","layer_10_hook_resid_pre_gpt2_jumprelu_fisher_true_project_TinyStories - shrinkage.l2_ratio__MAX","layer_5_hook_resid_pre_gpt2_jumprelu_fisher_true_project_TinyStories - shrinkage.l2_ratio","layer_5_hook_resid_pre_gpt2_jumprelu_fisher_true_project_TinyStories - shrinkage.l2_ratio__MIN","layer_5_hook_resid_pre_gpt2_jumprelu_fisher_true_project_TinyStories - shrinkage.l2_ratio__MAX","layer_0_hook_resid_pre_gpt2_jumprelu_fisher_true_project_TinyStories - shrinkage.l2_ratio","layer_0_hook_resid_pre_gpt2_jumprelu_fisher_true_project_TinyStories - shrinkage.l2_ratio__MIN","layer_0_hook_resid_pre_gpt2_jumprelu_fisher_true_project_TinyStories - shrinkage.l2_ratio__MAX"
"599","5.485692977905273","5.485692977905273","5.485692977905273","2.632962942123413","2.632962942123413","2.632962942123413","0.15917228162288666","0.15917228162288666","0.15917228162288666","5.498508453369141","5.498508453369141","5.498508453369141","2.6451354026794434","2.6451354026794434","2.6451354026794434","0.15878157317638397","0.15878157317638397","0.15878157317638397"
"1199","5.6571044921875","5.6571044921875","5.6571044921875","2.7028133869171143","2.7028133869171143","2.7028133869171143","0.16181115806102753","0.16181115806102753","0.16181115806102753","5.686636924743652","5.686636924743652","5.686636924743652","2.7235565185546875","2.7235565185546875","2.7235565185546875","0.1619430035352707","0.1619430035352707","0.1619430035352707"
"1799","5.7146124839782715","5.7146124839782715","5.7146124839782715","2.7163896560668945","2.7163896560668945","2.7163896560668945","0.16299772262573242","0.16299772262573242","0.16299772262573242","5.751084327697754","5.751084327697754","5.751084327697754","2.7391059398651123","2.7391059398651123","2.7391059398651123","0.1634296327829361","0.1634296327829361","0.1634296327829361"
"2399","5.740042209625244","5.740042209625244","5.740042209625244","2.73252010345459","2.73252010345459","2.73252010345459","0.1635684072971344","0.1635684072971344","0.1635684072971344","5.770534992218018","5.770534992218018","5.770534992218018","2.745819330215454","2.745819330215454","2.745819330215454","0.16364794969558716","0.16364794969558716","0.16364794969558716"
"2999","5.749586582183838","5.749586582183838","5.749586582183838","2.7405147552490234","2.7405147552490234","2.7405147552490234","0.1638536900281906","0.1638536900281906","0.1638536900281906","5.821787357330322","5.821787357330322","5.821787357330322","2.7471060752868652","2.7471060752868652","2.7471060752868652","0.16390936076641083","0.16390936076641083","0.16390936076641083"
"3599","5.761697292327881","5.761697292327881","5.761697292327881","2.7407948970794678","2.7407948970794678","2.7407948970794678","0.1640082597732544","0.1640082597732544","0.1640082597732544","5.810606002807617","5.810606002807617","5.810606002807617","2.745459794998169","2.745459794998169","2.745459794998169","0.16386322677135468","0.16386322677135468","0.16386322677135468"
"4199","5.776374340057373","5.776374340057373","5.776374340057373","2.7484142780303955","2.7484142780303955","2.7484142780303955","0.16370008885860443","0.16370008885860443","0.16370008885860443","5.781070232391357","5.781070232391357","5.781070232391357","2.742502212524414","2.742502212524414","2.742502212524414","0.16394372284412384","0.16394372284412384","0.16394372284412384"
"4799","5.7768144607543945","5.7768144607543945","5.7768144607543945","2.7521042823791504","2.7521042823791504","2.7521042823791504","0.16364553570747375","0.16364553570747375","0.16364553570747375","5.809205055236816","5.809205055236816","5.809205055236816","2.761606454849243","2.761606454849243","2.761606454849243","0.1637815684080124","0.1637815684080124","0.1637815684080124"
"5399","5.788878917694092","5.788878917694092","5.788878917694092","2.7478842735290527","2.7478842735290527","2.7478842735290527","0.16385279595851898","0.16385279595851898","0.16385279595851898","5.795251369476318","5.795251369476318","5.795251369476318","2.744124174118042","2.744124174118042","2.744124174118042","0.1639486700296402","0.1639486700296402","0.1639486700296402"
"5999","5.789694309234619","5.789694309234619","5.789694309234619","2.7442994117736816","2.7442994117736816","2.7442994117736816","0.16379517316818237","0.16379517316818237","0.16379517316818237","5.798890113830566","5.798890113830566","5.798890113830566","2.7464425563812256","2.7464425563812256","2.7464425563812256","0.16402438282966614","0.16402438282966614","0.16402438282966614"
