"Step","layer_10_hook_resid_pre_gpt2_jumprelu_fisher_false_project_TinyStories - losses/mse_loss","layer_10_hook_resid_pre_gpt2_jumprelu_fisher_false_project_TinyStories - losses/mse_loss__MIN","layer_10_hook_resid_pre_gpt2_jumprelu_fisher_false_project_TinyStories - losses/mse_loss__MAX","layer_5_hook_resid_pre_gpt2_jumprelu_fisher_false_project_TinyStories - losses/mse_loss","layer_5_hook_resid_pre_gpt2_jumprelu_fisher_false_project_TinyStories - losses/mse_loss__MIN","layer_5_hook_resid_pre_gpt2_jumprelu_fisher_false_project_TinyStories - losses/mse_loss__MAX","layer_0_hook_resid_pre_gpt2_jumprelu_fisher_false_project_TinyStories - losses/mse_loss","layer_0_hook_resid_pre_gpt2_jumprelu_fisher_false_project_TinyStories - losses/mse_loss__MIN","layer_0_hook_resid_pre_gpt2_jumprelu_fisher_false_project_TinyStories - losses/mse_loss__MAX","layer_10_hook_resid_pre_gpt2_jumprelu_fisher_true_project_TinyStories - losses/mse_loss","layer_10_hook_resid_pre_gpt2_jumprelu_fisher_true_project_TinyStories - losses/mse_loss__MIN","layer_10_hook_resid_pre_gpt2_jumprelu_fisher_true_project_TinyStories - losses/mse_loss__MAX","layer_5_hook_resid_pre_gpt2_jumprelu_fisher_true_project_TinyStories - losses/mse_loss","layer_5_hook_resid_pre_gpt2_jumprelu_fisher_true_project_TinyStories - losses/mse_loss__MIN","layer_5_hook_resid_pre_gpt2_jumprelu_fisher_true_project_TinyStories - losses/mse_loss__MAX","layer_0_hook_resid_pre_gpt2_jumprelu_fisher_true_project_TinyStories - losses/mse_loss","layer_0_hook_resid_pre_gpt2_jumprelu_fisher_true_project_TinyStories - losses/mse_loss__MIN","layer_0_hook_resid_pre_gpt2_jumprelu_fisher_true_project_TinyStories - losses/mse_loss__MAX"
"29","8953.1923828125","8953.1923828125","8953.1923828125","2252.811767578125","2252.811767578125","2252.811767578125","5.489550590515137","5.489550590515137","5.489550590515137","8953.7939453125","8953.7939453125","8953.7939453125","2253.44189453125","2253.44189453125","2253.44189453125","11.617660522460938","11.617660522460938","11.617660522460938"
"59","5331.533203125","5331.533203125","5331.533203125","1161.2664794921875","1161.2664794921875","1161.2664794921875","3.1231517791748047","3.1231517791748047","3.1231517791748047","5326.88720703125","5326.88720703125","5326.88720703125","1159.4371337890625","1159.4371337890625","1159.4371337890625","7.96671724319458","7.96671724319458","7.96671724319458"
"89","4236.81982421875","4236.81982421875","4236.81982421875","842.8038940429688","842.8038940429688","842.8038940429688","2.300487995147705","2.300487995147705","2.300487995147705","4233.470703125","4233.470703125","4233.470703125","839.5654296875","839.5654296875","839.5654296875","4.177199840545654","4.177199840545654","4.177199840545654"
"119","3353.265625","3353.265625","3353.265625","709.8394165039062","709.8394165039062","709.8394165039062","2.175912380218506","2.175912380218506","2.175912380218506","3350.3583984375","3350.3583984375","3350.3583984375","706.6071166992188","706.6071166992188","706.6071166992188","3.046825408935547","3.046825408935547","3.046825408935547"
"149","41503.20703125","41503.20703125","41503.20703125","32473.78125","32473.78125","32473.78125","2.4768242835998535","2.4768242835998535","2.4768242835998535","41486.9609375","41486.9609375","41486.9609375","32445.59375","32445.59375","32445.59375","3.556180953979492","3.556180953979492","3.556180953979492"
"179","33041.07421875","33041.07421875","33041.07421875","25554.615234375","25554.615234375","25554.615234375","1.454114556312561","1.454114556312561","1.454114556312561","33023.55078125","33023.55078125","33023.55078125","25522.740234375","25522.740234375","25522.740234375","2.2148282527923584","2.2148282527923584","2.2148282527923584"
"209","2496.3037109375","2496.3037109375","2496.3037109375","478.80889892578125","478.80889892578125","478.80889892578125","1.3913607597351074","1.3913607597351074","1.3913607597351074","2494.1064453125","2494.1064453125","2494.1064453125","476.2130432128906","476.2130432128906","476.2130432128906","1.758471965789795","1.758471965789795","1.758471965789795"
"239","2190.248291015625","2190.248291015625","2190.248291015625","440.61944580078125","440.61944580078125","440.61944580078125","1.2311687469482422","1.2311687469482422","1.2311687469482422","2188.203857421875","2188.203857421875","2188.203857421875","438.29010009765625","438.29010009765625","438.29010009765625","1.5971323251724243","1.5971323251724243","1.5971323251724243"
"269","2052.335693359375","2052.335693359375","2052.335693359375","365.10467529296875","365.10467529296875","365.10467529296875","0.9182302355766296","0.9182302355766296","0.9182302355766296","2050.050048828125","2050.050048828125","2050.050048828125","362.9139709472656","362.9139709472656","362.9139709472656","1.174758791923523","1.174758791923523","1.174758791923523"
"299","1915.4990234375","1915.4990234375","1915.4990234375","378.9407653808594","378.9407653808594","378.9407653808594","1.1829571723937988","1.1829571723937988","1.1829571723937988","1913.493408203125","1913.493408203125","1913.493408203125","376.9493408203125","376.9493408203125","376.9493408203125","1.4913747310638428","1.4913747310638428","1.4913747310638428"
"329","813.3313598632812","813.3313598632812","813.3313598632812","159.72315979003906","159.72315979003906","159.72315979003906","17.265634536743164","17.265634536743164","17.265634536743164","812.3987426757812","812.3987426757812","812.3987426757812","158.95492553710938","158.95492553710938","158.95492553710938","25.51824188232422","25.51824188232422","25.51824188232422"
"359","868.9039916992188","868.9039916992188","868.9039916992188","179.6540069580078","179.6540069580078","179.6540069580078","13.602190971374512","13.602190971374512","13.602190971374512","868.91552734375","868.91552734375","868.91552734375","179.69956970214844","179.69956970214844","179.69956970214844","19.190372467041016","19.190372467041016","19.190372467041016"
"389","932.1382446289062","932.1382446289062","932.1382446289062","163.1094970703125","163.1094970703125","163.1094970703125","10.057296752929688","10.057296752929688","10.057296752929688","933.470458984375","933.470458984375","933.470458984375","162.201416015625","162.201416015625","162.201416015625","13.838205337524414","13.838205337524414","13.838205337524414"
"419","793.1553955078125","793.1553955078125","793.1553955078125","175.16151428222656","175.16151428222656","175.16151428222656","13.958253860473633","13.958253860473633","13.958253860473633","789.4219970703125","789.4219970703125","789.4219970703125","175.2392120361328","175.2392120361328","175.2392120361328","18.84625816345215","18.84625816345215","18.84625816345215"
"449","799.4768676757812","799.4768676757812","799.4768676757812","152.89491271972656","152.89491271972656","152.89491271972656","10.537703514099121","10.537703514099121","10.537703514099121","795.4417114257812","795.4417114257812","795.4417114257812","153.69534301757812","153.69534301757812","153.69534301757812","13.896811485290527","13.896811485290527","13.896811485290527"
"479","659.2604370117188","659.2604370117188","659.2604370117188","137.24082946777344","137.24082946777344","137.24082946777344","13.120393753051758","13.120393753051758","13.120393753051758","654.6024169921875","654.6024169921875","654.6024169921875","136.21414184570312","136.21414184570312","136.21414184570312","17.131629943847656","17.131629943847656","17.131629943847656"
"509","653.4086303710938","653.4086303710938","653.4086303710938","128.06614685058594","128.06614685058594","128.06614685058594","15.085017204284668","15.085017204284668","15.085017204284668","650.2561645507812","650.2561645507812","650.2561645507812","126.40667724609375","126.40667724609375","126.40667724609375","19.798147201538086","19.798147201538086","19.798147201538086"
"539","666.740234375","666.740234375","666.740234375","165.25421142578125","165.25421142578125","165.25421142578125","8.782918930053711","8.782918930053711","8.782918930053711","660.6900634765625","660.6900634765625","660.6900634765625","176.8201141357422","176.8201141357422","176.8201141357422","11.765653610229492","11.765653610229492","11.765653610229492"
"569","633.5543823242188","633.5543823242188","633.5543823242188","118.28301239013672","118.28301239013672","118.28301239013672","7.697085380554199","7.697085380554199","7.697085380554199","627.5599975585938","627.5599975585938","627.5599975585938","114.82622528076172","114.82622528076172","114.82622528076172","9.805123329162598","9.805123329162598","9.805123329162598"
"599","485.5358581542969","485.5358581542969","485.5358581542969","95.00413513183594","95.00413513183594","95.00413513183594","13.029847145080566","13.029847145080566","13.029847145080566","478.5055236816406","478.5055236816406","478.5055236816406","94.573974609375","94.573974609375","94.573974609375","16.72786521911621","16.72786521911621","16.72786521911621"
"629","517.5291137695312","517.5291137695312","517.5291137695312","111.63300323486328","111.63300323486328","111.63300323486328","8.174605369567871","8.174605369567871","8.174605369567871","506.6313171386719","506.6313171386719","506.6313171386719","110.5247802734375","110.5247802734375","110.5247802734375","10.529159545898438","10.529159545898438","10.529159545898438"
"659","451.2217102050781","451.2217102050781","451.2217102050781","96.28108978271484","96.28108978271484","96.28108978271484","12.844364166259766","12.844364166259766","12.844364166259766","443.5093994140625","443.5093994140625","443.5093994140625","96.33474731445312","96.33474731445312","96.33474731445312","16.22442054748535","16.22442054748535","16.22442054748535"
"689","397.2895202636719","397.2895202636719","397.2895202636719","107.7236099243164","107.7236099243164","107.7236099243164","9.43575668334961","9.43575668334961","9.43575668334961","385.84033203125","385.84033203125","385.84033203125","101.83763122558594","101.83763122558594","101.83763122558594","12.157973289489746","12.157973289489746","12.157973289489746"
"719","432.17132568359375","432.17132568359375","432.17132568359375","82.3653335571289","82.3653335571289","82.3653335571289","8.78128719329834","8.78128719329834","8.78128719329834","424.20550537109375","424.20550537109375","424.20550537109375","79.92747497558594","79.92747497558594","79.92747497558594","10.840533256530762","10.840533256530762","10.840533256530762"
"749","431.91632080078125","431.91632080078125","431.91632080078125","78.6048355102539","78.6048355102539","78.6048355102539","7.254133224487305","7.254133224487305","7.254133224487305","419.2658386230469","419.2658386230469","419.2658386230469","75.63983154296875","75.63983154296875","75.63983154296875","8.504008293151855","8.504008293151855","8.504008293151855"
