"Step","layer_10_hook_resid_pre_gpt2_standard_fisher_false_project_TinyStories - sparsity.l1","layer_10_hook_resid_pre_gpt2_standard_fisher_false_project_TinyStories - sparsity.l1__MIN","layer_10_hook_resid_pre_gpt2_standard_fisher_false_project_TinyStories - sparsity.l1__MAX","layer_5_hook_resid_pre_gpt2_standard_fisher_false_project_TinyStories - sparsity.l1","layer_5_hook_resid_pre_gpt2_standard_fisher_false_project_TinyStories - sparsity.l1__MIN","layer_5_hook_resid_pre_gpt2_standard_fisher_false_project_TinyStories - sparsity.l1__MAX","layer_0_hook_resid_pre_gpt2_standard_fisher_false_project_TinyStories - sparsity.l1","layer_0_hook_resid_pre_gpt2_standard_fisher_false_project_TinyStories - sparsity.l1__MIN","layer_0_hook_resid_pre_gpt2_standard_fisher_false_project_TinyStories - sparsity.l1__MAX","layer_10_hook_resid_pre_gpt2_standard_fisher_true_project_TinyStories - sparsity.l1","layer_10_hook_resid_pre_gpt2_standard_fisher_true_project_TinyStories - sparsity.l1__MIN","layer_10_hook_resid_pre_gpt2_standard_fisher_true_project_TinyStories - sparsity.l1__MAX","layer_5_hook_resid_pre_gpt2_standard_fisher_true_project_TinyStories - sparsity.l1","layer_5_hook_resid_pre_gpt2_standard_fisher_true_project_TinyStories - sparsity.l1__MIN","layer_5_hook_resid_pre_gpt2_standard_fisher_true_project_TinyStories - sparsity.l1__MAX","layer_0_hook_resid_pre_gpt2_standard_fisher_true_project_TinyStories - sparsity.l1","layer_0_hook_resid_pre_gpt2_standard_fisher_true_project_TinyStories - sparsity.l1__MIN","layer_0_hook_resid_pre_gpt2_standard_fisher_true_project_TinyStories - sparsity.l1__MAX"
"599","4871.79638671875","4871.79638671875","4871.79638671875","4689.6787109375","4689.6787109375","4689.6787109375","4835.89990234375","4835.89990234375","4835.89990234375","4325.85595703125","4325.85595703125","4325.85595703125","3714.6875","3714.6875","3714.6875","1513.724609375","1513.724609375","1513.724609375"
"1199","5227.54541015625","5227.54541015625","5227.54541015625","4992.8896484375","4992.8896484375","4992.8896484375","5099.32177734375","5099.32177734375","5099.32177734375","3803.050048828125","3803.050048828125","3803.050048828125","3216.739990234375","3216.739990234375","3216.739990234375","1724.6187744140625","1724.6187744140625","1724.6187744140625"
"1799","5204.55810546875","5204.55810546875","5204.55810546875","5040.8525390625","5040.8525390625","5040.8525390625","5220.349609375","5220.349609375","5220.349609375","3232.552978515625","3232.552978515625","3232.552978515625","2984.439208984375","2984.439208984375","2984.439208984375","1956.0982666015625","1956.0982666015625","1956.0982666015625"
"2399","5142.9970703125","5142.9970703125","5142.9970703125","5057.0869140625","5057.0869140625","5057.0869140625","5257.01904296875","5257.01904296875","5257.01904296875","2897.026611328125","2897.026611328125","2897.026611328125","2877.066650390625","2877.066650390625","2877.066650390625","2150.53466796875","2150.53466796875","2150.53466796875"
"2999","5013.66357421875","5013.66357421875","5013.66357421875","4880.10498046875","4880.10498046875","4880.10498046875","5236.68896484375","5236.68896484375","5236.68896484375","2736.315673828125","2736.315673828125","2736.315673828125","2838.726318359375","2838.726318359375","2838.726318359375","2341.154052734375","2341.154052734375","2341.154052734375"
"3599","4937.03466796875","4937.03466796875","4937.03466796875","4816.42236328125","4816.42236328125","4816.42236328125","5191.96142578125","5191.96142578125","5191.96142578125","2587.60302734375","2587.60302734375","2587.60302734375","2841.231201171875","2841.231201171875","2841.231201171875","2496.83642578125","2496.83642578125","2496.83642578125"
"4199","4991.91748046875","4991.91748046875","4991.91748046875","4794.244140625","4794.244140625","4794.244140625","5100.36181640625","5100.36181640625","5100.36181640625","2553.012451171875","2553.012451171875","2553.012451171875","2958.491943359375","2958.491943359375","2958.491943359375","2681.40673828125","2681.40673828125","2681.40673828125"
"4799","5033.40771484375","5033.40771484375","5033.40771484375","4760.05810546875","4760.05810546875","4760.05810546875","5035.115234375","5035.115234375","5035.115234375","2578.722900390625","2578.722900390625","2578.722900390625","3055.151123046875","3055.151123046875","3055.151123046875","2812.31982421875","2812.31982421875","2812.31982421875"
"5399","4974.63134765625","4974.63134765625","4974.63134765625","4587.4287109375","4587.4287109375","4587.4287109375","4946.64599609375","4946.64599609375","4946.64599609375","2679.206787109375","2679.206787109375","2679.206787109375","3149.3525390625","3149.3525390625","3149.3525390625","2918.338623046875","2918.338623046875","2918.338623046875"
"5999","4948.32568359375","4948.32568359375","4948.32568359375","4513.74462890625","4513.74462890625","4513.74462890625","4885.70947265625","4885.70947265625","4885.70947265625","2871.7626953125","2871.7626953125","2871.7626953125","3297.89697265625","3297.89697265625","3297.89697265625","2990.126953125","2990.126953125","2990.126953125"
"6599","4995.25390625","4995.25390625","4995.25390625","4463.56103515625","4463.56103515625","4463.56103515625","4862.080078125","4862.080078125","4862.080078125","3064.49072265625","3064.49072265625","3064.49072265625","3400.21533203125","3400.21533203125","3400.21533203125","3045.13134765625","3045.13134765625","3045.13134765625"
"7199","4915.66748046875","4915.66748046875","4915.66748046875","4460.69482421875","4460.69482421875","4460.69482421875","4780.96875","4780.96875","4780.96875","3324.04931640625","3324.04931640625","3324.04931640625","3481.61962890625","3481.61962890625","3481.61962890625","3073.349365234375","3073.349365234375","3073.349365234375"
"7799","4947.05859375","4947.05859375","4947.05859375","4444.5693359375","4444.5693359375","4444.5693359375","4713.984375","4713.984375","4713.984375","3532.645263671875","3532.645263671875","3532.645263671875","3582.313720703125","3582.313720703125","3582.313720703125","3104.752685546875","3104.752685546875","3104.752685546875"
"8399","4913.888671875","4913.888671875","4913.888671875","4362.9453125","4362.9453125","4362.9453125","4658.90087890625","4658.90087890625","4658.90087890625","3691.07275390625","3691.07275390625","3691.07275390625","3639.267333984375","3639.267333984375","3639.267333984375","3119.354248046875","3119.354248046875","3119.354248046875"
"8999","4810.63720703125","4810.63720703125","4810.63720703125","4230.6318359375","4230.6318359375","4230.6318359375","4625.98974609375","4625.98974609375","4625.98974609375","3835.11767578125","3835.11767578125","3835.11767578125","3633.455078125","3633.455078125","3633.455078125","3135.858154296875","3135.858154296875","3135.858154296875"
"9599","4853.12060546875","4853.12060546875","4853.12060546875","4270.55712890625","4270.55712890625","4270.55712890625","4562.30810546875","4562.30810546875","4562.30810546875","3983.632080078125","3983.632080078125","3983.632080078125","3735.643310546875","3735.643310546875","3735.643310546875","3128.921630859375","3128.921630859375","3128.921630859375"
"10199","4836.08935546875","4836.08935546875","4836.08935546875","4251.0712890625","4251.0712890625","4251.0712890625","4524.9697265625","4524.9697265625","4524.9697265625","4091.66650390625","4091.66650390625","4091.66650390625","3779.472412109375","3779.472412109375","3779.472412109375","3147.188232421875","3147.188232421875","3147.188232421875"
"10799","4845.47021484375","4845.47021484375","4845.47021484375","4212.92724609375","4212.92724609375","4212.92724609375","4474.1533203125","4474.1533203125","4474.1533203125","4159.37939453125","4159.37939453125","4159.37939453125","3775.250732421875","3775.250732421875","3775.250732421875","3152.227294921875","3152.227294921875","3152.227294921875"
"11399","4807.435546875","4807.435546875","4807.435546875","4163.89990234375","4163.89990234375","4163.89990234375","4444.42919921875","4444.42919921875","4444.42919921875","4198.6884765625","4198.6884765625","4198.6884765625","3819.900390625","3819.900390625","3819.900390625","3158.972412109375","3158.972412109375","3158.972412109375"
"11999","4771.62646484375","4771.62646484375","4771.62646484375","4125.0654296875","4125.0654296875","4125.0654296875","4412.3125","4412.3125","4412.3125","4255.0322265625","4255.0322265625","4255.0322265625","3739.587890625","3739.587890625","3739.587890625","3148.698974609375","3148.698974609375","3148.698974609375"
"12599","4665.6982421875","4665.6982421875","4665.6982421875","4072.221923828125","4072.221923828125","4072.221923828125","4355.4130859375","4355.4130859375","4355.4130859375","4255.00390625","4255.00390625","4255.00390625","3704.856689453125","3704.856689453125","3704.856689453125","3158.606689453125","3158.606689453125","3158.606689453125"
"13199","4728.52783203125","4728.52783203125","4728.52783203125","4096.51416015625","4096.51416015625","4096.51416015625","4302.57666015625","4302.57666015625","4302.57666015625","4336.15478515625","4336.15478515625","4336.15478515625","3715.888427734375","3715.888427734375","3715.888427734375","3151.796630859375","3151.796630859375","3151.796630859375"
"13799","4723.88134765625","4723.88134765625","4723.88134765625","4035.069580078125","4035.069580078125","4035.069580078125","4252.45068359375","4252.45068359375","4252.45068359375","4358.1171875","4358.1171875","4358.1171875","3708.771240234375","3708.771240234375","3708.771240234375","3140.514404296875","3140.514404296875","3140.514404296875"
"14399","4679.46826171875","4679.46826171875","4679.46826171875","4059.5625","4059.5625","4059.5625","4227.52294921875","4227.52294921875","4227.52294921875","4349.52685546875","4349.52685546875","4349.52685546875","3745.531005859375","3745.531005859375","3745.531005859375","3139.93017578125","3139.93017578125","3139.93017578125"
"14999","4624.03955078125","4624.03955078125","4624.03955078125","4055.505126953125","4055.505126953125","4055.505126953125","4211.52490234375","4211.52490234375","4211.52490234375","4314.60302734375","4314.60302734375","4314.60302734375","3739.426513671875","3739.426513671875","3739.426513671875","3135.898193359375","3135.898193359375","3135.898193359375"
"15599","4640.8330078125","4640.8330078125","4640.8330078125","3982.465576171875","3982.465576171875","3982.465576171875","4179.19140625","4179.19140625","4179.19140625","4308.49365234375","4308.49365234375","4308.49365234375","3703.49609375","3703.49609375","3703.49609375","3128.837646484375","3128.837646484375","3128.837646484375"
"16199","4650.12451171875","4650.12451171875","4650.12451171875","4059.84033203125","4059.84033203125","4059.84033203125","4149.44921875","4149.44921875","4149.44921875","4340.3681640625","4340.3681640625","4340.3681640625","3759.499267578125","3759.499267578125","3759.499267578125","3124.350830078125","3124.350830078125","3124.350830078125"
"16799","4639.06103515625","4639.06103515625","4639.06103515625","4024.33837890625","4024.33837890625","4024.33837890625","4145.6181640625","4145.6181640625","4145.6181640625","4324.79052734375","4324.79052734375","4324.79052734375","3740.129638671875","3740.129638671875","3740.129638671875","3115.952880859375","3115.952880859375","3115.952880859375"
"17399","4613.25390625","4613.25390625","4613.25390625","3986.639892578125","3986.639892578125","3986.639892578125","4084.650146484375","4084.650146484375","4084.650146484375","4302.4169921875","4302.4169921875","4302.4169921875","3707.927001953125","3707.927001953125","3707.927001953125","3101.930419921875","3101.930419921875","3101.930419921875"
"17999","4589.86328125","4589.86328125","4589.86328125","3994.856201171875","3994.856201171875","3994.856201171875","4046.07421875","4046.07421875","4046.07421875","4266.08056640625","4266.08056640625","4266.08056640625","3681.957763671875","3681.957763671875","3681.957763671875","3104.020263671875","3104.020263671875","3104.020263671875"
"18599","4576.89697265625","4576.89697265625","4576.89697265625","3983.69580078125","3983.69580078125","3983.69580078125","4036.47509765625","4036.47509765625","4036.47509765625","4304.6875","4304.6875","4304.6875","3708.085205078125","3708.085205078125","3708.085205078125","3103.798095703125","3103.798095703125","3103.798095703125"
"19199","4595.23095703125","4595.23095703125","4595.23095703125","3996.555419921875","3996.555419921875","3996.555419921875","3989.530029296875","3989.530029296875","3989.530029296875","4321.29736328125","4321.29736328125","4321.29736328125","3727.626953125","3727.626953125","3727.626953125","3095.45166015625","3095.45166015625","3095.45166015625"
"19799","4601.77880859375","4601.77880859375","4601.77880859375","3967.50634765625","3967.50634765625","3967.50634765625","3995.24853515625","3995.24853515625","3995.24853515625","4274.5048828125","4274.5048828125","4274.5048828125","3752.926513671875","3752.926513671875","3752.926513671875","3085.492431640625","3085.492431640625","3085.492431640625"
