"Step","layer_10_hook_resid_pre_gpt2_standard_fisher_false_project_TinyStories - shrinkage.l2_ratio","layer_10_hook_resid_pre_gpt2_standard_fisher_false_project_TinyStories - shrinkage.l2_ratio__MIN","layer_10_hook_resid_pre_gpt2_standard_fisher_false_project_TinyStories - shrinkage.l2_ratio__MAX","layer_5_hook_resid_pre_gpt2_standard_fisher_false_project_TinyStories - shrinkage.l2_ratio","layer_5_hook_resid_pre_gpt2_standard_fisher_false_project_TinyStories - shrinkage.l2_ratio__MIN","layer_5_hook_resid_pre_gpt2_standard_fisher_false_project_TinyStories - shrinkage.l2_ratio__MAX","layer_0_hook_resid_pre_gpt2_standard_fisher_false_project_TinyStories - shrinkage.l2_ratio","layer_0_hook_resid_pre_gpt2_standard_fisher_false_project_TinyStories - shrinkage.l2_ratio__MIN","layer_0_hook_resid_pre_gpt2_standard_fisher_false_project_TinyStories - shrinkage.l2_ratio__MAX","layer_10_hook_resid_pre_gpt2_standard_fisher_true_project_TinyStories - shrinkage.l2_ratio","layer_10_hook_resid_pre_gpt2_standard_fisher_true_project_TinyStories - shrinkage.l2_ratio__MIN","layer_10_hook_resid_pre_gpt2_standard_fisher_true_project_TinyStories - shrinkage.l2_ratio__MAX","layer_5_hook_resid_pre_gpt2_standard_fisher_true_project_TinyStories - shrinkage.l2_ratio","layer_5_hook_resid_pre_gpt2_standard_fisher_true_project_TinyStories - shrinkage.l2_ratio__MIN","layer_5_hook_resid_pre_gpt2_standard_fisher_true_project_TinyStories - shrinkage.l2_ratio__MAX","layer_0_hook_resid_pre_gpt2_standard_fisher_true_project_TinyStories - shrinkage.l2_ratio","layer_0_hook_resid_pre_gpt2_standard_fisher_true_project_TinyStories - shrinkage.l2_ratio__MIN","layer_0_hook_resid_pre_gpt2_standard_fisher_true_project_TinyStories - shrinkage.l2_ratio__MAX"
"599","5.485763072967529","5.485763072967529","5.485763072967529","2.633009910583496","2.633009910583496","2.633009910583496","0.15839622914791107","0.15839622914791107","0.15839622914791107","5.498546123504639","5.498546123504639","5.498546123504639","2.645167112350464","2.645167112350464","2.645167112350464","0.157963365316391","0.157963365316391","0.157963365316391"
"1199","5.657128810882568","5.657128810882568","5.657128810882568","2.7028605937957764","2.7028605937957764","2.7028605937957764","0.16138310730457306","0.16138310730457306","0.16138310730457306","5.686593055725098","5.686593055725098","5.686593055725098","2.7235195636749268","2.7235195636749268","2.7235195636749268","0.16158568859100342","0.16158568859100342","0.16158568859100342"
"1799","5.714608669281006","5.714608669281006","5.714608669281006","2.7163803577423096","2.7163803577423096","2.7163803577423096","0.16281558573246002","0.16281558573246002","0.16281558573246002","5.750968933105469","5.750968933105469","5.750968933105469","2.7390658855438232","2.7390658855438232","2.7390658855438232","0.16322794556617737","0.16322794556617737","0.16322794556617737"
"2399","5.740049839019775","5.740049839019775","5.740049839019775","2.7327027320861816","2.7327027320861816","2.7327027320861816","0.16347871720790863","0.16347871720790863","0.16347871720790863","5.770378112792969","5.770378112792969","5.770378112792969","2.745770215988159","2.745770215988159","2.745770215988159","0.16359315812587738","0.16359315812587738","0.16359315812587738"
"2999","5.749618053436279","5.749618053436279","5.749618053436279","2.7403438091278076","2.7403438091278076","2.7403438091278076","0.16377492249011993","0.16377492249011993","0.16377492249011993","5.8215155601501465","5.8215155601501465","5.8215155601501465","2.747077465057373","2.747077465057373","2.747077465057373","0.16388742625713348","0.16388742625713348","0.16388742625713348"
"3599","5.761596202850342","5.761596202850342","5.761596202850342","2.739304304122925","2.739304304122925","2.739304304122925","0.16394349932670593","0.16394349932670593","0.16394349932670593","5.810695648193359","5.810695648193359","5.810695648193359","2.7456436157226562","2.7456436157226562","2.7456436157226562","0.16389572620391846","0.16389572620391846","0.16389572620391846"
"4199","5.776810646057129","5.776810646057129","5.776810646057129","2.7444639205932617","2.7444639205932617","2.7444639205932617","0.1636720895767212","0.1636720895767212","0.1636720895767212","5.780755043029785","5.780755043029785","5.780755043029785","2.74290132522583","2.74290132522583","2.74290132522583","0.16391263902187347","0.16391263902187347","0.16391263902187347"
"4799","5.776894569396973","5.776894569396973","5.776894569396973","2.755228281021118","2.755228281021118","2.755228281021118","0.16364426910877228","0.16364426910877228","0.16364426910877228","5.809163570404053","5.809163570404053","5.809163570404053","2.7596912384033203","2.7596912384033203","2.7596912384033203","0.1638025939464569","0.1638025939464569","0.1638025939464569"
"5399","5.780790328979492","5.780790328979492","5.780790328979492","2.7450978755950928","2.7450978755950928","2.7450978755950928","0.16383428871631622","0.16383428871631622","0.16383428871631622","5.795658588409424","5.795658588409424","5.795658588409424","2.7434349060058594","2.7434349060058594","2.7434349060058594","0.16394464671611786","0.16394464671611786","0.16394464671611786"
"5999","5.7954421043396","5.7954421043396","5.7954421043396","2.751523733139038","2.751523733139038","2.751523733139038","0.16389641165733337","0.16389641165733337","0.16389641165733337","5.798873424530029","5.798873424530029","5.798873424530029","2.749572515487671","2.749572515487671","2.749572515487671","0.163993701338768","0.163993701338768","0.163993701338768"
"6599","5.777320384979248","5.777320384979248","5.777320384979248","2.744974374771118","2.744974374771118","2.744974374771118","0.1639682501554489","0.1639682501554489","0.1639682501554489","5.78610372543335","5.78610372543335","5.78610372543335","2.743572950363159","2.743572950363159","2.743572950363159","0.16396819055080414","0.16396819055080414","0.16396819055080414"
"7199","5.7778143882751465","5.7778143882751465","5.7778143882751465","2.746159315109253","2.746159315109253","2.746159315109253","0.16423749923706055","0.16423749923706055","0.16423749923706055","5.790078639984131","5.790078639984131","5.790078639984131","2.7491939067840576","2.7491939067840576","2.7491939067840576","0.16398970782756805","0.16398970782756805","0.16398970782756805"
"7799","5.780293941497803","5.780293941497803","5.780293941497803","2.747636556625366","2.747636556625366","2.747636556625366","0.16396144032478333","0.16396144032478333","0.16396144032478333","5.783875465393066","5.783875465393066","5.783875465393066","2.7454729080200195","2.7454729080200195","2.7454729080200195","0.16390927135944366","0.16390927135944366","0.16390927135944366"
"8399","5.770232677459717","5.770232677459717","5.770232677459717","2.744743824005127","2.744743824005127","2.744743824005127","0.16386678814888","0.16386678814888","0.16386678814888","5.767280578613281","5.767280578613281","5.767280578613281","2.7469263076782227","2.7469263076782227","2.7469263076782227","0.16395018994808197","0.16395018994808197","0.16395018994808197"
"8999","5.7769598960876465","5.7769598960876465","5.7769598960876465","2.7465157508850098","2.7465157508850098","2.7465157508850098","0.1639745533466339","0.1639745533466339","0.1639745533466339","5.775737285614014","5.775737285614014","5.775737285614014","2.742432117462158","2.742432117462158","2.742432117462158","0.1639225333929062","0.1639225333929062","0.1639225333929062"
