"Step","layer_5_residual_mid_gpt2_standard_fisher_false_project_TinyStories - sparsity.l0","layer_5_residual_mid_gpt2_standard_fisher_false_project_TinyStories - sparsity.l0__MIN","layer_5_residual_mid_gpt2_standard_fisher_false_project_TinyStories - sparsity.l0__MAX","layer_5_residual_mid_gpt2_topk_fisher_false_project_TinyStories - sparsity.l0","layer_5_residual_mid_gpt2_topk_fisher_false_project_TinyStories - sparsity.l0__MIN","layer_5_residual_mid_gpt2_topk_fisher_false_project_TinyStories - sparsity.l0__MAX","layer_5_residual_mid_gpt2_jumprelu_fisher_false_project_TinyStories - sparsity.l0","layer_5_residual_mid_gpt2_jumprelu_fisher_false_project_TinyStories - sparsity.l0__MIN","layer_5_residual_mid_gpt2_jumprelu_fisher_false_project_TinyStories - sparsity.l0__MAX","layer_5_residual_mid_gpt2_gated_fisher_false_project_TinyStories - sparsity.l0","layer_5_residual_mid_gpt2_gated_fisher_false_project_TinyStories - sparsity.l0__MIN","layer_5_residual_mid_gpt2_gated_fisher_false_project_TinyStories - sparsity.l0__MAX","layer_5_residual_mid_gpt2_standard_fisher_true_project_TinyStories - sparsity.l0","layer_5_residual_mid_gpt2_standard_fisher_true_project_TinyStories - sparsity.l0__MIN","layer_5_residual_mid_gpt2_standard_fisher_true_project_TinyStories - sparsity.l0__MAX","layer_5_residual_mid_gpt2_topk_fisher_true_project_TinyStories - sparsity.l0","layer_5_residual_mid_gpt2_topk_fisher_true_project_TinyStories - sparsity.l0__MIN","layer_5_residual_mid_gpt2_topk_fisher_true_project_TinyStories - sparsity.l0__MAX","layer_5_residual_mid_gpt2_jumprelu_fisher_true_project_TinyStories - sparsity.l0","layer_5_residual_mid_gpt2_jumprelu_fisher_true_project_TinyStories - sparsity.l0__MIN","layer_5_residual_mid_gpt2_jumprelu_fisher_true_project_TinyStories - sparsity.l0__MAX","layer_5_residual_mid_gpt2_gated_fisher_true_project_TinyStories - sparsity.l0","layer_5_residual_mid_gpt2_gated_fisher_true_project_TinyStories - sparsity.l0__MIN","layer_5_residual_mid_gpt2_gated_fisher_true_project_TinyStories - sparsity.l0__MAX"
"599","12058.267578125","12058.267578125","12058.267578125","100","100","100","12055.9404296875","12055.9404296875","12055.9404296875","2752.33203125","2752.33203125","2752.33203125","11550.4921875","11550.4921875","11550.4921875","100","100","100","11544.220703125","11544.220703125","11544.220703125","2743.31884765625","2743.31884765625","2743.31884765625"
"1199","12094.173828125","12094.173828125","12094.173828125","100","100","100","12092.3818359375","12092.3818359375","12092.3818359375","1681.135986328125","1681.135986328125","1681.135986328125","10780.16796875","10780.16796875","10780.16796875","100","100","100","10769.6044921875","10769.6044921875","10769.6044921875","1670.537109375","1670.537109375","1670.537109375"
"1799","12093.8896484375","12093.8896484375","12093.8896484375","100","100","100","12092.2080078125","12092.2080078125","12092.2080078125","1187.0504150390625","1187.0504150390625","1187.0504150390625","10279.1376953125","10279.1376953125","10279.1376953125","100","100","100","10265.837890625","10265.837890625","10265.837890625","1175.03955078125","1175.03955078125","1175.03955078125"
"2399","12103.583984375","12103.583984375","12103.583984375","100","100","100","12102.0595703125","12102.0595703125","12102.0595703125","908.0253295898438","908.0253295898438","908.0253295898438","10092.455078125","10092.455078125","10092.455078125","100","100","100","10077.359375","10077.359375","10077.359375","896.6954345703125","896.6954345703125","896.6954345703125"
"2999","12062.4599609375","12062.4599609375","12062.4599609375","100","100","100","12060.25","12060.25","12060.25","729.1212768554688","729.1212768554688","729.1212768554688","10031.3603515625","10031.3603515625","10031.3603515625","100","100","100","10014.1240234375","10014.1240234375","10014.1240234375","718.9389038085938","718.9389038085938","718.9389038085938"
"3599","12048.298828125","12048.298828125","12048.298828125","100","100","100","12049.056640625","12049.056640625","12049.056640625","605.7813110351562","605.7813110351562","605.7813110351562","10110.6865234375","10110.6865234375","10110.6865234375","100","100","100","10091.6123046875","10091.6123046875","10091.6123046875","595.8521118164062","595.8521118164062","595.8521118164062"
"4199","12047.478515625","12047.478515625","12047.478515625","100","100","100","12033.755859375","12033.755859375","12033.755859375","514.3281860351562","514.3281860351562","514.3281860351562","10363.8125","10363.8125","10363.8125","100","100","100","10342.39453125","10342.39453125","10342.39453125","505.43603515625","505.43603515625","505.43603515625"
"4799","12039.4208984375","12039.4208984375","12039.4208984375","100","100","100","12030.619140625","12030.619140625","12030.619140625","447.7471618652344","447.7471618652344","447.7471618652344","10570.1162109375","10570.1162109375","10570.1162109375","100","100","100","10546.5400390625","10546.5400390625","10546.5400390625","439.2394714355469","439.2394714355469","439.2394714355469"
"5399","11978.8857421875","11978.8857421875","11978.8857421875","100","100","100","11992.30859375","11992.30859375","11992.30859375","395.1480407714844","395.1480407714844","395.1480407714844","10779.9833984375","10779.9833984375","10779.9833984375","100","100","100","10756.3232421875","10756.3232421875","10756.3232421875","387.2613830566406","387.2613830566406","387.2613830566406"
"5999","11960.4296875","11960.4296875","11960.4296875","100","100","100","11969.3388671875","11969.3388671875","11969.3388671875","357.4168701171875","357.4168701171875","357.4168701171875","10989.6748046875","10989.6748046875","10989.6748046875","100","100","100","10975.0478515625","10975.0478515625","10975.0478515625","349.7442932128906","349.7442932128906","349.7442932128906"
"6599","11935.794921875","11935.794921875","11935.794921875","100","100","100","11919.150390625","11919.150390625","11919.150390625","325.97540283203125","325.97540283203125","325.97540283203125","11115.158203125","11115.158203125","11115.158203125","100","100","100","11100.4384765625","11100.4384765625","11100.4384765625","318.83892822265625","318.83892822265625","318.83892822265625"
"7199","11957.8427734375","11957.8427734375","11957.8427734375","100","100","100","11946.158203125","11946.158203125","11946.158203125","299.61151123046875","299.61151123046875","299.61151123046875","11259.8935546875","11259.8935546875","11259.8935546875","100","100","100","11241.0830078125","11241.0830078125","11241.0830078125","292.76434326171875","292.76434326171875","292.76434326171875"
"7799","11983.0625","11983.0625","11983.0625","100","100","100","11959.2724609375","11959.2724609375","11959.2724609375","278.150390625","278.150390625","278.150390625","11380.4140625","11380.4140625","11380.4140625","100","100","100","11373.7138671875","11373.7138671875","11373.7138671875","271.2690124511719","271.2690124511719","271.2690124511719"
"8399","11944.5126953125","11944.5126953125","11944.5126953125","100","100","100","11942.2763671875","11942.2763671875","11942.2763671875","259.7991638183594","259.7991638183594","259.7991638183594","11434.6611328125","11434.6611328125","11434.6611328125","100","100","100","11421.8701171875","11421.8701171875","11421.8701171875","253.25439453125","253.25439453125","253.25439453125"
"8999","11939.6533203125","11939.6533203125","11939.6533203125","100","100","100","11899.1123046875","11899.1123046875","11899.1123046875","245.3194580078125","245.3194580078125","245.3194580078125","11440.6943359375","11440.6943359375","11440.6943359375","100","100","100","11430.3896484375","11430.3896484375","11430.3896484375","239.11497497558594","239.11497497558594","239.11497497558594"
"9599","11963.5888671875","11963.5888671875","11963.5888671875","100","100","100","11943.7802734375","11943.7802734375","11943.7802734375","230.1396942138672","230.1396942138672","230.1396942138672","11523.7421875","11523.7421875","11523.7421875","100","100","100","11503.130859375","11503.130859375","11503.130859375","224.0476531982422","224.0476531982422","224.0476531982422"
"10199","11953.0498046875","11953.0498046875","11953.0498046875","100","100","100","11960.4169921875","11960.4169921875","11960.4169921875","217.28721618652344","217.28721618652344","217.28721618652344","11543.8076171875","11543.8076171875","11543.8076171875","100","100","100","11516.0361328125","11516.0361328125","11516.0361328125","211.4769287109375","211.4769287109375","211.4769287109375"
"10799","11938.4296875","11938.4296875","11938.4296875","100","100","100","11940.4287109375","11940.4287109375","11940.4287109375","206.66824340820312","206.66824340820312","206.66824340820312","11549.8671875","11549.8671875","11549.8671875","100","100","100","11532.3818359375","11532.3818359375","11532.3818359375","201.5431671142578","201.5431671142578","201.5431671142578"
"11399","11928.5146484375","11928.5146484375","11928.5146484375","100","100","100","11948.2763671875","11948.2763671875","11948.2763671875","197.44302368164062","197.44302368164062","197.44302368164062","11570.337890625","11570.337890625","11570.337890625","100","100","100","11573.126953125","11573.126953125","11573.126953125","192.26321411132812","192.26321411132812","192.26321411132812"
"11999","11910.732421875","11910.732421875","11910.732421875","100","100","100","11943.7626953125","11943.7626953125","11943.7626953125","188.6600799560547","188.6600799560547","188.6600799560547","11565.2236328125","11565.2236328125","11565.2236328125","100","100","100","11566.3271484375","11566.3271484375","11566.3271484375","183.80259704589844","183.80259704589844","183.80259704589844"
"12599","11903.8369140625","11903.8369140625","11903.8369140625","100","100","100","11913.0419921875","11913.0419921875","11913.0419921875","179.04580688476562","179.04580688476562","179.04580688476562","11516.5517578125","11516.5517578125","11516.5517578125","100","100","100","11533.19140625","11533.19140625","11533.19140625","174.5172119140625","174.5172119140625","174.5172119140625"
"13199","11934.861328125","11934.861328125","11934.861328125","100","100","100","11919.359375","11919.359375","11919.359375","172.24551391601562","172.24551391601562","172.24551391601562","11556.3125","11556.3125","11556.3125","100","100","100","11537.7724609375","11537.7724609375","11537.7724609375","168.0714569091797","168.0714569091797","168.0714569091797"
"13799","11921.3115234375","11921.3115234375","11921.3115234375","100","100","100","11903.4375","11903.4375","11903.4375","163.3718719482422","163.3718719482422","163.3718719482422","11558.2060546875","11558.2060546875","11558.2060546875","100","100","100","11538.9580078125","11538.9580078125","11538.9580078125","159.36204528808594","159.36204528808594","159.36204528808594"
"14399","11935.7841796875","11935.7841796875","11935.7841796875","100","100","100","11922.421875","11922.421875","11922.421875","156.96975708007812","156.96975708007812","156.96975708007812","11581.2646484375","11581.2646484375","11581.2646484375","100","100","100","11560.2607421875","11560.2607421875","11560.2607421875","153.0891876220703","153.0891876220703","153.0891876220703"
"14999","11913.3662109375","11913.3662109375","11913.3662109375","100","100","100","11923.744140625","11923.744140625","11923.744140625","152.8381805419922","152.8381805419922","152.8381805419922","11574.158203125","11574.158203125","11574.158203125","100","100","100","11555.7373046875","11555.7373046875","11555.7373046875","148.92874145507812","148.92874145507812","148.92874145507812"
"15599","11897.5830078125","11897.5830078125","11897.5830078125","100","100","100","11910.8828125","11910.8828125","11910.8828125","147.04470825195312","147.04470825195312","147.04470825195312","11565.6376953125","11565.6376953125","11565.6376953125","100","100","100","11543.9677734375","11543.9677734375","11543.9677734375","143.34153747558594","143.34153747558594","143.34153747558594"
