"Step","layer0_mlp_gpt2_jumprelu - losses/l0_loss","layer0_mlp_gpt2_jumprelu - losses/l0_loss__MIN","layer0_mlp_gpt2_jumprelu - losses/l0_loss__MAX","layer0_mlp_gpt2_singular_fisher - losses/l0_loss","layer0_mlp_gpt2_singular_fisher - losses/l0_loss__MIN","layer0_mlp_gpt2_singular_fisher - losses/l0_loss__MAX","layer10_mlp_gpt2_jumprelu - losses/l0_loss","layer10_mlp_gpt2_jumprelu - losses/l0_loss__MIN","layer10_mlp_gpt2_jumprelu - losses/l0_loss__MAX","layer10_mlp_gpt2_singular_fisher - losses/l0_loss","layer10_mlp_gpt2_singular_fisher - losses/l0_loss__MIN","layer10_mlp_gpt2_singular_fisher - losses/l0_loss__MAX","layer5_mlp_gpt2_jumprelu - losses/l0_loss","layer5_mlp_gpt2_jumprelu - losses/l0_loss__MIN","layer5_mlp_gpt2_jumprelu - losses/l0_loss__MAX","layer5_mlp_gpt2_singular_fisher - losses/l0_loss","layer5_mlp_gpt2_singular_fisher - losses/l0_loss__MIN","layer5_mlp_gpt2_singular_fisher - losses/l0_loss__MAX"
"29","47497.1484375","47497.1484375","47497.1484375","41859.5","41859.5","41859.5","49540.55078125","49540.55078125","49540.55078125","39963.5","39963.5","39963.5","45717.59765625","45717.59765625","45717.59765625","41292.19921875","41292.19921875","41292.19921875"
"59","55902","55902","55902","43107.75","43107.75","43107.75","55292.25","55292.25","55292.25","41942.30078125","41942.30078125","41942.30078125","53737.25","53737.25","53737.25","42719.1484375","42719.1484375","42719.1484375"
"89","56717.75","56717.75","56717.75","41369.5","41369.5","41369.5","57277.3984375","57277.3984375","57277.3984375","41412.5","41412.5","41412.5","54219.25","54219.25","54219.25","42108.34765625","42108.34765625","42108.34765625"
"119","57094.6484375","57094.6484375","57094.6484375","40277.30078125","40277.30078125","40277.30078125","58217.44921875","58217.44921875","58217.44921875","40133.75","40133.75","40133.75","54019.25","54019.25","54019.25","41737.5","41737.5","41737.5"
"149","58158.8984375","58158.8984375","58158.8984375","39713","39713","39713","59321.046875","59321.046875","59321.046875","40900.19921875","40900.19921875","40900.19921875","56799.25","56799.25","56799.25","41110.84765625","41110.84765625","41110.84765625"
"179","58130.546875","58130.546875","58130.546875","39008","39008","39008","59246.84765625","59246.84765625","59246.84765625","40051.1484375","40051.1484375","40051.1484375","55845.046875","55845.046875","55845.046875","40459.6484375","40459.6484375","40459.6484375"
"209","58070.34765625","58070.34765625","58070.34765625","38644.3984375","38644.3984375","38644.3984375","59314.1484375","59314.1484375","59314.1484375","39039.6484375","39039.6484375","39039.6484375","56767","56767","56767","39158.1484375","39158.1484375","39158.1484375"
"239","58210.19921875","58210.19921875","58210.19921875","38087.55078125","38087.55078125","38087.55078125","59076.3984375","59076.3984375","59076.3984375","38112.55078125","38112.55078125","38112.55078125","56385.8984375","56385.8984375","56385.8984375","39520.09765625","39520.09765625","39520.09765625"
"269","58763.796875","58763.796875","58763.796875","38238.80078125","38238.80078125","38238.80078125","59718.1484375","59718.1484375","59718.1484375","37689.55078125","37689.55078125","37689.55078125","57603.59765625","57603.59765625","57603.59765625","39102.84765625","39102.84765625","39102.84765625"
"299","58905.546875","58905.546875","58905.546875","37770.69921875","37770.69921875","37770.69921875","59395.84765625","59395.84765625","59395.84765625","37752.25","37752.25","37752.25","56754","56754","56754","39529.94921875","39529.94921875","39529.94921875"
"329","59234.8984375","59234.8984375","59234.8984375","37474.69921875","37474.69921875","37474.69921875","59315.6484375","59315.6484375","59315.6484375","37341.30078125","37341.30078125","37341.30078125","58178","58178","58178","38960.25","38960.25","38960.25"
"359","59263.44921875","59263.44921875","59263.44921875","37738.3984375","37738.3984375","37738.3984375","60093.296875","60093.296875","60093.296875","38297.19921875","38297.19921875","38297.19921875","58332.19921875","58332.19921875","58332.19921875","38902.80078125","38902.80078125","38902.80078125"
"389","58664.8984375","58664.8984375","58664.8984375","36984.3984375","36984.3984375","36984.3984375","60218.3984375","60218.3984375","60218.3984375","37918.3984375","37918.3984375","37918.3984375","57431.796875","57431.796875","57431.796875","38525.5","38525.5","38525.5"
"419","58915.94921875","58915.94921875","58915.94921875","36320.80078125","36320.80078125","36320.80078125","60207.75","60207.75","60207.75","38493.84765625","38493.84765625","38493.84765625","58500.546875","58500.546875","58500.546875","38175.69921875","38175.69921875","38175.69921875"
"449","59394.8984375","59394.8984375","59394.8984375","36943.5","36943.5","36943.5","60806","60806","60806","38985.19921875","38985.19921875","38985.19921875","58706.796875","58706.796875","58706.796875","38252.84765625","38252.84765625","38252.84765625"
"479","59711.296875","59711.296875","59711.296875","36355.59765625","36355.59765625","36355.59765625","60341.69921875","60341.69921875","60341.69921875","37223.94921875","37223.94921875","37223.94921875","58354.6484375","58354.6484375","58354.6484375","38037.75","38037.75","38037.75"
