"Step","layer0_mlp_gpt2_jumprelu - sparsity.l1","layer0_mlp_gpt2_jumprelu - sparsity.l1__MIN","layer0_mlp_gpt2_jumprelu - sparsity.l1__MAX","layer0_mlp_gpt2_singular_fisher - sparsity.l1","layer0_mlp_gpt2_singular_fisher - sparsity.l1__MIN","layer0_mlp_gpt2_singular_fisher - sparsity.l1__MAX","layer10_mlp_gpt2_jumprelu - sparsity.l1","layer10_mlp_gpt2_jumprelu - sparsity.l1__MIN","layer10_mlp_gpt2_jumprelu - sparsity.l1__MAX","layer10_mlp_gpt2_singular_fisher - sparsity.l1","layer10_mlp_gpt2_singular_fisher - sparsity.l1__MIN","layer10_mlp_gpt2_singular_fisher - sparsity.l1__MAX","layer5_mlp_gpt2_jumprelu - sparsity.l1","layer5_mlp_gpt2_jumprelu - sparsity.l1__MIN","layer5_mlp_gpt2_jumprelu - sparsity.l1__MAX","layer5_mlp_gpt2_singular_fisher - sparsity.l1","layer5_mlp_gpt2_singular_fisher - sparsity.l1__MIN","layer5_mlp_gpt2_singular_fisher - sparsity.l1__MAX"
"599","4458.6455078125","4458.6455078125","4458.6455078125","1099.0849609375","1099.0849609375","1099.0849609375","4880.83349609375","4880.83349609375","4880.83349609375","752.8134155273438","752.8134155273438","752.8134155273438","4896.70458984375","4896.70458984375","4896.70458984375","1478.596923828125","1478.596923828125","1478.596923828125"
"1199","4771.85546875","4771.85546875","4771.85546875","971.0238647460938","971.0238647460938","971.0238647460938","5231.71484375","5231.71484375","5231.71484375","684.9161987304688","684.9161987304688","684.9161987304688","5652.611328125","5652.611328125","5652.611328125","1382.1805419921875","1382.1805419921875","1382.1805419921875"
"1799","4890.328125","4890.328125","4890.328125","874.4046020507812","874.4046020507812","874.4046020507812","5281.22265625","5281.22265625","5281.22265625","673.2656860351562","673.2656860351562","673.2656860351562","6121.49560546875","6121.49560546875","6121.49560546875","1236.371337890625","1236.371337890625","1236.371337890625"
"2399","4952.21337890625","4952.21337890625","4952.21337890625","845.8189697265625","845.8189697265625","845.8189697265625","5212.7001953125","5212.7001953125","5212.7001953125","663.093505859375","663.093505859375","663.093505859375","6375.97998046875","6375.97998046875","6375.97998046875","1174.5933837890625","1174.5933837890625","1174.5933837890625"
"2999","4979.0859375","4979.0859375","4979.0859375","818.9849853515625","818.9849853515625","818.9849853515625","5284.58544921875","5284.58544921875","5284.58544921875","645.3113403320312","645.3113403320312","645.3113403320312","6631.15380859375","6631.15380859375","6631.15380859375","1120.5455322265625","1120.5455322265625","1120.5455322265625"
"3599","5030.79150390625","5030.79150390625","5030.79150390625","789.5093383789062","789.5093383789062","789.5093383789062","5364.10498046875","5364.10498046875","5364.10498046875","620.9237670898438","620.9237670898438","620.9237670898438","6918.83740234375","6918.83740234375","6918.83740234375","1069.074951171875","1069.074951171875","1069.074951171875"
"4199","4986.9794921875","4986.9794921875","4986.9794921875","756.4265747070312","756.4265747070312","756.4265747070312","5354.13818359375","5354.13818359375","5354.13818359375","603.9581298828125","603.9581298828125","603.9581298828125","6890.20458984375","6890.20458984375","6890.20458984375","1029.8822021484375","1029.8822021484375","1029.8822021484375"
"4799","5038.86767578125","5038.86767578125","5038.86767578125","730.5030517578125","730.5030517578125","730.5030517578125","5332.353515625","5332.353515625","5332.353515625","604.292724609375","604.292724609375","604.292724609375","7039.4658203125","7039.4658203125","7039.4658203125","990.2945556640625","990.2945556640625","990.2945556640625"
"5399","4981.06982421875","4981.06982421875","4981.06982421875","702.7885131835938","702.7885131835938","702.7885131835938","5271.32666015625","5271.32666015625","5271.32666015625","586.2692260742188","586.2692260742188","586.2692260742188","7029.29150390625","7029.29150390625","7029.29150390625","953.8588256835938","953.8588256835938","953.8588256835938"
"5999","4967.78076171875","4967.78076171875","4967.78076171875","690.7216186523438","690.7216186523438","690.7216186523438","5213.51708984375","5213.51708984375","5213.51708984375","579.6773681640625","579.6773681640625","579.6773681640625","7005.8408203125","7005.8408203125","7005.8408203125","938.4540405273438","938.4540405273438","938.4540405273438"
