"Step","layer0_mlp_gpt2_jumprelu - shrinkage.l2_ratio","layer0_mlp_gpt2_jumprelu - shrinkage.l2_ratio__MIN","layer0_mlp_gpt2_jumprelu - shrinkage.l2_ratio__MAX","layer0_mlp_gpt2_singular_fisher - shrinkage.l2_ratio","layer0_mlp_gpt2_singular_fisher - shrinkage.l2_ratio__MIN","layer0_mlp_gpt2_singular_fisher - shrinkage.l2_ratio__MAX","layer10_mlp_gpt2_jumprelu - shrinkage.l2_ratio","layer10_mlp_gpt2_jumprelu - shrinkage.l2_ratio__MIN","layer10_mlp_gpt2_jumprelu - shrinkage.l2_ratio__MAX","layer10_mlp_gpt2_singular_fisher - shrinkage.l2_ratio","layer10_mlp_gpt2_singular_fisher - shrinkage.l2_ratio__MIN","layer10_mlp_gpt2_singular_fisher - shrinkage.l2_ratio__MAX","layer5_mlp_gpt2_jumprelu - shrinkage.l2_ratio","layer5_mlp_gpt2_jumprelu - shrinkage.l2_ratio__MIN","layer5_mlp_gpt2_jumprelu - shrinkage.l2_ratio__MAX","layer5_mlp_gpt2_singular_fisher - shrinkage.l2_ratio","layer5_mlp_gpt2_singular_fisher - shrinkage.l2_ratio__MIN","layer5_mlp_gpt2_singular_fisher - shrinkage.l2_ratio__MAX"
"599","0.9535807967185974","0.9535807967185974","0.9535807967185974","0.9417705535888672","0.9417705535888672","0.9417705535888672","2.461590051651001","2.461590051651001","2.461590051651001","2.31461763381958","2.31461763381958","2.31461763381958","0.5789414644241333","0.5789414644241333","0.5789414644241333","0.5694532990455627","0.5694532990455627","0.5694532990455627"
"1199","0.9751758575439453","0.9751758575439453","0.9751758575439453","0.9594890475273132","0.9594890475273132","0.9594890475273132","2.522167205810547","2.522167205810547","2.522167205810547","2.358072280883789","2.358072280883789","2.358072280883789","0.6133898496627808","0.6133898496627808","0.6133898496627808","0.606311023235321","0.606311023235321","0.606311023235321"
"1799","0.9849987030029297","0.9849987030029297","0.9849987030029297","0.9712768793106079","0.9712768793106079","0.9712768793106079","2.5422637462615967","2.5422637462615967","2.5422637462615967","2.4711883068084717","2.4711883068084717","2.4711883068084717","0.6288715600967407","0.6288715600967407","0.6288715600967407","0.6166472434997559","0.6166472434997559","0.6166472434997559"
"2399","0.9864303469657898","0.9864303469657898","0.9864303469657898","0.9622871279716492","0.9622871279716492","0.9622871279716492","2.5433642864227295","2.5433642864227295","2.5433642864227295","2.4888405799865723","2.4888405799865723","2.4888405799865723","0.6323220133781433","0.6323220133781433","0.6323220133781433","0.622735321521759","0.622735321521759","0.622735321521759"
"2999","0.9913050532341003","0.9913050532341003","0.9913050532341003","0.9672724008560181","0.9672724008560181","0.9672724008560181","2.5487217903137207","2.5487217903137207","2.5487217903137207","2.5156867504119873","2.5156867504119873","2.5156867504119873","0.636404275894165","0.636404275894165","0.636404275894165","0.6250029802322388","0.6250029802322388","0.6250029802322388"
"3599","0.9908857345581055","0.9908857345581055","0.9908857345581055","0.9827548861503601","0.9827548861503601","0.9827548861503601","2.5541446208953857","2.5541446208953857","2.5541446208953857","2.5173099040985107","2.5173099040985107","2.5173099040985107","0.6373329162597656","0.6373329162597656","0.6373329162597656","0.6274006962776184","0.6274006962776184","0.6274006962776184"
"4199","0.9958028793334961","0.9958028793334961","0.9958028793334961","0.9852421879768372","0.9852421879768372","0.9852421879768372","2.5556583404541016","2.5556583404541016","2.5556583404541016","2.5199482440948486","2.5199482440948486","2.5199482440948486","0.6378295421600342","0.6378295421600342","0.6378295421600342","0.629845142364502","0.629845142364502","0.629845142364502"
"4799","0.991149365901947","0.991149365901947","0.991149365901947","0.9768064618110657","0.9768064618110657","0.9768064618110657","2.5554890632629395","2.5554890632629395","2.5554890632629395","2.5315113067626953","2.5315113067626953","2.5315113067626953","0.6390441060066223","0.6390441060066223","0.6390441060066223","0.6291312575340271","0.6291312575340271","0.6291312575340271"
"5399","0.9909368753433228","0.9909368753433228","0.9909368753433228","0.9962875247001648","0.9962875247001648","0.9962875247001648","2.561624765396118","2.561624765396118","2.561624765396118","2.5299901962280273","2.5299901962280273","2.5299901962280273","0.6385325789451599","0.6385325789451599","0.6385325789451599","0.6354126334190369","0.6354126334190369","0.6354126334190369"
"5999","0.9921911358833313","0.9921911358833313","0.9921911358833313","0.9946094751358032","0.9946094751358032","0.9946094751358032","2.556910753250122","2.556910753250122","2.556910753250122","2.551358938217163","2.551358938217163","2.551358938217163","0.6392003893852234","0.6392003893852234","0.6392003893852234","0.6312791109085083","0.6312791109085083","0.6312791109085083"
"6599","0.9937192797660828","0.9937192797660828","0.9937192797660828","0.9961229562759399","0.9961229562759399","0.9961229562759399","2.5556640625","2.5556640625","2.5556640625","2.556180238723755","2.556180238723755","2.556180238723755","0.6392008066177368","0.6392008066177368","0.6392008066177368","0.6319665312767029","0.6319665312767029","0.6319665312767029"
"7199","0.9946920275688171","0.9946920275688171","0.9946920275688171","0.9861523509025574","0.9861523509025574","0.9861523509025574","2.5529251098632812","2.5529251098632812","2.5529251098632812","2.542428493499756","2.542428493499756","2.542428493499756","0.6380040645599365","0.6380040645599365","0.6380040645599365","0.635326087474823","0.635326087474823","0.635326087474823"
"7799","0.9915834665298462","0.9915834665298462","0.9915834665298462","0.9934070706367493","0.9934070706367493","0.9934070706367493","2.556842565536499","2.556842565536499","2.556842565536499","2.547651767730713","2.547651767730713","2.547651767730713","0.6385761499404907","0.6385761499404907","0.6385761499404907","0.6335440278053284","0.6335440278053284","0.6335440278053284"
"8399","0.990477979183197","0.990477979183197","0.990477979183197","0.9810661673545837","0.9810661673545837","0.9810661673545837","2.5582921504974365","2.5582921504974365","2.5582921504974365","2.540163516998291","2.540163516998291","2.540163516998291","0.638638436794281","0.638638436794281","0.638638436794281","0.6349114775657654","0.6349114775657654","0.6349114775657654"
"8999","0.9940456748008728","0.9940456748008728","0.9940456748008728","0.9848541617393494","0.9848541617393494","0.9848541617393494","2.5543487071990967","2.5543487071990967","2.5543487071990967","2.560849905014038","2.560849905014038","2.560849905014038","0.6396533250808716","0.6396533250808716","0.6396533250808716","0.6338344812393188","0.6338344812393188","0.6338344812393188"
"9599","0.9923112988471985","0.9923112988471985","0.9923112988471985","0.9973917007446289","0.9973917007446289","0.9973917007446289","2.558445692062378","2.558445692062378","2.558445692062378","2.550355911254883","2.550355911254883","2.550355911254883","0.6390866041183472","0.6390866041183472","0.6390866041183472","0.6357362866401672","0.6357362866401672","0.6357362866401672"
"10199","0.9924270510673523","0.9924270510673523","0.9924270510673523","0.9852846264839172","0.9852846264839172","0.9852846264839172","2.561535358428955","2.561535358428955","2.561535358428955","2.5473978519439697","2.5473978519439697","2.5473978519439697","0.6388364434242249","0.6388364434242249","0.6388364434242249","0.6333444118499756","0.6333444118499756","0.6333444118499756"
"10799","0.9944574236869812","0.9944574236869812","0.9944574236869812","0.9983596801757812","0.9983596801757812","0.9983596801757812","2.5573928356170654","2.5573928356170654","2.5573928356170654","2.545954465866089","2.545954465866089","2.545954465866089","0.6376945376396179","0.6376945376396179","0.6376945376396179","0.6376070976257324","0.6376070976257324","0.6376070976257324"
"11399","0.9957645535469055","0.9957645535469055","0.9957645535469055","1.0002464056015015","1.0002464056015015","1.0002464056015015","2.5613081455230713","2.5613081455230713","2.5613081455230713","2.541691303253174","2.541691303253174","2.541691303253174","0.6381111145019531","0.6381111145019531","0.6381111145019531","0.6373308300971985","0.6373308300971985","0.6373308300971985"
"11999","0.9933878779411316","0.9933878779411316","0.9933878779411316","0.9947391748428345","0.9947391748428345","0.9947391748428345","2.5544233322143555","2.5544233322143555","2.5544233322143555","2.5497889518737793","2.5497889518737793","2.5497889518737793","0.6381730437278748","0.6381730437278748","0.6381730437278748","0.6358855366706848","0.6358855366706848","0.6358855366706848"
"12599","0.9945611357688904","0.9945611357688904","0.9945611357688904","0.9881910681724548","0.9881910681724548","0.9881910681724548","2.563321828842163","2.563321828842163","2.563321828842163","2.5552079677581787","2.5552079677581787","2.5552079677581787","0.6388596892356873","0.6388596892356873","0.6388596892356873","0.6358732581138611","0.6358732581138611","0.6358732581138611"
"13199","0.9871727228164673","0.9871727228164673","0.9871727228164673","0.9967588782310486","0.9967588782310486","0.9967588782310486","2.5592846870422363","2.5592846870422363","2.5592846870422363","2.5528953075408936","2.5528953075408936","2.5528953075408936","0.6392374038696289","0.6392374038696289","0.6392374038696289","0.6377045512199402","0.6377045512199402","0.6377045512199402"
"13799","0.9935340881347656","0.9935340881347656","0.9935340881347656","0.9879764914512634","0.9879764914512634","0.9879764914512634","2.558873414993286","2.558873414993286","2.558873414993286","2.5347044467926025","2.5347044467926025","2.5347044467926025","0.6398645639419556","0.6398645639419556","0.6398645639419556","0.6368727087974548","0.6368727087974548","0.6368727087974548"
"14399","0.9932376742362976","0.9932376742362976","0.9932376742362976","0.9862848520278931","0.9862848520278931","0.9862848520278931","2.553705930709839","2.553705930709839","2.553705930709839","2.562398672103882","2.562398672103882","2.562398672103882","0.6390752196311951","0.6390752196311951","0.6390752196311951","0.6369744539260864","0.6369744539260864","0.6369744539260864"
"14999","0.9933187365531921","0.9933187365531921","0.9933187365531921","0.9972152709960938","0.9972152709960938","0.9972152709960938","2.5584604740142822","2.5584604740142822","2.5584604740142822","2.5567235946655273","2.5567235946655273","2.5567235946655273","0.6395198702812195","0.6395198702812195","0.6395198702812195","0.6364583373069763","0.6364583373069763","0.6364583373069763"
"15599","0.9939191937446594","0.9939191937446594","0.9939191937446594","0.9944736361503601","0.9944736361503601","0.9944736361503601","2.554692029953003","2.554692029953003","2.554692029953003","2.5511415004730225","2.5511415004730225","2.5511415004730225","0.6385531425476074","0.6385531425476074","0.6385531425476074","0.6396222114562988","0.6396222114562988","0.6396222114562988"
"16199","0.9919187426567078","0.9919187426567078","0.9919187426567078","0.9998292922973633","0.9998292922973633","0.9998292922973633","2.5570411682128906","2.5570411682128906","2.5570411682128906","2.550520658493042","2.550520658493042","2.550520658493042","0.638885498046875","0.638885498046875","0.638885498046875","0.636707067489624","0.636707067489624","0.636707067489624"
"16799","0.996874988079071","0.996874988079071","0.996874988079071","0.9953570365905762","0.9953570365905762","0.9953570365905762","2.5556817054748535","2.5556817054748535","2.5556817054748535","2.5478451251983643","2.5478451251983643","2.5478451251983643","0.6388031840324402","0.6388031840324402","0.6388031840324402","0.6377196907997131","0.6377196907997131","0.6377196907997131"
"17399","0.9930791854858398","0.9930791854858398","0.9930791854858398","0.9888515472412109","0.9888515472412109","0.9888515472412109","2.557194471359253","2.557194471359253","2.557194471359253","2.5482475757598877","2.5482475757598877","2.5482475757598877","0.6395664215087891","0.6395664215087891","0.6395664215087891","0.637086808681488","0.637086808681488","0.637086808681488"
