"Step","layer0_mlp_gpt2_jumprelu - losses/mse_loss","layer0_mlp_gpt2_jumprelu - losses/mse_loss__MIN","layer0_mlp_gpt2_jumprelu - losses/mse_loss__MAX","layer0_mlp_gpt2_singular_fisher - losses/mse_loss","layer0_mlp_gpt2_singular_fisher - losses/mse_loss__MIN","layer0_mlp_gpt2_singular_fisher - losses/mse_loss__MAX","layer10_mlp_gpt2_jumprelu - losses/mse_loss","layer10_mlp_gpt2_jumprelu - losses/mse_loss__MIN","layer10_mlp_gpt2_jumprelu - losses/mse_loss__MAX","layer10_mlp_gpt2_singular_fisher - losses/mse_loss","layer10_mlp_gpt2_singular_fisher - losses/mse_loss__MIN","layer10_mlp_gpt2_singular_fisher - losses/mse_loss__MAX","layer5_mlp_gpt2_jumprelu - losses/mse_loss","layer5_mlp_gpt2_jumprelu - losses/mse_loss__MIN","layer5_mlp_gpt2_jumprelu - losses/mse_loss__MAX","layer5_mlp_gpt2_singular_fisher - losses/mse_loss","layer5_mlp_gpt2_singular_fisher - losses/mse_loss__MIN","layer5_mlp_gpt2_singular_fisher - losses/mse_loss__MAX"
"29","267.5292053222656","267.5292053222656","267.5292053222656","300.9703369140625","300.9703369140625","300.9703369140625","1724.6805419921875","1724.6805419921875","1724.6805419921875","3505.923583984375","3505.923583984375","3505.923583984375","157.74856567382812","157.74856567382812","157.74856567382812","162.38961791992188","162.38961791992188","162.38961791992188"
"59","136.2199249267578","136.2199249267578","136.2199249267578","170.745849609375","170.745849609375","170.745849609375","686.838134765625","686.838134765625","686.838134765625","2331.036865234375","2331.036865234375","2331.036865234375","93.86146545410156","93.86146545410156","93.86146545410156","100.27244567871094","100.27244567871094","100.27244567871094"
"89","265.2529296875","265.2529296875","265.2529296875","304.5051574707031","304.5051574707031","304.5051574707031","506.3200988769531","506.3200988769531","506.3200988769531","1556.595947265625","1556.595947265625","1556.595947265625","149.82652282714844","149.82652282714844","149.82652282714844","157.73983764648438","157.73983764648438","157.73983764648438"
"119","122.12919616699219","122.12919616699219","122.12919616699219","139.35739135742188","139.35739135742188","139.35739135742188","517.5414428710938","517.5414428710938","517.5414428710938","1221.0008544921875","1221.0008544921875","1221.0008544921875","93.05167388916016","93.05167388916016","93.05167388916016","98.39476013183594","98.39476013183594","98.39476013183594"
"149","76.5792007446289","76.5792007446289","76.5792007446289","86.22520446777344","86.22520446777344","86.22520446777344","340.0947570800781","340.0947570800781","340.0947570800781","885.9680786132812","885.9680786132812","885.9680786132812","61.01578140258789","61.01578140258789","61.01578140258789","65.77645111083984","65.77645111083984","65.77645111083984"
"179","80.74334716796875","80.74334716796875","80.74334716796875","88.58199310302734","88.58199310302734","88.58199310302734","373.4256591796875","373.4256591796875","373.4256591796875","777.0662231445312","777.0662231445312","777.0662231445312","66.35446166992188","66.35446166992188","66.35446166992188","69.81208801269531","69.81208801269531","69.81208801269531"
"209","86.58622741699219","86.58622741699219","86.58622741699219","146.99221801757812","146.99221801757812","146.99221801757812","283.2138671875","283.2138671875","283.2138671875","592.3941650390625","592.3941650390625","592.3941650390625","72.48519134521484","72.48519134521484","72.48519134521484","74.92092895507812","74.92092895507812","74.92092895507812"
"239","64.40795135498047","64.40795135498047","64.40795135498047","117.67257690429688","117.67257690429688","117.67257690429688","284.0087585449219","284.0087585449219","284.0087585449219","558.7373046875","558.7373046875","558.7373046875","66.34825134277344","66.34825134277344","66.34825134277344","69.64250946044922","69.64250946044922","69.64250946044922"
"269","57.46517562866211","57.46517562866211","57.46517562866211","63.8110466003418","63.8110466003418","63.8110466003418","229.18165588378906","229.18165588378906","229.18165588378906","441.1739501953125","441.1739501953125","441.1739501953125","39.85511779785156","39.85511779785156","39.85511779785156","42.322566986083984","42.322566986083984","42.322566986083984"
"299","50.03008270263672","50.03008270263672","50.03008270263672","54.00083923339844","54.00083923339844","54.00083923339844","250.5672149658203","250.5672149658203","250.5672149658203","462.86676025390625","462.86676025390625","462.86676025390625","48.60802459716797","48.60802459716797","48.60802459716797","51.035125732421875","51.035125732421875","51.035125732421875"
"329","40.116859436035156","40.116859436035156","40.116859436035156","44.51076126098633","44.51076126098633","44.51076126098633","202.00534057617188","202.00534057617188","202.00534057617188","366.8327331542969","366.8327331542969","366.8327331542969","36.310302734375","36.310302734375","36.310302734375","38.33749771118164","38.33749771118164","38.33749771118164"
"359","43.323631286621094","43.323631286621094","43.323631286621094","48.05597686767578","48.05597686767578","48.05597686767578","167.82655334472656","167.82655334472656","167.82655334472656","297.02947998046875","297.02947998046875","297.02947998046875","33.21064758300781","33.21064758300781","33.21064758300781","34.982421875","34.982421875","34.982421875"
"389","46.96140670776367","46.96140670776367","46.96140670776367","50.03804397583008","50.03804397583008","50.03804397583008","197.82997131347656","197.82997131347656","197.82997131347656","327.6810607910156","327.6810607910156","327.6810607910156","33.4190559387207","33.4190559387207","33.4190559387207","35.20359802246094","35.20359802246094","35.20359802246094"
"419","40.80774688720703","40.80774688720703","40.80774688720703","58.36312484741211","58.36312484741211","58.36312484741211","171.75421142578125","171.75421142578125","171.75421142578125","295.4753112792969","295.4753112792969","295.4753112792969","29.17490005493164","29.17490005493164","29.17490005493164","33.23366928100586","33.23366928100586","33.23366928100586"
"449","36.0089111328125","36.0089111328125","36.0089111328125","38.89785385131836","38.89785385131836","38.89785385131836","154.2054443359375","154.2054443359375","154.2054443359375","257.7886962890625","257.7886962890625","257.7886962890625","25.77401351928711","25.77401351928711","25.77401351928711","27.4842472076416","27.4842472076416","27.4842472076416"
"479","35.07367706298828","35.07367706298828","35.07367706298828","39.673667907714844","39.673667907714844","39.673667907714844","145.1627960205078","145.1627960205078","145.1627960205078","251.39370727539062","251.39370727539062","251.39370727539062","28.63044548034668","28.63044548034668","28.63044548034668","30.547121047973633","30.547121047973633","30.547121047973633"
"509","27.983110427856445","27.983110427856445","27.983110427856445","31.115428924560547","31.115428924560547","31.115428924560547","133.52853393554688","133.52853393554688","133.52853393554688","244.8612518310547","244.8612518310547","244.8612518310547","20.08310317993164","20.08310317993164","20.08310317993164","21.39029312133789","21.39029312133789","21.39029312133789"
"539","20.545331954956055","20.545331954956055","20.545331954956055","22.77939224243164","22.77939224243164","22.77939224243164","119.16316223144531","119.16316223144531","119.16316223144531","232.54331970214844","232.54331970214844","232.54331970214844","19.13730812072754","19.13730812072754","19.13730812072754","19.94089126586914","19.94089126586914","19.94089126586914"
"569","31.919029235839844","31.919029235839844","31.919029235839844","34.699851989746094","34.699851989746094","34.699851989746094","145.35989379882812","145.35989379882812","145.35989379882812","261.6897277832031","261.6897277832031","261.6897277832031","21.71734619140625","21.71734619140625","21.71734619140625","24.191190719604492","24.191190719604492","24.191190719604492"
