"Step","layer0_residual_mid_gpt2_singular_fisher - losses/fisher_reg_term","layer0_residual_mid_gpt2_singular_fisher - losses/fisher_reg_term__MIN","layer0_residual_mid_gpt2_singular_fisher - losses/fisher_reg_term__MAX","layer10_residual_mid_gpt2_singular_fisher - losses/fisher_reg_term","layer10_residual_mid_gpt2_singular_fisher - losses/fisher_reg_term__MIN","layer10_residual_mid_gpt2_singular_fisher - losses/fisher_reg_term__MAX","layer5_residual_mid_gpt2_singular_fisher - losses/fisher_reg_term","layer5_residual_mid_gpt2_singular_fisher - losses/fisher_reg_term__MIN","layer5_residual_mid_gpt2_singular_fisher - losses/fisher_reg_term__MAX"
"29","91.93160247802734","91.93160247802734","91.93160247802734","1229.405029296875","1229.405029296875","1229.405029296875","285.97900390625","285.97900390625","285.97900390625"
"59","110.36666870117188","110.36666870117188","110.36666870117188","1872.9351806640625","1872.9351806640625","1872.9351806640625","432.1571960449219","432.1571960449219","432.1571960449219"
"89","67.8410873413086","67.8410873413086","67.8410873413086","67793.4609375","67793.4609375","67793.4609375","44892.140625","44892.140625","44892.140625"
"119","46.6591911315918","46.6591911315918","46.6591911315918","1939.27197265625","1939.27197265625","1939.27197265625","336.21356201171875","336.21356201171875","336.21356201171875"
"149","33.43665313720703","33.43665313720703","33.43665313720703","1877.39013671875","1877.39013671875","1877.39013671875","308.11224365234375","308.11224365234375","308.11224365234375"
"179","23.28038215637207","23.28038215637207","23.28038215637207","1740.78515625","1740.78515625","1740.78515625","251.8046417236328","251.8046417236328","251.8046417236328"
"209","18.853181838989258","18.853181838989258","18.853181838989258","7215.97021484375","7215.97021484375","7215.97021484375","5069.04296875","5069.04296875","5069.04296875"
"239","15.780415534973145","15.780415534973145","15.780415534973145","7204.11181640625","7204.11181640625","7204.11181640625","5382.5400390625","5382.5400390625","5382.5400390625"
"269","13.893777847290039","13.893777847290039","13.893777847290039","1788.2891845703125","1788.2891845703125","1788.2891845703125","202.3352508544922","202.3352508544922","202.3352508544922"
"299","11.32358169555664","11.32358169555664","11.32358169555664","1285.548583984375","1285.548583984375","1285.548583984375","158.73204040527344","158.73204040527344","158.73204040527344"
"329","9.905454635620117","9.905454635620117","9.905454635620117","1238.814208984375","1238.814208984375","1238.814208984375","145.24781799316406","145.24781799316406","145.24781799316406"
"359","9.967366218566895","9.967366218566895","9.967366218566895","1078.33056640625","1078.33056640625","1078.33056640625","150.7633514404297","150.7633514404297","150.7633514404297"
"389","8.552370071411133","8.552370071411133","8.552370071411133","1024.7305908203125","1024.7305908203125","1024.7305908203125","142.4495391845703","142.4495391845703","142.4495391845703"
"419","7.865797519683838","7.865797519683838","7.865797519683838","7929.69482421875","7929.69482421875","7929.69482421875","7094.80126953125","7094.80126953125","7094.80126953125"
"449","7.356260776519775","7.356260776519775","7.356260776519775","981.818359375","981.818359375","981.818359375","127.37093353271484","127.37093353271484","127.37093353271484"
"479","6.876477241516113","6.876477241516113","6.876477241516113","861.7603759765625","861.7603759765625","861.7603759765625","112.33612060546875","112.33612060546875","112.33612060546875"
"509","6.788476467132568","6.788476467132568","6.788476467132568","843.4541625976562","843.4541625976562","843.4541625976562","117.86280059814453","117.86280059814453","117.86280059814453"
"539","6.401827812194824","6.401827812194824","6.401827812194824","753.3761596679688","753.3761596679688","753.3761596679688","111.54397583007812","111.54397583007812","111.54397583007812"
"569","5.73236608505249","5.73236608505249","5.73236608505249","787.7373657226562","787.7373657226562","787.7373657226562","114.422607421875","114.422607421875","114.422607421875"
"599","5.928952217102051","5.928952217102051","5.928952217102051","11228.4140625","11228.4140625","11228.4140625","10133.076171875","10133.076171875","10133.076171875"
"629","5.4607954025268555","5.4607954025268555","5.4607954025268555","699.74365234375","699.74365234375","699.74365234375","101.9463882446289","101.9463882446289","101.9463882446289"
"659","5.1719136238098145","5.1719136238098145","5.1719136238098145","658.3595581054688","658.3595581054688","658.3595581054688","101.9134521484375","101.9134521484375","101.9134521484375"
"689","4.9214887619018555","4.9214887619018555","4.9214887619018555","8580.42578125","8580.42578125","8580.42578125","8174.59814453125","8174.59814453125","8174.59814453125"
"719","5.020622730255127","5.020622730255127","5.020622730255127","611.12646484375","611.12646484375","611.12646484375","97.0960693359375","97.0960693359375","97.0960693359375"
"749","4.540788173675537","4.540788173675537","4.540788173675537","728.80615234375","728.80615234375","728.80615234375","86.5093002319336","86.5093002319336","86.5093002319336"
"779","4.858829498291016","4.858829498291016","4.858829498291016","8258.0146484375","8258.0146484375","8258.0146484375","7989.71435546875","7989.71435546875","7989.71435546875"
"809","4.608908653259277","4.608908653259277","4.608908653259277","587.4884643554688","587.4884643554688","587.4884643554688","90.31840515136719","90.31840515136719","90.31840515136719"
"839","4.289923191070557","4.289923191070557","4.289923191070557","9128.109375","9128.109375","9128.109375","8161.52783203125","8161.52783203125","8161.52783203125"
"869","4.268161773681641","4.268161773681641","4.268161773681641","9143.2021484375","9143.2021484375","9143.2021484375","8831.89453125","8831.89453125","8831.89453125"
"899","4.320930480957031","4.320930480957031","4.320930480957031","567.1113891601562","567.1113891601562","567.1113891601562","94.34835815429688","94.34835815429688","94.34835815429688"
"929","3.974475383758545","3.974475383758545","3.974475383758545","558.9273681640625","558.9273681640625","558.9273681640625","78.20686340332031","78.20686340332031","78.20686340332031"
"959","4.138278961181641","4.138278961181641","4.138278961181641","530.5816650390625","530.5816650390625","530.5816650390625","89.89593505859375","89.89593505859375","89.89593505859375"
"989","3.7599384784698486","3.7599384784698486","3.7599384784698486","631.962890625","631.962890625","631.962890625","86.43828582763672","86.43828582763672","86.43828582763672"
"1019","3.4730591773986816","3.4730591773986816","3.4730591773986816","596.2717895507812","596.2717895507812","596.2717895507812","85.2781982421875","85.2781982421875","85.2781982421875"
"1049","3.430886745452881","3.430886745452881","3.430886745452881","527.3911743164062","527.3911743164062","527.3911743164062","77.68573760986328","77.68573760986328","77.68573760986328"
"1079","3.6950111389160156","3.6950111389160156","3.6950111389160156","579.4624633789062","579.4624633789062","579.4624633789062","85.3675765991211","85.3675765991211","85.3675765991211"
"1109","3.3317174911499023","3.3317174911499023","3.3317174911499023","530.2969360351562","530.2969360351562","530.2969360351562","76.00511169433594","76.00511169433594","76.00511169433594"
"1139","3.4510631561279297","3.4510631561279297","3.4510631561279297","524.822998046875","524.822998046875","524.822998046875","79.2491683959961","79.2491683959961","79.2491683959961"
"1169","3.1258280277252197","3.1258280277252197","3.1258280277252197","463.7049255371094","463.7049255371094","463.7049255371094","68.08106994628906","68.08106994628906","68.08106994628906"
"1199","3.280975580215454","3.280975580215454","3.280975580215454","474.5763854980469","474.5763854980469","474.5763854980469","72.83999633789062","72.83999633789062","72.83999633789062"
"1229","3.212331533432007","3.212331533432007","3.212331533432007","11424.56640625","11424.56640625","11424.56640625","10715.888671875","10715.888671875","10715.888671875"
"1259","3.105454921722412","3.105454921722412","3.105454921722412","463.35137939453125","463.35137939453125","463.35137939453125","68.40760803222656","68.40760803222656","68.40760803222656"
"1289","2.973292589187622","2.973292589187622","2.973292589187622","420.6394958496094","420.6394958496094","420.6394958496094","70.72310638427734","70.72310638427734","70.72310638427734"
"1319","2.916306495666504","2.916306495666504","2.916306495666504","477.97198486328125","477.97198486328125","477.97198486328125","71.0804214477539","71.0804214477539","71.0804214477539"
