"Step","layer0_residual_mid_gpt2_jumprelu - losses/l0_loss","layer0_residual_mid_gpt2_jumprelu - losses/l0_loss__MIN","layer0_residual_mid_gpt2_jumprelu - losses/l0_loss__MAX","layer0_residual_mid_gpt2_singular_fisher - losses/l0_loss","layer0_residual_mid_gpt2_singular_fisher - losses/l0_loss__MIN","layer0_residual_mid_gpt2_singular_fisher - losses/l0_loss__MAX","layer10_residual_mid_gpt2_jumprelu - losses/l0_loss","layer10_residual_mid_gpt2_jumprelu - losses/l0_loss__MIN","layer10_residual_mid_gpt2_jumprelu - losses/l0_loss__MAX","layer10_residual_mid_gpt2_singular_fisher - losses/l0_loss","layer10_residual_mid_gpt2_singular_fisher - losses/l0_loss__MIN","layer10_residual_mid_gpt2_singular_fisher - losses/l0_loss__MAX","layer5_residual_mid_gpt2_jumprelu - losses/l0_loss","layer5_residual_mid_gpt2_jumprelu - losses/l0_loss__MIN","layer5_residual_mid_gpt2_jumprelu - losses/l0_loss__MAX","layer5_residual_mid_gpt2_singular_fisher - losses/l0_loss","layer5_residual_mid_gpt2_singular_fisher - losses/l0_loss__MIN","layer5_residual_mid_gpt2_singular_fisher - losses/l0_loss__MAX"
"29","53334.94921875","53334.94921875","53334.94921875","45101.94921875","45101.94921875","45101.94921875","52068.05078125","52068.05078125","52068.05078125","37904.30078125","37904.30078125","37904.30078125","52578.59765625","52578.59765625","52578.59765625","39587.6484375","39587.6484375","39587.6484375"
"59","57271.25","57271.25","57271.25","45332.05078125","45332.05078125","45332.05078125","59129.94921875","59129.94921875","59129.94921875","39669.59765625","39669.59765625","39669.59765625","59179.59765625","59179.59765625","59179.59765625","41515.55078125","41515.55078125","41515.55078125"
"89","58424.09765625","58424.09765625","58424.09765625","44076.80078125","44076.80078125","44076.80078125","60138.296875","60138.296875","60138.296875","38708.25","38708.25","38708.25","59885.546875","59885.546875","59885.546875","40234","40234","40234"
"119","58858.8984375","58858.8984375","58858.8984375","42744.75","42744.75","42744.75","60173.296875","60173.296875","60173.296875","39404.94921875","39404.94921875","39404.94921875","59571.6484375","59571.6484375","59571.6484375","39462.55078125","39462.55078125","39462.55078125"
"149","59400.09765625","59400.09765625","59400.09765625","42489.80078125","42489.80078125","42489.80078125","60528.546875","60528.546875","60528.546875","39841.34765625","39841.34765625","39841.34765625","60232.84765625","60232.84765625","60232.84765625","39969","39969","39969"
"179","59500.84765625","59500.84765625","59500.84765625","41410.69921875","41410.69921875","41410.69921875","60377.84765625","60377.84765625","60377.84765625","38869.30078125","38869.30078125","38869.30078125","59840.3984375","59840.3984375","59840.3984375","38301.94921875","38301.94921875","38301.94921875"
"209","59534.59765625","59534.59765625","59534.59765625","40729.3984375","40729.3984375","40729.3984375","60091.796875","60091.796875","60091.796875","39284.44921875","39284.44921875","39284.44921875","59572.59765625","59572.59765625","59572.59765625","39061.3984375","39061.3984375","39061.3984375"
"239","59469.6484375","59469.6484375","59469.6484375","40376.19921875","40376.19921875","40376.19921875","60089.59765625","60089.59765625","60089.59765625","38541.55078125","38541.55078125","38541.55078125","59569.44921875","59569.44921875","59569.44921875","38318.44921875","38318.44921875","38318.44921875"
"269","59874.5","59874.5","59874.5","41218.5","41218.5","41218.5","60580.1484375","60580.1484375","60580.1484375","39325.6484375","39325.6484375","39325.6484375","60189.3984375","60189.3984375","60189.3984375","38600.84765625","38600.84765625","38600.84765625"
"299","60156.1484375","60156.1484375","60156.1484375","40954.05078125","40954.05078125","40954.05078125","60473.8984375","60473.8984375","60473.8984375","37500.19921875","37500.19921875","37500.19921875","59971.94921875","59971.94921875","59971.94921875","37274.69921875","37274.69921875","37274.69921875"
"329","60191.44921875","60191.44921875","60191.44921875","40685.80078125","40685.80078125","40685.80078125","60607.796875","60607.796875","60607.796875","38187","38187","38187","60003.94921875","60003.94921875","60003.94921875","37267.6484375","37267.6484375","37267.6484375"
"359","60249.796875","60249.796875","60249.796875","41347.8984375","41347.8984375","41347.8984375","60614.84765625","60614.84765625","60614.84765625","37237.80078125","37237.80078125","37237.80078125","60267.84765625","60267.84765625","60267.84765625","38009.55078125","38009.55078125","38009.55078125"
"389","60276.44921875","60276.44921875","60276.44921875","40335.80078125","40335.80078125","40335.80078125","60707.25","60707.25","60707.25","36736.55078125","36736.55078125","36736.55078125","60108.3984375","60108.3984375","60108.3984375","36753.19921875","36753.19921875","36753.19921875"
"419","60150.8984375","60150.8984375","60150.8984375","40050.25","40050.25","40050.25","60543.94921875","60543.94921875","60543.94921875","36024.55078125","36024.55078125","36024.55078125","60105.1484375","60105.1484375","60105.1484375","37111.84765625","37111.84765625","37111.84765625"
"449","60291.1484375","60291.1484375","60291.1484375","39910.3984375","39910.3984375","39910.3984375","60717.6484375","60717.6484375","60717.6484375","37629.59765625","37629.59765625","37629.59765625","60273.546875","60273.546875","60273.546875","37158.1484375","37158.1484375","37158.1484375"
"479","60295.1484375","60295.1484375","60295.1484375","40003.8984375","40003.8984375","40003.8984375","60767.8984375","60767.8984375","60767.8984375","37057.25","37057.25","37057.25","60241.59765625","60241.59765625","60241.59765625","36078.44921875","36078.44921875","36078.44921875"
"509","60354.19921875","60354.19921875","60354.19921875","40071.34765625","40071.34765625","40071.34765625","60636.796875","60636.796875","60636.796875","36482.05078125","36482.05078125","36482.05078125","60370.34765625","60370.34765625","60370.34765625","36994.44921875","36994.44921875","36994.44921875"
"539","60354.25","60354.25","60354.25","40282.6484375","40282.6484375","40282.6484375","60644.34765625","60644.34765625","60644.34765625","36664.69921875","36664.69921875","36664.69921875","60344.09765625","60344.09765625","60344.09765625","37330.05078125","37330.05078125","37330.05078125"
"569","60492.94921875","60492.94921875","60492.94921875","39710.3984375","39710.3984375","39710.3984375","60684.75","60684.75","60684.75","35918.5","35918.5","35918.5","60268.1484375","60268.1484375","60268.1484375","36742.6484375","36742.6484375","36742.6484375"
"599","60324.25","60324.25","60324.25","39753.30078125","39753.30078125","39753.30078125","60377.59765625","60377.59765625","60377.59765625","36005.94921875","36005.94921875","36005.94921875","60206.44921875","60206.44921875","60206.44921875","36830.75","36830.75","36830.75"
"629","60459.1484375","60459.1484375","60459.1484375","39973.25","39973.25","39973.25","60731.5","60731.5","60731.5","36861.59765625","36861.59765625","36861.59765625","60230.25","60230.25","60230.25","36811.55078125","36811.55078125","36811.55078125"
"659","60477.94921875","60477.94921875","60477.94921875","39562.59765625","39562.59765625","39562.59765625","60925.8984375","60925.8984375","60925.8984375","36780.55078125","36780.55078125","36780.55078125","60282.84765625","60282.84765625","60282.84765625","36773.84765625","36773.84765625","36773.84765625"
"689","60422.34765625","60422.34765625","60422.34765625","39034.1484375","39034.1484375","39034.1484375","60593.59765625","60593.59765625","60593.59765625","36104.3984375","36104.3984375","36104.3984375","60149.5","60149.5","60149.5","36398.69921875","36398.69921875","36398.69921875"
"719","60593.94921875","60593.94921875","60593.94921875","39768.25","39768.25","39768.25","60804.546875","60804.546875","60804.546875","35585.05078125","35585.05078125","35585.05078125","60387.75","60387.75","60387.75","36609.1484375","36609.1484375","36609.1484375"
"749","60658.59765625","60658.59765625","60658.59765625","39796.19921875","39796.19921875","39796.19921875","60657.34765625","60657.34765625","60657.34765625","35573.55078125","35573.55078125","35573.55078125","60392.34765625","60392.34765625","60392.34765625","35788.8984375","35788.8984375","35788.8984375"
"779","60410.296875","60410.296875","60410.296875","38776.94921875","38776.94921875","38776.94921875","60743.1484375","60743.1484375","60743.1484375","35017.59765625","35017.59765625","35017.59765625","60356.19921875","60356.19921875","60356.19921875","35402.05078125","35402.05078125","35402.05078125"
"809","60679.25","60679.25","60679.25","39580.44921875","39580.44921875","39580.44921875","60760.75","60760.75","60760.75","35656.3984375","35656.3984375","35656.3984375","60285.84765625","60285.84765625","60285.84765625","36000.34765625","36000.34765625","36000.34765625"
"839","60476.19921875","60476.19921875","60476.19921875","39108.8984375","39108.8984375","39108.8984375","60551.09765625","60551.09765625","60551.09765625","35749.80078125","35749.80078125","35749.80078125","60150.296875","60150.296875","60150.296875","36058.5","36058.5","36058.5"
"869","60516.34765625","60516.34765625","60516.34765625","39183.30078125","39183.30078125","39183.30078125","60577.44921875","60577.44921875","60577.44921875","35144.75","35144.75","35144.75","60255.546875","60255.546875","60255.546875","36128.69921875","36128.69921875","36128.69921875"
"899","60505.19921875","60505.19921875","60505.19921875","38855.75","38855.75","38855.75","60747.8984375","60747.8984375","60747.8984375","35763.80078125","35763.80078125","35763.80078125","60199.6484375","60199.6484375","60199.6484375","36047.6484375","36047.6484375","36047.6484375"
"929","60605.75","60605.75","60605.75","39354.25","39354.25","39354.25","60881.84765625","60881.84765625","60881.84765625","36235.55078125","36235.55078125","36235.55078125","60398.296875","60398.296875","60398.296875","35894.6484375","35894.6484375","35894.6484375"
"959","60607.75","60607.75","60607.75","38938.55078125","38938.55078125","38938.55078125","60677","60677","60677","35099.30078125","35099.30078125","35099.30078125","60078.84765625","60078.84765625","60078.84765625","35561.84765625","35561.84765625","35561.84765625"
"989","60679.69921875","60679.69921875","60679.69921875","39169.25","39169.25","39169.25","60787.796875","60787.796875","60787.796875","35388.59765625","35388.59765625","35388.59765625","60439.296875","60439.296875","60439.296875","35685.05078125","35685.05078125","35685.05078125"
"1019","60526.6484375","60526.6484375","60526.6484375","38858.59765625","38858.59765625","38858.59765625","60672.796875","60672.796875","60672.796875","35745.84765625","35745.84765625","35745.84765625","60171.25","60171.25","60171.25","35964.44921875","35964.44921875","35964.44921875"
"1049","60728.3984375","60728.3984375","60728.3984375","39346.3984375","39346.3984375","39346.3984375","60873.44921875","60873.44921875","60873.44921875","34972.5","34972.5","34972.5","60412.19921875","60412.19921875","60412.19921875","35855.80078125","35855.80078125","35855.80078125"
