"Step","layer0_residual_mid_gpt2_jumprelu - sparsity.l1","layer0_residual_mid_gpt2_jumprelu - sparsity.l1__MIN","layer0_residual_mid_gpt2_jumprelu - sparsity.l1__MAX","layer0_residual_mid_gpt2_singular_fisher - sparsity.l1","layer0_residual_mid_gpt2_singular_fisher - sparsity.l1__MIN","layer0_residual_mid_gpt2_singular_fisher - sparsity.l1__MAX","layer10_residual_mid_gpt2_jumprelu - sparsity.l1","layer10_residual_mid_gpt2_jumprelu - sparsity.l1__MIN","layer10_residual_mid_gpt2_jumprelu - sparsity.l1__MAX","layer10_residual_mid_gpt2_singular_fisher - sparsity.l1","layer10_residual_mid_gpt2_singular_fisher - sparsity.l1__MIN","layer10_residual_mid_gpt2_singular_fisher - sparsity.l1__MAX","layer5_residual_mid_gpt2_jumprelu - sparsity.l1","layer5_residual_mid_gpt2_jumprelu - sparsity.l1__MIN","layer5_residual_mid_gpt2_jumprelu - sparsity.l1__MAX","layer5_residual_mid_gpt2_singular_fisher - sparsity.l1","layer5_residual_mid_gpt2_singular_fisher - sparsity.l1__MIN","layer5_residual_mid_gpt2_singular_fisher - sparsity.l1__MAX"
"599","4405.30078125","4405.30078125","4405.30078125","765.3624877929688","765.3624877929688","765.3624877929688","4492.45361328125","4492.45361328125","4492.45361328125","567.0538940429688","567.0538940429688","567.0538940429688","4341.27099609375","4341.27099609375","4341.27099609375","736.1251220703125","736.1251220703125","736.1251220703125"
"1199","4303.31591796875","4303.31591796875","4303.31591796875","669.7449340820312","669.7449340820312","669.7449340820312","4742.36669921875","4742.36669921875","4742.36669921875","516.3541870117188","516.3541870117188","516.3541870117188","4462.5361328125","4462.5361328125","4462.5361328125","675.5120239257812","675.5120239257812","675.5120239257812"
"1799","4129.18115234375","4129.18115234375","4129.18115234375","615.5388793945312","615.5388793945312","615.5388793945312","4692.484375","4692.484375","4692.484375","505.99566650390625","505.99566650390625","505.99566650390625","4350.0419921875","4350.0419921875","4350.0419921875","640.3441772460938","640.3441772460938","640.3441772460938"
"2399","3982.659423828125","3982.659423828125","3982.659423828125","594.1773681640625","594.1773681640625","594.1773681640625","4641.24169921875","4641.24169921875","4641.24169921875","504.80572509765625","504.80572509765625","504.80572509765625","4340.7099609375","4340.7099609375","4340.7099609375","652.6703491210938","652.6703491210938","652.6703491210938"
"2999","3855.427490234375","3855.427490234375","3855.427490234375","565.6107788085938","565.6107788085938","565.6107788085938","4696.91748046875","4696.91748046875","4696.91748046875","498.0311584472656","498.0311584472656","498.0311584472656","4349.40185546875","4349.40185546875","4349.40185546875","627.9052124023438","627.9052124023438","627.9052124023438"
"3599","3744.906005859375","3744.906005859375","3744.906005859375","538.8201293945312","538.8201293945312","538.8201293945312","4699.36376953125","4699.36376953125","4699.36376953125","482.0419921875","482.0419921875","482.0419921875","4303.43896484375","4303.43896484375","4303.43896484375","605.7589111328125","605.7589111328125","605.7589111328125"
"4199","3655.569580078125","3655.569580078125","3655.569580078125","525.8961791992188","525.8961791992188","525.8961791992188","4587.71533203125","4587.71533203125","4587.71533203125","466.97564697265625","466.97564697265625","466.97564697265625","4212.9345703125","4212.9345703125","4212.9345703125","583.4885864257812","583.4885864257812","583.4885864257812"
"4799","3593.274169921875","3593.274169921875","3593.274169921875","512.2223510742188","512.2223510742188","512.2223510742188","4616.8876953125","4616.8876953125","4616.8876953125","480.1019592285156","480.1019592285156","480.1019592285156","4160.0390625","4160.0390625","4160.0390625","594.4151611328125","594.4151611328125","594.4151611328125"
"5399","3506.93603515625","3506.93603515625","3506.93603515625","495.0065612792969","495.0065612792969","495.0065612792969","4553.53271484375","4553.53271484375","4553.53271484375","473.28302001953125","473.28302001953125","473.28302001953125","4052.25634765625","4052.25634765625","4052.25634765625","572.5354614257812","572.5354614257812","572.5354614257812"
"5999","3450.872314453125","3450.872314453125","3450.872314453125","487.25909423828125","487.25909423828125","487.25909423828125","4547.02099609375","4547.02099609375","4547.02099609375","466.954833984375","466.954833984375","466.954833984375","4055.073486328125","4055.073486328125","4055.073486328125","561.0761108398438","561.0761108398438","561.0761108398438"
