"Step","layer0_residual_mid_gpt2_jumprelu - shrinkage.l2_ratio","layer0_residual_mid_gpt2_jumprelu - shrinkage.l2_ratio__MIN","layer0_residual_mid_gpt2_jumprelu - shrinkage.l2_ratio__MAX","layer0_residual_mid_gpt2_singular_fisher - shrinkage.l2_ratio","layer0_residual_mid_gpt2_singular_fisher - shrinkage.l2_ratio__MIN","layer0_residual_mid_gpt2_singular_fisher - shrinkage.l2_ratio__MAX","layer10_residual_mid_gpt2_jumprelu - shrinkage.l2_ratio","layer10_residual_mid_gpt2_jumprelu - shrinkage.l2_ratio__MIN","layer10_residual_mid_gpt2_jumprelu - shrinkage.l2_ratio__MAX","layer10_residual_mid_gpt2_singular_fisher - shrinkage.l2_ratio","layer10_residual_mid_gpt2_singular_fisher - shrinkage.l2_ratio__MIN","layer10_residual_mid_gpt2_singular_fisher - shrinkage.l2_ratio__MAX","layer5_residual_mid_gpt2_jumprelu - shrinkage.l2_ratio","layer5_residual_mid_gpt2_jumprelu - shrinkage.l2_ratio__MIN","layer5_residual_mid_gpt2_jumprelu - shrinkage.l2_ratio__MAX","layer5_residual_mid_gpt2_singular_fisher - shrinkage.l2_ratio","layer5_residual_mid_gpt2_singular_fisher - shrinkage.l2_ratio__MIN","layer5_residual_mid_gpt2_singular_fisher - shrinkage.l2_ratio__MAX"
"599","1.2614482641220093","1.2614482641220093","1.2614482641220093","1.2478610277175903","1.2478610277175903","1.2478610277175903","6.272708892822266","6.272708892822266","6.272708892822266","5.8453688621521","5.8453688621521","5.8453688621521","3.0278286933898926","3.0278286933898926","3.0278286933898926","2.923140048980713","2.923140048980713","2.923140048980713"
"1199","1.2672172784805298","1.2672172784805298","1.2672172784805298","1.2597652673721313","1.2597652673721313","1.2597652673721313","6.4136881828308105","6.4136881828308105","6.4136881828308105","6.128575325012207","6.128575325012207","6.128575325012207","3.0864574909210205","3.0864574909210205","3.0864574909210205","2.9887261390686035","2.9887261390686035","2.9887261390686035"
"1799","1.2709286212921143","1.2709286212921143","1.2709286212921143","1.2632468938827515","1.2632468938827515","1.2632468938827515","6.4888434410095215","6.4888434410095215","6.4888434410095215","6.319346904754639","6.319346904754639","6.319346904754639","3.1093742847442627","3.1093742847442627","3.1093742847442627","2.9885735511779785","2.9885735511779785","2.9885735511779785"
"2399","1.2714165449142456","1.2714165449142456","1.2714165449142456","1.2608329057693481","1.2608329057693481","1.2608329057693481","6.492684841156006","6.492684841156006","6.492684841156006","6.214614391326904","6.214614391326904","6.214614391326904","3.1225194931030273","3.1225194931030273","3.1225194931030273","3.0747742652893066","3.0747742652893066","3.0747742652893066"
"2999","1.2717941999435425","1.2717941999435425","1.2717941999435425","1.2655431032180786","1.2655431032180786","1.2655431032180786","6.502957344055176","6.502957344055176","6.502957344055176","6.330708980560303","6.330708980560303","6.330708980560303","3.109970808029175","3.109970808029175","3.109970808029175","3.1052815914154053","3.1052815914154053","3.1052815914154053"
"3599","1.2716768980026245","1.2716768980026245","1.2716768980026245","1.2619102001190186","1.2619102001190186","1.2619102001190186","6.5123162269592285","6.5123162269592285","6.5123162269592285","6.423871040344238","6.423871040344238","6.423871040344238","3.1300065517425537","3.1300065517425537","3.1300065517425537","3.104058027267456","3.104058027267456","3.104058027267456"
"4199","1.2717347145080566","1.2717347145080566","1.2717347145080566","1.2788257598876953","1.2788257598876953","1.2788257598876953","6.506930828094482","6.506930828094482","6.506930828094482","6.499508857727051","6.499508857727051","6.499508857727051","3.1277101039886475","3.1277101039886475","3.1277101039886475","3.0814390182495117","3.0814390182495117","3.0814390182495117"
"4799","1.2720413208007812","1.2720413208007812","1.2720413208007812","1.2704219818115234","1.2704219818115234","1.2704219818115234","6.527637004852295","6.527637004852295","6.527637004852295","6.408499240875244","6.408499240875244","6.408499240875244","3.131364583969116","3.131364583969116","3.131364583969116","3.1350631713867188","3.1350631713867188","3.1350631713867188"
"5399","1.2720282077789307","1.2720282077789307","1.2720282077789307","1.266545295715332","1.266545295715332","1.266545295715332","6.535261631011963","6.535261631011963","6.535261631011963","6.540874481201172","6.540874481201172","6.540874481201172","3.1214730739593506","3.1214730739593506","3.1214730739593506","3.1094090938568115","3.1094090938568115","3.1094090938568115"
"5999","1.2709623575210571","1.2709623575210571","1.2709623575210571","1.2697452306747437","1.2697452306747437","1.2697452306747437","6.523003578186035","6.523003578186035","6.523003578186035","6.503353118896484","6.503353118896484","6.503353118896484","3.127849578857422","3.127849578857422","3.127849578857422","3.1721208095550537","3.1721208095550537","3.1721208095550537"
