"Step","layer0_residual_mid_gpt2_jumprelu - losses/mse_loss","layer0_residual_mid_gpt2_jumprelu - losses/mse_loss__MIN","layer0_residual_mid_gpt2_jumprelu - losses/mse_loss__MAX","layer0_residual_mid_gpt2_singular_fisher - losses/mse_loss","layer0_residual_mid_gpt2_singular_fisher - losses/mse_loss__MIN","layer0_residual_mid_gpt2_singular_fisher - losses/mse_loss__MAX","layer10_residual_mid_gpt2_jumprelu - losses/mse_loss","layer10_residual_mid_gpt2_jumprelu - losses/mse_loss__MIN","layer10_residual_mid_gpt2_jumprelu - losses/mse_loss__MAX","layer10_residual_mid_gpt2_singular_fisher - losses/mse_loss","layer10_residual_mid_gpt2_singular_fisher - losses/mse_loss__MIN","layer10_residual_mid_gpt2_singular_fisher - losses/mse_loss__MAX","layer5_residual_mid_gpt2_jumprelu - losses/mse_loss","layer5_residual_mid_gpt2_jumprelu - losses/mse_loss__MIN","layer5_residual_mid_gpt2_jumprelu - losses/mse_loss__MAX","layer5_residual_mid_gpt2_singular_fisher - losses/mse_loss","layer5_residual_mid_gpt2_singular_fisher - losses/mse_loss__MIN","layer5_residual_mid_gpt2_singular_fisher - losses/mse_loss__MAX"
"29","282.39276123046875","282.39276123046875","282.39276123046875","497.247802734375","497.247802734375","497.247802734375","8602.2724609375","8602.2724609375","8602.2724609375","19006.591796875","19006.591796875","19006.591796875","2129.068359375","2129.068359375","2129.068359375","3500.07373046875","3500.07373046875","3500.07373046875"
"59","72.78384399414062","72.78384399414062","72.78384399414062","204.0912628173828","204.0912628173828","204.0912628173828","4213.05029296875","4213.05029296875","4213.05029296875","13667.7119140625","13667.7119140625","13667.7119140625","962.9280395507812","962.9280395507812","962.9280395507812","2125.876708984375","2125.876708984375","2125.876708984375"
"89","63.5666389465332","63.5666389465332","63.5666389465332","129.0522003173828","129.0522003173828","129.0522003173828","63076.86328125","63076.86328125","63076.86328125","95528.359375","95528.359375","95528.359375","51188.6328125","51188.6328125","51188.6328125","73661","73661","73661"
"119","49.89528274536133","49.89528274536133","49.89528274536133","79.16165161132812","79.16165161132812","79.16165161132812","3717.674560546875","3717.674560546875","3717.674560546875","9897.1513671875","9897.1513671875","9897.1513671875","857.3088989257812","857.3088989257812","857.3088989257812","1445.706787109375","1445.706787109375","1445.706787109375"
"149","35.14146041870117","35.14146041870117","35.14146041870117","48.826805114746094","48.826805114746094","48.826805114746094","2902.881103515625","2902.881103515625","2902.881103515625","7602.05908203125","7602.05908203125","7602.05908203125","592.3974609375","592.3974609375","592.3974609375","961.5894165039062","961.5894165039062","961.5894165039062"
"179","34.38454818725586","34.38454818725586","34.38454818725586","44.51216506958008","44.51216506958008","44.51216506958008","2897.271240234375","2897.271240234375","2897.271240234375","6253.90673828125","6253.90673828125","6253.90673828125","611.5542602539062","611.5542602539062","611.5542602539062","912.167236328125","912.167236328125","912.167236328125"
"209","32.05451202392578","32.05451202392578","32.05451202392578","39.93169403076172","39.93169403076172","39.93169403076172","28447.591796875","28447.591796875","28447.591796875","83311.4609375","83311.4609375","83311.4609375","21710.51953125","21710.51953125","21710.51953125","66280.8984375","66280.8984375","66280.8984375"
"239","27.819704055786133","27.819704055786133","27.819704055786133","36.07990264892578","36.07990264892578","36.07990264892578","19504.462890625","19504.462890625","19504.462890625","79376.1796875","79376.1796875","79376.1796875","13981.6796875","13981.6796875","13981.6796875","62954.25390625","62954.25390625","62954.25390625"
"269","23.54130744934082","23.54130744934082","23.54130744934082","27.070220947265625","27.070220947265625","27.070220947265625","2195.481201171875","2195.481201171875","2195.481201171875","3995.638671875","3995.638671875","3995.638671875","430.0345153808594","430.0345153808594","430.0345153808594","570.8085327148438","570.8085327148438","570.8085327148438"
"299","20.00652313232422","20.00652313232422","20.00652313232422","22.739931106567383","22.739931106567383","22.739931106567383","2059.92333984375","2059.92333984375","2059.92333984375","3643.03173828125","3643.03173828125","3643.03173828125","445.23297119140625","445.23297119140625","445.23297119140625","606.6175537109375","606.6175537109375","606.6175537109375"
