"Step","layer0_mlp_gpt2_jumprelu - sparsity.l0","layer0_mlp_gpt2_jumprelu - sparsity.l0__MIN","layer0_mlp_gpt2_jumprelu - sparsity.l0__MAX","layer0_mlp_gpt2_singular_fisher - sparsity.l0","layer0_mlp_gpt2_singular_fisher - sparsity.l0__MIN","layer0_mlp_gpt2_singular_fisher - sparsity.l0__MAX","layer10_mlp_gpt2_jumprelu - sparsity.l0","layer10_mlp_gpt2_jumprelu - sparsity.l0__MIN","layer10_mlp_gpt2_jumprelu - sparsity.l0__MAX","layer10_mlp_gpt2_singular_fisher - sparsity.l0","layer10_mlp_gpt2_singular_fisher - sparsity.l0__MIN","layer10_mlp_gpt2_singular_fisher - sparsity.l0__MAX","layer5_mlp_gpt2_jumprelu - sparsity.l0","layer5_mlp_gpt2_jumprelu - sparsity.l0__MIN","layer5_mlp_gpt2_jumprelu - sparsity.l0__MAX","layer5_mlp_gpt2_singular_fisher - sparsity.l0","layer5_mlp_gpt2_singular_fisher - sparsity.l0__MIN","layer5_mlp_gpt2_singular_fisher - sparsity.l0__MAX"
"599","11882.298828125","11882.298828125","11882.298828125","7227.1875","7227.1875","7227.1875","12047.4736328125","12047.4736328125","12047.4736328125","7422.9033203125","7422.9033203125","7422.9033203125","11689.5380859375","11689.5380859375","11689.5380859375","7422.77880859375","7422.77880859375","7422.77880859375"
"1199","11993.5361328125","11993.5361328125","11993.5361328125","6982.35009765625","6982.35009765625","6982.35009765625","12129.8583984375","12129.8583984375","12129.8583984375","7311.5712890625","7311.5712890625","7311.5712890625","11889.34375","11889.34375","11889.34375","7126.30029296875","7126.30029296875","7126.30029296875"
"1799","12063.451171875","12063.451171875","12063.451171875","6897.38623046875","6897.38623046875","6897.38623046875","12163.2177734375","12163.2177734375","12163.2177734375","7483.3984375","7483.3984375","7483.3984375","12022.765625","12022.765625","12022.765625","6948.84375","6948.84375","6948.84375"
"2399","12065.1748046875","12065.1748046875","12065.1748046875","6881.40869140625","6881.40869140625","6881.40869140625","12143.4833984375","12143.4833984375","12143.4833984375","7513.00341796875","7513.00341796875","7513.00341796875","12031.716796875","12031.716796875","12031.716796875","6944.2470703125","6944.2470703125","6944.2470703125"
"2999","12095.96875","12095.96875","12095.96875","6824.55615234375","6824.55615234375","6824.55615234375","12177.1953125","12177.1953125","12177.1953125","7507.71630859375","7507.71630859375","7507.71630859375","12096.150390625","12096.150390625","12096.150390625","6922.66796875","6922.66796875","6922.66796875"
"3599","12120.5185546875","12120.5185546875","12120.5185546875","6773.69677734375","6773.69677734375","6773.69677734375","12197.3564453125","12197.3564453125","12197.3564453125","7495.7890625","7495.7890625","7495.7890625","12142.384765625","12142.384765625","12142.384765625","6922.42041015625","6922.42041015625","6922.42041015625"
"4199","12122.779296875","12122.779296875","12122.779296875","6764.66552734375","6764.66552734375","6764.66552734375","12196.890625","12196.890625","12196.890625","7469.9140625","7469.9140625","7469.9140625","12145.7822265625","12145.7822265625","12145.7822265625","6917.45166015625","6917.45166015625","6917.45166015625"
"4799","12143.9599609375","12143.9599609375","12143.9599609375","6723.0751953125","6723.0751953125","6723.0751953125","12204.9091796875","12204.9091796875","12204.9091796875","7542.8486328125","7542.8486328125","7542.8486328125","12169.390625","12169.390625","12169.390625","6878.2470703125","6878.2470703125","6878.2470703125"
"5399","12153.5791015625","12153.5791015625","12153.5791015625","6669.96728515625","6669.96728515625","6669.96728515625","12205.4130859375","12205.4130859375","12205.4130859375","7464.50634765625","7464.50634765625","7464.50634765625","12182.408203125","12182.408203125","12182.408203125","6886.3095703125","6886.3095703125","6886.3095703125"
"5999","12152.935546875","12152.935546875","12152.935546875","6705.65478515625","6705.65478515625","6705.65478515625","12197.568359375","12197.568359375","12197.568359375","7481.77978515625","7481.77978515625","7481.77978515625","12174.55859375","12174.55859375","12174.55859375","6916.6103515625","6916.6103515625","6916.6103515625"
